V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
136598,GBIF_62087,Aa weddelliana,-26.7558,-65.5556,1576151186,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,Rchb. f.,"Department Tafi, Cumbre de Anfama.",NA,AR,2500,3,1919,PRESERVED_SPECIMEN,USF,Herb,28275,2035,R. Schreiter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39,Aa weddelliana,Aa,weddelliana,(Rchb.f.) Schltr.,Species,Accepted,NA,301462-2,39,10,4,"c(-65.5556, -26.7558)",TRUE
137908,GBIF_63429,Aa matthewsii,-12.25,-75.4167,1576151183,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,Rchb. f.,Huancayo.,NA,PE,NA,12,1946,PRESERVED_SPECIMEN,USF,Herb,28270,46-726,G. A. Black,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22,Aa matthewsii,Aa,matthewsii,(Rchb.f.) Schltr.,Species,Accepted,NA,1015992-2,22,10,4,"c(-75.4167, -12.25)",TRUE
185748,GBIF_131311,Aa matthewsii,-16.168611,-70.662778,4032117931,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,Rchb. f.,"Distrito Ichuña. Frente Cota; Sefincane, rio Paltuture.",NA,PE,3464,3,2009,PRESERVED_SPECIMEN,MO,Tropicos,102660836,2128,Daniel B. Montesinos T.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22,Aa matthewsii,Aa,matthewsii,(Rchb.f.) Schltr.,Species,Accepted,NA,1015992-2,22,10,4,"c(-70.662778, -16.168611)",TRUE
191589,GBIF_137487,Aa paleacea,-0.966,-78.95,4130394513,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,NA,"Latacunga - Quevedo road, above Pilaló, km 74 from Pujilí. Elfin forest and steep slopes along road.",NA,EC,3500,4,1979,PRESERVED_SPECIMEN,AU,AAU,B.Lojtnant13754,without-number,B. Lojtnant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,27,Aa paleacea,Aa,paleacea,(Kunth) Rchb.f.,Species,Accepted,NA,1061726-2,27,15,-1,"c(-78.95, -0.966)",TRUE
191671,GBIF_137573,Aa paleacea,-0.966,-78.933,4130407593,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,NA,"Quevedo - Latacunga road, above Pilaló, in cloud forest. Mostly steep slopes.",NA,EC,3250,4,1973,PRESERVED_SPECIMEN,AU,AAU,L.B.Holm-Nielsen3289,without-number,L.B. Holm-Nielsen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,27,Aa paleacea,Aa,paleacea,(Kunth) Rchb.f.,Species,Accepted,NA,1061726-2,27,15,-1,"c(-78.933, -0.966)",TRUE
191725,GBIF_137636,Aa paleacea,0.133,-78.266,4130407798,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,NA,Laguna Mojanda. Flat sandy lake deposit.,NA,EC,3700,5,1980,PRESERVED_SPECIMEN,AU,AAU,L.B.Holm-Nielsen24120,without-number,L.B. Holm-Nielsen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,27,Aa paleacea,Aa,paleacea,(Kunth) Rchb.f.,Species,Accepted,NA,1061726-2,27,15,-1,"c(-78.266, 0.133)",TRUE
191837,GBIF_137767,Aa argyrolepis,-0.666,-78.5,4130394739,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,NA,"Parque Nacional Cotopaxi, entrance road 2 km N of southern entrance. Pinus radiata plantation with gulleys.",NA,EC,3400,10,1988,PRESERVED_SPECIMEN,AU,AAU,E.B.Madsen84348,without-number,E.B. Madsen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,3,Aa argyrolepis,Aa,argyrolepis,Rchb.f.,Species,Accepted,NA,614525-1,3,7,-1,"c(-78.5, -0.666)",TRUE
191928,GBIF_137876,Aa paleacea,-0.466,-78.616,4130406705,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,NA,"Northern slopes of Cerro Corazón, between Hacienda la Granja and Hacienda El Pongo on road from Alóag. Montane scrub.",NA,EC,3250,5,1979,PRESERVED_SPECIMEN,AU,AAU,L.B.Holm-Nielsen18039,without-number,L.B. Holm-Nielsen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,27,Aa paleacea,Aa,paleacea,(Kunth) Rchb.f.,Species,Accepted,NA,1061726-2,27,15,-1,"c(-78.616, -0.466)",TRUE
191977,GBIF_137941,Aa paleacea,-0.333,-78.2,4130387630,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,NA,"Road Quito - Baeza, near the pass at Papallacta. Disturbed paramo areas. Soil temp. 9° C.",NA,EC,3825,10,1983,PRESERVED_SPECIMEN,AU,AAU,B.Eriksen45427,without-number,B. Eriksen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,27,Aa paleacea,Aa,paleacea,(Kunth) Rchb.f.,Species,Accepted,NA,1061726-2,27,15,-1,"c(-78.2, -0.333)",TRUE
191979,GBIF_137943,Aa paleacea,-0.316,-78.116,4130383706,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,NA,"Road Quito-Baeza, 3-4 km W of Laguna de Papallacta (Páramo de Guamaní). Rather recent SW-exposed landslide, dominated by pioneer-vegetation, mainly mosses, liverworts, several Lycopodium spp. and a few low shrubs.",NA,EC,3550,7,1976,PRESERVED_SPECIMEN,AU,AAU,B.Ollgaard8179,without-number,B. Ollgaard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,27,Aa paleacea,Aa,paleacea,(Kunth) Rchb.f.,Species,Accepted,NA,1061726-2,27,15,-1,"c(-78.116, -0.316)",TRUE
192042,GBIF_138016,Aa paleacea,-4.383,-79.116,4130391882,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,NA,Parque Nacional Podocarpus. Cerro Toledo. Heath and chapparal vegetation.,NA,EC,3350,12,1988,PRESERVED_SPECIMEN,AU,AAU,J.E.Madsen75685,without-number,J.E. Madsen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,27,Aa paleacea,Aa,paleacea,(Kunth) Rchb.f.,Species,Accepted,NA,1061726-2,27,15,-1,"c(-79.116, -4.383)",TRUE
192102,GBIF_138093,Aa maderoi,0.783,-77.95,4130410602,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,SPECIES,NA,"Base of Volcán Chiles, km 34-36 on road Tulcán - Maldonado. Paramo, meadow and small lake area in Espeletia-paramo, elfin forest on sheltered places.",NA,EC,3975,5,1973,PRESERVED_SPECIMEN,AU,AAU,L.B.Holm-Nielsen5957,without-number,L.B. Holm-Nielsen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20,Aa maderoi,Aa,maderoi,Schltr.,Species,Accepted,NA,302812-2,20,7,-1,"c(-77.95, 0.783)",TRUE
