V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
110167,GBIF_14040,Achlydosa glandulosa,-22.18,166.68583,439447837,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Achlydosa,SPECIES,(Schltr.) Schltr.,NA,NA,NC,200,9,1979,PRESERVED_SPECIMEN,MNHN,P,P00124250,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217408,Achlydosa glandulosa,Achlydosa,glandulosa,(Schltr.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20004356-1,217408,19,10,"c(166.68583, -22.18)",TRUE
110168,GBIF_14041,Achlydosa glandulosa,-22.06667,166.35,437449749,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Achlydosa,SPECIES,(Schltr.) Schltr.,NA,NA,NC,NA,NA,without-year,PRESERVED_SPECIMEN,MNHN,P,P00124267,without-number,"Godefroy, C.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217408,Achlydosa glandulosa,Achlydosa,glandulosa,(Schltr.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20004356-1,217408,19,10,"c(166.35, -22.06667)",TRUE
110870,GBIF_14834,Achlydosa glandulosa,-21.79806,166.13722,437449772,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Achlydosa,SPECIES,(Schltr.) Schltr.,NA,NA,NC,1050,11,1967,PRESERVED_SPECIMEN,MNHN,P,P00124309,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217408,Achlydosa glandulosa,Achlydosa,glandulosa,(Schltr.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20004356-1,217408,19,10,"c(166.13722, -21.79806)",TRUE
110931,GBIF_14898,Achlydosa glandulosa,-21.95806,166.53889,437452545,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Achlydosa,SPECIES,(Schltr.) Schltr.,NA,NA,NC,NA,11,2002,PRESERVED_SPECIMEN,MNHN,P,P00354768,without-number,"Tronchet, F.;Munzinger, J.;Le Borgne, T.;Oddi, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217408,Achlydosa glandulosa,Achlydosa,glandulosa,(Schltr.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20004356-1,217408,19,10,"c(166.53889, -21.95806)",TRUE
129573,GBIF_54249,Achlydosa glandulosa,-21.618333,165.888889,4032160686,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Achlydosa,SPECIES,(Schltr.) M.A.Clem. & D.L. Jones,"Dogny, La Cascade; ripicole.",NA,NC,865,11,2007,PRESERVED_SPECIMEN,MO,Tropicos,103197206,4866,Jérôme Munzinger,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217408,Achlydosa glandulosa,Achlydosa,glandulosa,(Schltr.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20004356-1,217408,1,26,"c(165.888889, -21.618333)",TRUE
129918,GBIF_54605,Achlydosa glandulosa,-22.183333,166.533333,1258804934,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Achlydosa,SPECIES,(Schltr.) Schltr.,Forêt de la Thy; forested slopes.,NA,NC,500,8,1979,PRESERVED_SPECIMEN,MO,Tropicos,1573817,1834,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217408,Achlydosa glandulosa,Achlydosa,glandulosa,(Schltr.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20004356-1,217408,19,10,"c(166.533333, -22.183333)",TRUE
146528,GBIF_76840,Achlydosa glandulosa,-21.505,165.5758,1057638654,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Achlydosa,SPECIES,(Schltr.) Schltr.,NA,NA,NC,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000095592,391,Jean Armand Isidore Pancher,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217408,Achlydosa glandulosa,Achlydosa,glandulosa,(Schltr.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20004356-1,217408,19,10,"c(165.5758, -21.505)",TRUE
169655,GBIF_110989,Achlydosa glandulosa,-21.83333,166.41667,2513819207,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Achlydosa,SPECIES,Schltr.,NA,NA,NC,NA,9,1951,PRESERVED_SPECIMEN,NA,Botany,L.1521793,"Baumann-Bodenheim, MG 15477",Baumann-Bodenheim MG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217408,Achlydosa glandulosa,Achlydosa,glandulosa,(Schltr.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20004356-1,217408,24,6,"c(166.41667, -21.83333)",TRUE
170114,GBIF_111957,Achlydosa glandulosa,-21,164.85,931123055,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Achlydosa,SPECIES,NA,Koniambo,NA,NC,0,NA,without-year,PRESERVED_SPECIMEN,Université de Strasbourg,CAL,CAL18296,without-number,Jaffre T. - Releve Phytosociologique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217408,Achlydosa glandulosa,Achlydosa,glandulosa,(Schltr.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20004356-1,217408,30,1,"c(164.85, -21)",TRUE
184730,GBIF_130197,Achlydosa glandulosa,-21.959722,166.538611,4167764339,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Achlydosa,SPECIES,(Schltr.) Schltr.,Mont Kouakoué.,NA,NC,NA,11,2002,PRESERVED_SPECIMEN,MO,Tropicos,103349396,563,F. Tronchet;Jérôme Munzinger;T. Le Borgne;A. Oddi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217408,Achlydosa glandulosa,Achlydosa,glandulosa,(Schltr.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20004356-1,217408,19,10,"c(166.538611, -21.959722)",TRUE
