V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111201,GBIF_15205,Acianthera auriculata,-20.291389,-40.519444,4526414167,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,SPECIES,Angiospermas,"Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",NA,BR,NA,2,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00521448,1853,C.N. Fraga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217433,Acianthera auriculata,Acianthera,auriculata,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1195848-2,217433,24,2,"c(-40.519444, -20.291389)",TRUE
111222,GBIF_15228,Acianthera sonderiana,-22.438333,-44.740833,4526416700,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,SPECIES,Angiospermas,"Zona de amortecimento do Parque Nacional do Itatiaia. Planalto, estrada para Fragária.",NA,BR,NA,5,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00563747,173,F. F. V. A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217617,Acianthera sonderiana,Acianthera,sonderiana,(Rchb.f.) Pridgeon & M.W.Chase,Species,Accepted,NA,1215862-2,217617,26,2,"c(-44.740833, -22.438333)",TRUE
111225,GBIF_15231,Acianthera recurva,-22.569167,-43.469167,4526416773,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,SPECIES,Angiospermas,"RESERVA BIOLÓGICA DE TINGUÁ, ESTRADA DO OURO. Reserva Biológica de Tinguá",NA,BR,NA,1,2002,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00266572,200,G. Cattan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217598,Acianthera recurva,Acianthera,recurva,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1000531-2,217598,24,2,"c(-43.469167, -22.569167)",TRUE
111261,GBIF_15271,Acianthera nemorosa,-20.266667,-40.533333,4526420666,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,SPECIES,Angiospermas,"Pau Amarelo, ex-Condomínio Rural Cantinho do Céu. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",NA,BR,NA,5,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00528372,5207,A.P. Fontana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217563,Acianthera nemorosa,Acianthera,nemorosa,(Barb.Rodr.) F.Barros,Species,Accepted,NA,77061702-1,217563,18,1,"c(-40.533333, -20.266667)",TRUE
111293,GBIF_15305,Acianthera sonderiana,-22.296944,-44.443889,4526423821,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,SPECIES,Angiospermas,Trilha da Pedra Selada. Floresta Ombrófila Densa.,NA,BR,NA,2,2015,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB01097743,1188,L.J.T. Cardoso,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217617,Acianthera sonderiana,Acianthera,sonderiana,(Rchb.f.) Pridgeon & M.W.Chase,Species,Accepted,NA,1215862-2,217617,26,2,"c(-44.443889, -22.296944)",TRUE
111298,GBIF_15310,Acianthera pectinata,-20.266667,-40.533333,4526424052,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,SPECIES,Angiospermas,"Pau Amarelo, ex-Condomínio Rural Cantinho do Céu. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",NA,BR,NA,5,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00528662,767,M.M. Saavedra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217584,Acianthera pectinata,Acianthera,pectinata,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1041190-2,217584,24,2,"c(-40.533333, -20.266667)",TRUE
111311,GBIF_15324,Acianthera saurocephala,-20.516111,-41.111389,4526424742,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,SPECIES,Angiospermas,Goela da Onça. Floresta Ombrófila Densa Altomontana com inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,7,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00549259,2143,"C.N. Fraga;M.M. Saaverda,R. Goldenberg, P.H. Labiak",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217608,Acianthera saurocephala,Acianthera,saurocephala,(G.Lodd.) Pridgeon & M.W.Chase,Species,Accepted,NA,1049931-2,217608,26,2,"c(-41.111389, -20.516111)",TRUE
111315,GBIF_15329,Acianthera fornograndensis,-20.519167,-41.100556,4526425079,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,SPECIES,Angiospermas,Parque Estadual do Forno Grande,NA,BR,NA,11,2004,PRESERVED_SPECIMEN,NA,MBML,MBML023897,7266,L. Kollmann;et al,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,345635,Acianthera fornograndensis,Acianthera,fornograndensis,L.Kollmann & A.P.Fontana,Species,Accepted,NA,60445127-2,345635,22,1,"c(-41.100556, -20.519167)",TRUE
111335,GBIF_15349,Acianthera glumacea,-20.516111,-41.083611,4526425710,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,SPECIES,Angiospermas,Brejo próximo da sede do Parque. Floresta Ombrófila Densa Altomontana. Parque Estadual do Forno Grande,NA,BR,NA,1,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00549191,2355,"C.N. Fraga;R.C. Forzza,R. Goldenberg",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217501,Acianthera glumacea,Acianthera,glumacea,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1148214-2,217501,24,2,"c(-41.083611, -20.516111)",TRUE
111354,GBIF_15368,Acianthera auriculata,-27.724167,-48.535,4526426822,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,SPECIES,Angiospermas,Parque Municipal da Lagoa do Peri.,NA,BR,NA,3,2010,PRESERVED_SPECIMEN,NA,FURB,FURB34228,1539,"Cadorin, T.J.;Grosch, B.,Zimmermann, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,217433,Acianthera auriculata,Acianthera,auriculata,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1195848-2,217433,24,2,"c(-48.535, -27.724167)",TRUE
