V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
49,ALA_54,Acianthus pusillus,-42.333333,147.933333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,Little Swanport,Australia,AU,NA,4,1947,PRESERVED_SPECIMEN,HO,HO,HO304395,s.n.,"Curtis, W.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(147.933333, -42.333333)",TRUE
52,ALA_57,Acianthus pusillus,-42.816667,147.35,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,East Risdon,Australia,AU,NA,5,1951,PRESERVED_SPECIMEN,HO,HO,HO56490,s.n.,"Cruickshank, R.H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(147.35, -42.816667)",TRUE
77,ALA_83,Acianthus pusillus,-34.883333,150.6,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,West Nowra,Australia,AU,NA,4,1962,PRESERVED_SPECIMEN,HO,HO,HO56747,1796,"Cady, L.I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(150.6, -34.883333)",TRUE
109,ALA_120,Acianthus caudatus,-43.211389,147.364167,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,R.Br.,"Cheverton Point, North Bruny Island",Australia,AU,105,9,2009,PRESERVED_SPECIMEN,HO,HO,HO553279,s.n.,"Davis, B.|Davis, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1857,Acianthus caudatus,Acianthus,caudatus,R.Br.,Species,Accepted,NA,614669-1,1857,0,5,"c(147.364167, -43.211389)",TRUE
204,ALA_229,Acianthus caudatus,-41,147.4,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,R.Br.,Bridport,Australia,AU,NA,9,1953,PRESERVED_SPECIMEN,HO,HO,HO56467,s.n.,"Winter, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1857,Acianthus caudatus,Acianthus,caudatus,R.Br.,Species,Accepted,NA,614669-1,1857,0,5,"c(147.4, -41)",TRUE
283,ALA_317,Acianthus pusillus,-39.916667,144.083333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,"500m E of Zwar link road off Lappa Road, Pegarah Forest, King Island",Australia,AU,NA,7,2009,PRESERVED_SPECIMEN,HO,HO,HO553672,24,"Batey, M.|Batey, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(144.083333, -39.916667)",TRUE
311,ALA_346,Acianthus caudatus,-39.933333,144.066667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,R.Br.,"Mucronata Road, Pegarah Forest. King Island",Australia,AU,NA,9,2009,PRESERVED_SPECIMEN,HO,HO,HO556663,40,"Batey, M.|Batey, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1857,Acianthus caudatus,Acianthus,caudatus,R.Br.,Species,Accepted,NA,614669-1,1857,0,5,"c(144.066667, -39.933333)",TRUE
344,ALA_381,Acianthus caudatus,-40.2,148.05,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,R.Br.,"Strzelecki track, Flinders Island",Australia,AU,NA,10,1997,PRESERVED_SPECIMEN,HO,HO,HO500062,2,"Harris, S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1857,Acianthus caudatus,Acianthus,caudatus,R.Br.,Species,Accepted,NA,614669-1,1857,0,5,"c(148.05, -40.2)",TRUE
382,ALA_422,Acianthus pusillus,-43.016667,147.3,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,Woodland W of Blackmans Bay,Australia,AU,80,5,1985,PRESERVED_SPECIMEN,HO,HO,HO98774,538,"Collier, P.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(147.3, -43.016667)",TRUE
465,ALA_516,Acianthus pusillus,-42.566667,147.866667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,Orford.,Australia,AU,NA,7,1973,PRESERVED_SPECIMEN,HO,HO,HO589564,s.n.,"Hood, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(147.866667, -42.566667)",TRUE
472,ALA_523,Acianthus caudatus,-42.566667,147.866667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,R.Br.,[Near] Orford,Australia,AU,NA,9,1974,PRESERVED_SPECIMEN,HO,HO,HO106471,s.n.,"Allan, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1857,Acianthus caudatus,Acianthus,caudatus,R.Br.,Species,Accepted,NA,614669-1,1857,0,5,"c(147.866667, -42.566667)",TRUE
527,ALA_588,Acianthus pusillus,-41.5353429,146.4279991,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,Alum Cliffs,Australia,AU,360,4,1983,PRESERVED_SPECIMEN,HO,HO,HO64966,2219,"Moscal, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(146.4279991, -41.5353429)",TRUE
528,ALA_589,Acianthus pusillus,-42.883333,147.283333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,"Brickfields Cascade, Hobart",Australia,AU,NA,6,1892,PRESERVED_SPECIMEN,HO,HO,HO56516,773,"Rodway, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(147.283333, -42.883333)",TRUE
533,ALA_596,Acianthus pusillus,-41.0150573,147.1877386,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,3km E of Weymouth,Australia,AU,50,8,1989,PRESERVED_SPECIMEN,HO,HO,HO120479,4059,"Collier, P.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(147.1877386, -41.0150573)",TRUE
542,ALA_607,Acianthus pusillus,-41.483333,148.25,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,Winifred Curtis Scamander Reserve,Australia,AU,5,8,2007,PRESERVED_SPECIMEN,HO,HO,HO545165,16697,"Buchanan, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(148.25, -41.483333)",TRUE
559,ALA_627,Acianthus caudatus,-32.383333,152.483333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,R.Br.,Smiths Lake,Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,HO,HO,HO56768,s.n.,"Rupp, H.M.R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1857,Acianthus caudatus,Acianthus,caudatus,R.Br.,Species,Accepted,NA,614669-1,1857,0,5,"c(152.483333, -32.383333)",TRUE
594,ALA_667,Acianthus caudatus,-42.8671868,147.407493,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,R.Br.,"Knopwood Hill, Howrah",Australia,AU,190,9,1988,PRESERVED_SPECIMEN,HO,HO,HO118948,3335,"Collier, P.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1857,Acianthus caudatus,Acianthus,caudatus,R.Br.,Species,Accepted,NA,614669-1,1857,0,5,"c(147.407493, -42.8671868)",TRUE
638,ALA_715,Acianthus caudatus,-41,147.4,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,R.Br.,Bridport,Australia,AU,NA,8,1953,PRESERVED_SPECIMEN,HO,HO,HO56511,s.n.,"Curtis, W.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1857,Acianthus caudatus,Acianthus,caudatus,R.Br.,Species,Accepted,NA,614669-1,1857,0,5,"c(147.4, -41)",TRUE
676,ALA_756,Acianthus pusillus,-39.848056,147.8775,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Acianthus,species,D.L.Jones,"Flinders Island, Killicrankie Road",Australia,AU,NA,6,2023,PRESERVED_SPECIMEN,HO,HO,HO616753,3546,"Wapstra, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1882,Acianthus pusillus,Acianthus,pusillus,D.L.Jones,Species,Accepted,NA,959674-1,1882,0,9,"c(147.8775, -39.848056)",TRUE
