V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104534,GBIF_801,Acineta barkeri,19.525225,-97.007517000000007,1897490838,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,SPECIES,"(Bateman) Lindl., 1843",Rancho Viejo,NA,MX,NA,3,2012,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Milton Hugo Díaz Toribio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,1958,Acineta barkeri,Acineta,barkeri,(Bateman) Lindl.,Species,Accepted,NA,614703-1,1958,6,16,"c(-97.007517, 19.525225)",TRUE
124292,GBIF_45708,Acineta alticola,0.85,-63.35,1042611841,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,SPECIES,NA,"Serra de Aracá, North part of North Slope. Cloud forest. Plateau of northern massif of Serra Aracá.",NA,BR,700,2,1984,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",132841,29200,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,1955,Acineta alticola,Acineta,alticola,C.Schweinf.,Species,Accepted,NA,306226-2,1955,11,-1,"c(-63.35, 0.85)",TRUE
128059,GBIF_52687,Acineta barkeri,15.3,-92.2,1998536738,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,SPECIES,(Bateman) Lindley,Soconusco-system. Mts above Escuintla,NA,MX,1000,NA,without-year,PRESERVED_SPECIMEN,AMES,AMES,barcode-00287809,6159,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,1958,Acineta barkeri,Acineta,barkeri,(Bateman) Lindl.,Species,Accepted,NA,614703-1,1958,2,15,"c(-92.2, 15.3)",TRUE
163418,GBIF_103737,Acineta barkeri,19.515833,-96.995,2629664489,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,SPECIES,"(Bateman) Lindl., 1843","Represa de Xocollolapa, alrededores",NA,MX,1800,8,1992,PRESERVED_SPECIMEN,INECOL,XAL,101761,without-number,A. Flores-Palacios; J.G. García-Franco,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,1958,Acineta barkeri,Acineta,barkeri,(Bateman) Lindl.,Species,Accepted,NA,614703-1,1958,6,16,"c(-96.995, 19.515833)",TRUE
186822,GBIF_132450,Acineta alticola,5.683333,-66.166667,1261384473,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,SPECIES,C. Schweinf.,"ATURES E slope of unnamed peak, 8 km NW of set- tlement of Yutaje, 4 km W of Río Coro- Coro, W of Serranía de Yutaje. Ranging from slope below wet bluff to wet bluff to unstable slope to dry bluff to summit.",NA,VE,1630,3,1987,PRESERVED_SPECIMEN,MO,Tropicos,669277,21648,Ronald L. Liesner;Bruce K. Holst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,1955,Acineta alticola,Acineta,alticola,C.Schweinf.,Species,Accepted,NA,306226-2,1955,1,9,"c(-66.166667, 5.683333)",TRUE
190158,GBIF_136006,Acineta densa,9.86444,-83.77666,1260062766,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,SPECIES,Lindl. & Paxton,"Atlantic rain forest, rare in the valley of Río Reventazón, virgin jungle sections between Yas and Cachí, towards Juan Viñas in east",NA,CR,900,NA,without-year,PRESERVED_SPECIMEN,MO,Tropicos,2719863,s.n.,C. K. Horich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,1966,Acineta densa,Acineta,densa,Lindl.,Species,Accepted,NA,324253-2,1966,9,6,"c(-83.77666, 9.86444)",TRUE
236379,GBIF_196139,Acineta alticola,-0.901667,-63.374722,2997341857,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,SPECIES,C.Schweinf.,Plateau of northern massif of Serra Araca. North part of Norte Slope,NA,BR,1400,NA,without-year,PRESERVED_SPECIMEN,NY,NY,NY00482359,29200,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,1955,Acineta alticola,Acineta,alticola,C.Schweinf.,Species,Accepted,NA,306226-2,1955,0,11,"c(-63.374722, -0.901667)",TRUE
247969,GBIF_212302,Acineta superba,11.225,-74.136389,1890954139,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,SPECIES,(Kunth) Rchb. f.,Sin Datos.,NA,CO,2000,7,1969,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,177845b,340,N. de López,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,1980,Acineta superba,Acineta,superba,(Kunth) Rchb.f.,Species,Accepted,NA,614722-1,1980,1,13,"c(-74.136389, 11.225)",TRUE
258225,GBIF_224370,Acineta salazarii,16.5,-92.5,1260738311,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,SPECIES,Soto Arenas,Chiapas.,NA,MX,NA,NA,without-year,PRESERVED_SPECIMEN,AMO,Tropicos,3332156,s.n.,S. Cusi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,217667,Acineta salazarii,Acineta,salazarii,Soto Arenas,Species,Accepted,NA,60426613-2,217667,0,11,"c(-92.5, 16.5)",TRUE
266507,GBIF_234645,Acineta salazarii,16.733333,-94.183333,4061326312,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acineta,SPECIES,Soto Arenas,"Mpio. de San Miguel Chimalapa, cima del Cerro Guayabitos, en el filo (Mirador)",NA,MX,1850,8,2001,PRESERVED_SPECIMEN,AMO,Tropicos,103122969,5774,Gerardo A. Salazar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,217667,Acineta salazarii,Acineta,salazarii,Soto Arenas,Species,Accepted,NA,60426613-2,217667,0,11,"c(-94.183333, 16.733333)",TRUE
