V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
129175,GBIF_53841,Acrorchis roseola,10.28,-84.71,1261368689,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acrorchis,SPECIES,Dressler,"Reserva Biológica Monteverde Río Peñas Blancas, Altos de Quebrada Portal.",NA,CR,1300,5,1989,PRESERVED_SPECIMEN,MO,Tropicos,653315,900,Erick Bello C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,2650,Acrorchis roseola,Acrorchis,roseola,Dressler,Species,Accepted,NA,271580-2,2650,0,8,"c(-84.71, 10.28)",TRUE
161915,GBIF_102130,Acrorchis roseola,10.931389,-85.459722,1253873756,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acrorchis,SPECIES,Dressler,"SW (Pacific) slope of Cerro Cacao, Cordillera de Guanacaste.",NA,CR,1375,8,2007,PRESERVED_SPECIMEN,INBio,Plantae,4132038,without-number,Michael H. Grayum; Armando Soto ; Alexander Rojas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,2650,Acrorchis roseola,Acrorchis,roseola,Dressler,Species,Accepted,NA,271580-2,2650,0,8,"c(-85.459722, 10.931389)",TRUE
161942,GBIF_102164,Acrorchis roseola,10.975833,-85.481667,1253882145,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acrorchis,SPECIES,Dressler,"P. N. Guanacaste. Estación Biológica Maritza, cima del Volcán Orosí, entre la base camp y 1300 m (línea), sendero a Maritza.",NA,CR,1200,8,2007,PRESERVED_SPECIMEN,INBio,Plantae,4181935,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,2650,Acrorchis roseola,Acrorchis,roseola,Dressler,Species,Accepted,NA,271580-2,2650,0,8,"c(-85.481667, 10.975833)",TRUE
182284,GBIF_127611,Acrorchis roseola,8.583333,-81.833333,1261394477,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acrorchis,SPECIES,Dressler,"Cerro Colorado, 6.5 mi W of Chamé. Steep forested slopes N of road.",NA,PA,1630,7,1988,PRESERVED_SPECIMEN,MO,Tropicos,678947,69149,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,2650,Acrorchis roseola,Acrorchis,roseola,Dressler,Species,Accepted,NA,271580-2,2650,0,8,"c(-81.833333, 8.583333)",TRUE
183144,GBIF_128522,Acrorchis roseola,10.333333,-84.833333,1261358576,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acrorchis,SPECIES,Dressler,"Monteverde Reserve, El valle trail, near continental divide with Atlantic exposure.",NA,CR,1600,10,1985,PRESERVED_SPECIMEN,MO,Tropicos,642428,3165,William A. Haber;Erick Bello C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,2650,Acrorchis roseola,Acrorchis,roseola,Dressler,Species,Accepted,NA,271580-2,2650,0,8,"c(-84.833333, 10.333333)",TRUE
183983,GBIF_129390,Acrorchis roseola,8.525,-81.12083,1259222714,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acrorchis,SPECIES,Dressler,"Cerro Arizona, above Escuela Alto de Piedra, W of Santa Fé",NA,PA,900,6,1982,PRESERVED_SPECIMEN,MO,Tropicos,1957616,6065,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,2650,Acrorchis roseola,Acrorchis,roseola,Dressler,Species,Accepted,NA,271580-2,2650,0,8,"c(-81.12083, 8.525)",TRUE
188279,GBIF_133979,Acrorchis roseola,10.31,-84.71,4031954717,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acrorchis,SPECIES,Dressler,Monteverde Could Forest Reserve.,NA,CR,1600,6,1989,PRESERVED_SPECIMEN,MO,Tropicos,101753747,89-215,John T. Atwood,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,2650,Acrorchis roseola,Acrorchis,roseola,Dressler,Species,Accepted,NA,271580-2,2650,0,8,"c(-84.71, 10.31)",TRUE
189082,GBIF_134876,Acrorchis roseola,8.537222,-81.820278,4536864312,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acrorchis,SPECIES,Dressler,Cerro Colorado. On open rocky slope,NA,PA,1650,2,1985,PRESERVED_SPECIMEN,MO,Tropicos,103497812,6103,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,2650,Acrorchis roseola,Acrorchis,roseola,Dressler,Species,Accepted,NA,271580-2,2650,0,8,"c(-81.820278, 8.537222)",TRUE
189328,GBIF_135145,Acrorchis roseola,10.333333,-84.833333,1261358640,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acrorchis,SPECIES,Dressler,"Monteverde Reserve, El valle trail, near continental divide with Atlantic exposure.",NA,CR,1600,10,1985,PRESERVED_SPECIMEN,MO,Tropicos,642528,3196,William A. Haber;Erick Bello C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,2650,Acrorchis roseola,Acrorchis,roseola,Dressler,Species,Accepted,NA,271580-2,2650,0,8,"c(-84.833333, 10.333333)",TRUE
189331,GBIF_135148,Acrorchis roseola,10.333333,-84.833333,1261358760,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acrorchis,SPECIES,Dressler,"Monteverde Reserve, El Valle trail, on continental divide with Atlantic exposure",NA,CR,1600,10,1985,PRESERVED_SPECIMEN,MO,Tropicos,642672,3217,William A. Haber;Erick Bello C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,2650,Acrorchis roseola,Acrorchis,roseola,Dressler,Species,Accepted,NA,271580-2,2650,0,8,"c(-84.833333, 10.333333)",TRUE
