V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106403,GBIF_9598,Adenoncos virens,-6.90361,107.0175,2513790129,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Blume,"Archip. Ind. Preanger, Pendjaloe.",NA,ID,NA,8,1917,PRESERVED_SPECIMEN,NA,Botany,L.1491433,"Koorders, SH; Koorders-Schumacher, A 44396",Koorders SH; Koorders-Schumacher A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3122,Adenoncos virens,Adenoncos,virens,Blume,Species,Accepted,NA,614929-1,3122,0,5,"c(107.0175, -6.90361)",TRUE
107393,GBIF_10620,Adenoncos virens,4.41667,115.73333,2513789173,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Blume,"Sabah, Interior Zone, E of trail Long Pa Sia-Long Miau",NA,MY,NA,12,1986,PRESERVED_SPECIMEN,NA,Botany,L.1491367,"Vermeulen, JJ; Duistermaat, H 1125",Vermeulen JJ; Duistermaat H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3122,Adenoncos virens,Adenoncos,virens,Blume,Species,Accepted,NA,614929-1,3122,0,5,"c(115.73333, 4.41667)",TRUE
122527,GBIF_43817,Adenoncos celebica,1.0392,120.8169,2513789011,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Schltr.,Toli-toli,NA,ID,NA,1,1910,PRESERVED_SPECIMEN,NA,Botany,L.1491395,"Schlechter, FRR 20693",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3109,Adenoncos celebica,Adenoncos,celebica,Schltr.,Species,Accepted,NA,614916-1,3109,0,7,"c(120.8169, 1.0392)",TRUE
122528,GBIF_43818,Adenoncos parviflora,5.75,116.18333,2513788051,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Ridl.,"Sabah, Interior Zone, surroundings Pun batu, S slopes of G. Napotong",NA,MY,NA,9,1986,PRESERVED_SPECIMEN,NA,Botany,L.1491414,"Vermeulen, JJ 442",Vermeulen JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3115,Adenoncos parviflora,Adenoncos,parviflora,Ridl.,Species,Accepted,NA,614922-1,3115,0,5,"c(116.18333, 5.75)",TRUE
122529,GBIF_43819,Adenoncos parviflora,4.75,116.18333,2513788762,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Ridl.,"Sabah, Interior Zone, surroundings Pun batu, S slopes of G. Napotong",NA,MY,NA,9,1986,PRESERVED_SPECIMEN,NA,Botany,L.1491416,"Vermeulen, JJ 455",Vermeulen JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3115,Adenoncos parviflora,Adenoncos,parviflora,Ridl.,Species,Accepted,NA,614922-1,3115,0,5,"c(116.18333, 4.75)",TRUE
123159,GBIF_44487,Adenoncos papuana,-7.2,146.63333,2513790505,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,(Schltr.) Schltr.,"Mt. Manki, Bulolo, Wan District, Morobe Province.",NA,PG,NA,8,1982,PRESERVED_SPECIMEN,NA,Botany,L.1491409,"Reeve, TM 4867",Reeve TM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3114,Adenoncos papuana,Adenoncos,papuana,(Schltr.) Schltr.,Species,Accepted,NA,614921-1,3114,0,17,"c(146.63333, -7.2)",TRUE
123909,GBIF_45301,Adenoncos virens,-6.70972,106.44833,2513193564,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Blume,Java Barat G. Halimun: Nirmala Tea Estate,NA,ID,NA,NA,1985,PRESERVED_SPECIMEN,NA,Botany,L  0303315,"Vogel, EF de s.n.",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3122,Adenoncos virens,Adenoncos,virens,Blume,Species,Accepted,NA,614929-1,3122,0,5,"c(106.44833, -6.70972)",TRUE
132361,GBIF_57375,Adenoncos nasonioides,1.0392,120.8169,2513788302,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Schltr.,Toli-toli,NA,ID,NA,1,1910,PRESERVED_SPECIMEN,NA,Botany,L.1491408,"Schlechter, FRR 20697",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3113,Adenoncos nasonioides,Adenoncos,nasonioides,Schltr.,Species,Accepted,NA,614920-1,3113,0,7,"c(120.8169, 1.0392)",TRUE
133466,GBIF_58602,Adenoncos major,5.03333,116.45,2513787770,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Ridl.,"Sabah, Interior Zone, road Keningau-Sepulot, 6km past Nabawan, near old airstrip",NA,MY,NA,8,1986,PRESERVED_SPECIMEN,NA,Botany,L.1491406,"Vermeulen, JJ; Lohok, H 401",Vermeulen JJ; Lohok H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3112,Adenoncos major,Adenoncos,major,Ridl.,Species,Accepted,NA,614919-1,3112,0,5,"c(116.45, 5.03333)",TRUE
134977,GBIF_60305,Adenoncos major,1.88333,104.13333,2513788981,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Ridl.,"About the 3rd milestone, Jason Bay, Johore, Malaya.",NA,MY,NA,2,1966,PRESERVED_SPECIMEN,NA,Botany,L.1491403,"Sinclair, J 10858",Sinclair J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3112,Adenoncos major,Adenoncos,major,Ridl.,Species,Accepted,NA,614919-1,3112,0,5,"c(104.13333, 1.88333)",TRUE
134978,GBIF_60306,Adenoncos major,4.63333,116.6,2513788322,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Ridl.,NA,NA,MY,NA,2,1993,PRESERVED_SPECIMEN,NA,Botany,L.1491405,"Kulip, J; Kuntil, L SAN 133573",Kulip J; Kuntil L,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3112,Adenoncos major,Adenoncos,major,Ridl.,Species,Accepted,NA,614919-1,3112,0,5,"c(116.6, 4.63333)",TRUE
157897,GBIF_97416,Adenoncos major,6,116.68333,2513784757,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Schltr.,"Sabah, Interior Z., Lohan River downstream the Mamut Coppermine, near Ranau",NA,MY,NA,5,1987,PRESERVED_SPECIMEN,NA,Botany,L.1486808,"Vermeulen, JJ 1307",Vermeulen JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,3112,Adenoncos major,Adenoncos,major,Ridl.,Species,Accepted,NA,614919-1,3112,5,1,"c(116.68333, 6)",TRUE
157943,GBIF_97466,Adenoncos parviflora,5.16667,115.91667,2513789275,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Ridl.,"Sabah, Interior Residency, Crocker Range above Kalang Waterfall, c.10km N of Tenom",NA,MY,NA,10,1986,PRESERVED_SPECIMEN,NA,Botany,L.1491420,"Vogel, EF de 8168",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3115,Adenoncos parviflora,Adenoncos,parviflora,Ridl.,Species,Accepted,NA,614922-1,3115,0,5,"c(115.91667, 5.16667)",TRUE
157944,GBIF_97467,Adenoncos saccata,-0.03181,116.89988,2513790188,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,J.J.Sm.,"Archipel. Ind. Borneo, W. Koetai bij Benoewa Toewa.",NA,ID,NA,6,1925,PRESERVED_SPECIMEN,NA,Botany,L.1491422,"Endert, FH 1618",Endert FH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3116,Adenoncos saccata,Adenoncos,saccata,J.J.Sm.,Species,Accepted,NA,614923-1,3116,0,7,"c(116.89988, -0.03181)",TRUE
159392,GBIF_99207,Adenoncos parviflora,5.2,116.83333,2513788162,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Ridl.,NA,NA,MY,NA,4,1993,PRESERVED_SPECIMEN,NA,Botany,L.1491417,"Sawan, T SAN 135727",Sawan T,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3115,Adenoncos parviflora,Adenoncos,parviflora,Ridl.,Species,Accepted,NA,614922-1,3115,0,5,"c(116.83333, 5.2)",TRUE
163990,GBIF_104380,Adenoncos major,5.54216,102.60964,2513789329,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Adenoncos,SPECIES,Ridl.,"Bukit Kajang, Kemaman, Trengganu.",NA,MY,NA,11,1935,PRESERVED_SPECIMEN,NA,Botany,L.1491402,"Corner, EJH SFN 30391",Corner EJH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,3112,Adenoncos major,Adenoncos,major,Ridl.,Species,Accepted,NA,614919-1,3112,0,5,"c(102.60964, 5.54216)",TRUE
