V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106611,GBIF_9811,Aeridostachya robusta,3.31667,98.58333,2513809750,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aeridostachya,SPECIES,(Blume) Lindl.,gekweekt in de tuin Sumatra. Sibolangit,NA,ID,NA,2,1918,PRESERVED_SPECIMEN,NA,Botany,L.1510833,"Lörzing, JA 5524",Lörzing JA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4234,Aeridostachya robusta,Aeridostachya,robusta,(Blume) Brieger,Species,Accepted,NA,908248-1,4234,6,8,"c(98.58333, 3.31667)",TRUE
107618,GBIF_10851,Aeridostachya robusta,3.41667,101.75,2513807856,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aeridostachya,SPECIES,(Blume) Lindl.,Gunong Ulu Kali Genting Highlands,NA,MY,NA,6,1977,PRESERVED_SPECIMEN,NA,Botany,L.1510828,"Siew, WH 92",Siew WH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4234,Aeridostachya robusta,Aeridostachya,robusta,(Blume) Brieger,Species,Accepted,NA,908248-1,4234,6,8,"c(101.75, 3.41667)",TRUE
107622,GBIF_10855,Aeridostachya junghuhnii,-6.78778,106.98194,2513808972,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aeridostachya,SPECIES,J.J.Sm.,"West Java, Tjibodas, Mt. Gede. Djalan Tjibeureum.",NA,ID,NA,6,1954,PRESERVED_SPECIMEN,NA,Botany,L.1511045,"Meijer, W 2860",Meijer W,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4226,Aeridostachya junghuhnii,Aeridostachya,junghuhnii,(J.J.Sm.) Brieger,Species,Accepted,NA,908246-1,4226,10,7,"c(106.98194, -6.78778)",TRUE
107623,GBIF_10856,Aeridostachya junghuhnii,-6.78778,106.98194,2513807927,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aeridostachya,SPECIES,J.J.Sm.,"Java, Gede, Huis ten Bosch",NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1511047,Unknown s.n.,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4226,Aeridostachya junghuhnii,Aeridostachya,junghuhnii,(J.J.Sm.) Brieger,Species,Accepted,NA,908246-1,4226,10,7,"c(106.98194, -6.78778)",TRUE
122735,GBIF_44034,Aeridostachya robusta,-2.23333,120.76667,2513807623,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aeridostachya,SPECIES,(Blume) Lindl.,"Mangkutane-Pendolo divide, S flank",NA,ID,NA,2,2004,PRESERVED_SPECIMEN,NA,Botany,L.1510795,"Vermeulen, JJ 2558",Vermeulen JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4234,Aeridostachya robusta,Aeridostachya,robusta,(Blume) Brieger,Species,Accepted,NA,908248-1,4234,6,8,"c(120.76667, -2.23333)",TRUE
123345,GBIF_44690,Aeridostachya crassipes,4.85,102.8667,2513807123,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aeridostachya,SPECIES,Ridl.,Trengganu: Gunong Padang.,NA,MY,NA,6,1937,PRESERVED_SPECIMEN,NA,Botany,L.1510483,"Moysey, L; Kiah SFN 31066",Moysey L; Kiah,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4220,Aeridostachya crassipes,Aeridostachya,crassipes,(Ridl.) Rauschert,Species,Accepted,NA,911679-1,4220,12,5,"c(102.8667, 4.85)",TRUE
123356,GBIF_44701,Aeridostachya robusta,-2.05,101.3,2513810136,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aeridostachya,SPECIES,(Blume) Lindl.,"W. Sumatra, Barisan Range, Road Tapa - Sungai Penuh",NA,ID,NA,3,1974,PRESERVED_SPECIMEN,NA,Botany,L.1510830,"Vogel, EF de 2962",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4234,Aeridostachya robusta,Aeridostachya,robusta,(Blume) Brieger,Species,Accepted,NA,908248-1,4234,6,8,"c(101.3, -2.05)",TRUE
123823,GBIF_45210,Aeridostachya robusta,12.70139,124.03861,2517494177,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aeridostachya,SPECIES,Leav.,"Philippines, Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.",NA,PH,NA,6,1916,PRESERVED_SPECIMEN,NA,Botany,U.1465610,"Elmer, ADE 16457",Elmer ADE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4234,Aeridostachya robusta,Aeridostachya,robusta,(Blume) Brieger,Species,Accepted,NA,908248-1,4234,14,1,"c(124.03861, 12.70139)",TRUE
124228,GBIF_45641,Aeridostachya robusta,-7.1,107.26667,2515495894,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aeridostachya,SPECIES,Lindl.,G. Genlis pr. G. Kendeng,NA,ID,NA,6,1923,PRESERVED_SPECIMEN,NA,Botany,U.1465605,"Bakhuizen van den Brink Jr, RC 2848",Bakhuizen van den Brink Jr RC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4234,Aeridostachya robusta,Aeridostachya,robusta,(Blume) Brieger,Species,Accepted,NA,908248-1,4234,14,1,"c(107.26667, -7.1)",TRUE
131655,GBIF_56423,Aeridostachya robusta,-0.54,114.2787,1056680632,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aeridostachya,SPECIES,(Blume) Lindl.,NA,NA,ID,NA,1,1932,PRESERVED_SPECIMEN,NHMUK,BOT,BM000506644,27858,"Joseph Clemens, Mary Strong Clemens",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4234,Aeridostachya robusta,Aeridostachya,robusta,(Blume) Brieger,Species,Accepted,NA,908248-1,4234,6,8,"c(114.2787, -0.54)",TRUE
