V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114146,GBIF_18342,Aganisia fimbriata,-1.9,-48.766667,4427187857,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,Rchb.f.,"Fazenda Bonal, Fazenda Bonal - MojuInterior de mata",NA,BR,0,7,1991,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026560,861,"Vieira, RF;Pereira-Silva, G,Skorupa, LA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4385,Aganisia fimbriata,Aganisia,fimbriata,Rchb.f.,Species,Accepted,NA,615391-1,4385,0,7,"c(-48.766667, -1.9)",TRUE
114409,GBIF_18608,Aganisia cyanea,-3.061539,-58.730249,1928599043,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,(Lindl.) Rchb.f.,"Manaus-Itacoatiara Road, Km. 211",NA,BR,NA,5,1968,PRESERVED_SPECIMEN,NY,NY,482352,4905,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4384,Aganisia cyanea,Aganisia,cyanea,(Lindl.) Rchb.f.,Species,Accepted,NA,615389-1,4384,0,16,"c(-58.730249, -3.061539)",TRUE
115269,GBIF_19495,Aganisia pulchella,6.402864,-58.618394,1929223072,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,Lindl.,"Vicinity of Bartica, on the Essequibo River, Lat. 6° 25'N",NA,GY,NA,9,1922,PRESERVED_SPECIMEN,NY,NY,1477417,2000,J. S. de la Cruz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4390,Aganisia pulchella,Aganisia,pulchella,Lindl.,Species,Accepted,NA,325514-2,4390,0,6,"c(-58.618394, 6.402864)",TRUE
124623,GBIF_46052,Aganisia cyanea,2.906967,-61.01,1042689975,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,NA,"Parque Nacional do Viruá, Grade PPbio/ L1",NA,BR,0,9,2011,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",241073,717,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,4384,Aganisia cyanea,Aganisia,cyanea,(Lindl.) Rchb.f.,Species,Accepted,NA,615389-1,4384,16,-1,"c(-61.01, 2.906967)",TRUE
124674,GBIF_46104,Aganisia fimbriata,-2.883333,-59.97,1042619050,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará",NA,BR,0,3,1994,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195089,1212,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4385,Aganisia fimbriata,Aganisia,fimbriata,Rchb.f.,Species,Accepted,NA,615391-1,4385,7,-1,"c(-59.97, -2.883333)",TRUE
124689,GBIF_46121,Aganisia cyanea,-0.4,-65,1042632501,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,NA,NA,NA,BR,0,8,1999,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",207472,1417,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,4384,Aganisia cyanea,Aganisia,cyanea,(Lindl.) Rchb.f.,Species,Accepted,NA,615389-1,4384,16,-1,"c(-65, -0.4)",TRUE
124721,GBIF_46156,Aganisia fimbriata,-8.75,-54.92,1042471314,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,NA,"Estrada Santarém-Cuiabá, BR 163, entre os Km 859 a 870, Serra do Cachimbo. Campina com pequenas ilhas de mata de cerrado, solo com areia escura.",NA,BR,0,5,1983,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",112585,1194,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4385,Aganisia fimbriata,Aganisia,fimbriata,Rchb.f.,Species,Accepted,NA,615391-1,4385,7,-1,"c(-54.92, -8.75)",TRUE
124782,GBIF_46220,Aganisia cyanea,1.486694,-61.01,1042684212,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,NA,"Parque Nacional do Viruá, Caminhamos pela grade do PPBIO, desde N2-L1 até N6-L1. Foram feitas coletas do material fertil nas diferentes unidades geoambientais.",NA,BR,28.5,9,2010,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",236282,369,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,4384,Aganisia cyanea,Aganisia,cyanea,(Lindl.) Rchb.f.,Species,Accepted,NA,615389-1,4384,16,-1,"c(-61.01, 1.486694)",TRUE
124876,GBIF_46318,Aganisia cyanea,-0.166667,-67.08,1042659458,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,NA,"Rio Negro, opposite São Gabriel da Cachoeira",NA,BR,0,11,1987,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",167139,1022,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,4384,Aganisia cyanea,Aganisia,cyanea,(Lindl.) Rchb.f.,Species,Accepted,NA,615389-1,4384,16,-1,"c(-67.08, -0.166667)",TRUE
125050,GBIF_46500,Aganisia fimbriata,-2.883333,-59.97,1042654043,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Próximo ao acampamento do Acará.",NA,BR,0,5,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195230,466,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4385,Aganisia fimbriata,Aganisia,fimbriata,Rchb.f.,Species,Accepted,NA,615391-1,4385,7,-1,"c(-59.97, -2.883333)",TRUE
125151,GBIF_46607,Aganisia cyanea,1.449444,-60.98,1042689582,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,NA,"Parque Nacional do Viruá, Estrada Perdida",NA,BR,0,9,2011,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",241009,631,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,4384,Aganisia cyanea,Aganisia,cyanea,(Lindl.) Rchb.f.,Species,Accepted,NA,615389-1,4384,16,-1,"c(-60.98, 1.449444)",TRUE
127757,GBIF_52098,Aganisia pulchella,3.62348,-53.20925,4565160820,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aganisia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,11,2010,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4390,Aganisia pulchella,Aganisia,pulchella,Lindl.,Species,Accepted,NA,325514-2,4390,6,-1,"c(-53.20925, 3.62348)",TRUE
