V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106400,GBIF_9595,Aglossorrhyncha biflora,-7.51667,146.78333,2513791268,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aglossorrhyncha,SPECIES,J.J.Sm.,NA,NA,PG,NA,5,1993,PRESERVED_SPECIMEN,NA,Botany,L.1491206,"Höft, R 3704",Höft R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4748,Aglossorrhyncha biflora,Aglossorrhyncha,biflora,J.J.Sm.,Species,Accepted,NA,615401-1,4748,0,7,"c(146.78333, -7.51667)",TRUE
107392,GBIF_10619,Aglossorrhyncha biflora,-5,141.08333,2513791064,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aglossorrhyncha,SPECIES,J.J.Sm.,"Telefomin Subdist., West Sepik Dist. Mogofogola R., above junction with Bielga R. on Folongonom-Busilmin track.",NA,PG,NA,5,1975,PRESERVED_SPECIMEN,NA,Botany,L.1491224,"Vinas, AN; Wiakabu, J LAE 59605",Vinas AN; Wiakabu J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4748,Aglossorrhyncha biflora,Aglossorrhyncha,biflora,J.J.Sm.,Species,Accepted,NA,615401-1,4748,0,7,"c(141.08333, -5)",TRUE
122522,GBIF_43812,Aglossorrhyncha biflora,-3.91667,138.73333,2513788939,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aglossorrhyncha,SPECIES,J.J.Sm.,W. Irian. Baliem valley above Wellesey.,NA,ID,NA,8,1966,PRESERVED_SPECIMEN,NA,Botany,L.1491210,"Kostermans, AJGH; Soegeng-Reksodihardjo, W 776 A",Kostermans AJGH; Soegeng-Reksodihardjo W,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4748,Aglossorrhyncha biflora,Aglossorrhyncha,biflora,J.J.Sm.,Species,Accepted,NA,615401-1,4748,0,7,"c(138.73333, -3.91667)",TRUE
132360,GBIF_57373,Aglossorrhyncha aurea,-7.35,146.66667,2513788439,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aglossorrhyncha,SPECIES,Schltr.,Summit area.,NA,PG,NA,8,1992,PRESERVED_SPECIMEN,NA,Botany,L.1491204,"Höft, R 2688",Höft R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4747,Aglossorrhyncha aurea,Aglossorrhyncha,aurea,Schltr.,Species,Accepted,NA,615400-1,4747,0,7,"c(146.66667, -7.35)",TRUE
134421,GBIF_59677,Aglossorrhyncha viridis,-0.9532,133.834,2517211947,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aglossorrhyncha,SPECIES,Schltr.,"Archipel. Ind. N.Guinea, Arfak Geb.",NA,ID,NA,4,1912,PRESERVED_SPECIMEN,NA,Botany,U.1449882,"Gjellerup, K 1038",Gjellerup K,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4763,Aglossorrhyncha viridis,Aglossorrhyncha,viridis,Schltr.,Species,Accepted,NA,615412-1,4763,0,7,"c(133.834, -0.9532)",TRUE
146908,GBIF_77291,Aglossorrhyncha biflora,-15.361891,166.756982,1703314410,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aglossorrhyncha,SPECIES,J.J. Sm.,NA,NA,VU,1650,9,1971,PRESERVED_SPECIMEN,NA,NA,NA,without-number,"Raynal, J.P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4748,Aglossorrhyncha biflora,Aglossorrhyncha,biflora,J.J.Sm.,Species,Accepted,NA,615401-1,4748,1,4,"c(166.756982, -15.361891)",TRUE
147023,GBIF_77449,Aglossorrhyncha biflora,-15.361891,166.756982,1703322527,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aglossorrhyncha,SPECIES,J.J. Sm.,NA,NA,VU,1800,8,1985,PRESERVED_SPECIMEN,NA,NA,NA,without-number,"Cabalion, P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4748,Aglossorrhyncha biflora,Aglossorrhyncha,biflora,J.J.Sm.,Species,Accepted,NA,615401-1,4748,1,4,"c(166.756982, -15.361891)",TRUE
147024,GBIF_77450,Aglossorrhyncha biflora,-15.32016,167.8806,1703322452,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aglossorrhyncha,SPECIES,J.J. Sm.,NA,NA,VU,1310,11,1988,PRESERVED_SPECIMEN,NA,NA,NA,without-number,"Wheatley, J.I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4748,Aglossorrhyncha biflora,Aglossorrhyncha,biflora,J.J.Sm.,Species,Accepted,NA,615401-1,4748,1,4,"c(167.8806, -15.32016)",TRUE
147042,GBIF_77470,Aglossorrhyncha biflora,-15.350347,166.923085,1703309162,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aglossorrhyncha,SPECIES,J.J. Sm.,NA,NA,VU,NA,8,1985,PRESERVED_SPECIMEN,NA,NA,NA,without-number,"Chew, W.L.C.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4748,Aglossorrhyncha biflora,Aglossorrhyncha,biflora,J.J.Sm.,Species,Accepted,NA,615401-1,4748,1,4,"c(166.923085, -15.350347)",TRUE
158843,GBIF_98504,Aglossorrhyncha fruticicola,-1.3921,133.9652,2515610047,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aglossorrhyncha,SPECIES,J.J.Sm.,N Guinea Arfak geb. Angi meer,NA,ID,NA,4,1912,PRESERVED_SPECIMEN,NA,Botany,U.1449880,"Gjellerup, K 1115",Gjellerup K,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4750,Aglossorrhyncha fruticicola,Aglossorrhyncha,fruticicola,J.J.Sm.,Species,Accepted,NA,615402-1,4750,0,7,"c(133.9652, -1.3921)",TRUE
