V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
21859,ALA_30594,Agrostophyllum flexuosum,-7.4,146.116667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Agrostophyllum,species,Ormerod,"Tawa village near Aseki, Menyamya Subdistrict, Morobe District.",Papua New Guinea,PG,NA,5,1968,PRESERVED_SPECIMEN,CANB,CANB,CANB 197984.1,NGF 27611,"Streimann, H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,471995,Agrostophyllum flexuosum,Agrostophyllum,flexuosum,Ormerod,Species,Accepted,NA,77120957-1,471995,0,7,"c(146.116667, -7.4)",TRUE
25912,ALA_37936,Agrostophyllum flexuosum subsp. telefominense,-5,141.083333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Agrostophyllum,subspecies,Ormerod,"Top of ridge S of Busilmin, N of junction of Bielga and Mogofogola Rivers, Telefomin Subdistrict, West Sepik District.",Papua New Guinea,PG,NA,5,1975,PRESERVED_SPECIMEN,CANB,CANB,CANB 400981.1,LAE 59623,"Vinas, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,472516,Agrostophyllum flexuosum subsp. telefominense,Agrostophyllum,flexuosum,Ormerod,Subspecies,Accepted,NA,77120959-1,472516,0,7,"c(141.083333, -5)",TRUE
71081,ALA_98970,Agrostophyllum flexuosum,-9.133333,147.716667,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Agrostophyllum,species,Ormerod,The Gap,Papua New Guinea,PG,NA,12,1935,PRESERVED_SPECIMEN,CNS,CNS,QRS 43896.1,10462,"Carr, C.E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,471995,Agrostophyllum flexuosum,Agrostophyllum,flexuosum,Ormerod,Species,Accepted,NA,77120957-1,471995,0,7,"c(147.716667, -9.133333)",TRUE
77375,ALA_108240,Agrostophyllum longinode,-6.006892,145.009437,dr2287,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Agrostophyllum,species,Ormerod,Keglsugl.,Papua New Guinea,PG,NA,2,1964,PRESERVED_SPECIMEN,BRI,Herbrecs,BRI AQ0075027,NGF23204,"Millar, A.N.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,472528,Agrostophyllum longinode,Agrostophyllum,longinode,Ormerod,Species,Accepted,NA,77122550-1,472528,0,7,"c(145.009437, -6.006892)",TRUE
103913,GBIF_89,Agrostophyllum brevipes,26.86,88.73,3351116381,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Agrostophyllum,SPECIES,NA,NA,NA,IN,NA,3,2013,PRESERVED_SPECIMEN,NA,NA,NRCO/Gen/Agr-1/1,without-number,S Chakrabarti,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,4850,Agrostophyllum brevipes,Agrostophyllum,brevipes,King & Pantl.,Species,Accepted,NA,615422-1,4850,13,-1,"c(88.73, 26.86)",TRUE
104104,GBIF_321,Agrostophyllum flexuosum,-8.931767,147.534044,1056160347,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Agrostophyllum,SPECIES,Ormerod,Crest of main range N.W. of the Gap; 7000',NA,PG,2134,12,1935,PRESERVED_SPECIMEN,NHMUK,BOT,BM000508840,10462,Cedric Errol Carr,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,471995,Agrostophyllum flexuosum,Agrostophyllum,flexuosum,Ormerod,Species,Accepted,NA,77120957-1,471995,0,7,"c(147.534044, -8.931767)",TRUE
104417,GBIF_642,Agrostophyllum stipulatum,3.4689,114.5464,1056667851,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Agrostophyllum,SUBSPECIES,(Griff.) Schltr.,NA,NA,MY,NA,4,1954,PRESERVED_SPECIMEN,NHMUK,BOT,BM000507460,10874,Winifred Mary Adelaide Brooke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4940,Agrostophyllum stipulatum,Agrostophyllum,stipulatum,(Griff.) Schltr.,Species,Accepted,NA,615502-1,4940,0,16,"c(114.5464, 3.4689)",TRUE
106299,GBIF_9490,Agrostophyllum stipulatum,5.53617,100.86767,2515265785,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Agrostophyllum,SPECIES,(Griff.) Schltr.,"Kedah, Baling, G. Inas F.R., Bukit Iboi.",NA,MY,NA,11,2007,PRESERVED_SPECIMEN,NA,Botany,L.4172219,"Phoon, SN; et al. KEP FRI 60406",Phoon SN; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4940,Agrostophyllum stipulatum,Agrostophyllum,stipulatum,(Griff.) Schltr.,Species,Accepted,NA,615502-1,4940,0,16,"c(100.86767, 5.53617)",TRUE
106399,GBIF_9594,Agrostophyllum brachiatum,-2.90831,138.4413,2513788058,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Agrostophyllum,SPECIES,J.J.Sm.,"Archip. Ind. N.Guinea, Rouffaer River.",NA,ID,NA,8,1926,PRESERVED_SPECIMEN,NA,Botany,L.1491187,"Docters van Leeuwen, WM 9768",Docters van Leeuwen WM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4847,Agrostophyllum brachiatum,Agrostophyllum,brachiatum,J.J.Sm.,Species,Accepted,NA,615421-1,4847,0,7,"c(138.4413, -2.90831)",TRUE
106404,GBIF_9599,Agrostophyllum majus,6.31667,116.73333,2513788477,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Agrostophyllum,SPECIES,Hook.f.,Marai Parai,NA,MY,NA,5,1933,PRESERVED_SPECIMEN,NA,Botany,L.1491473,"Clemens, J; Clemens, MS 32358",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,4906,Agrostophyllum majus,Agrostophyllum,majus,Hook.f.,Species,Accepted,NA,615471-1,4906,0,7,"c(116.73333, 6.31667)",TRUE
