V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
138733,GBIF_64292,Alamania punicea,16.5667,-94.65,1576151397,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,La Llave & Lex.,From Sierra de San Felipe.,NA,MX,NA,12,1953,PRESERVED_SPECIMEN,USF,Herb,31007,9-26,Collector unspecified on label,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,11,4,"c(-94.65, 16.5667)",TRUE
163332,GBIF_103643,Alamania punicea,18.699722,-97.338055,2629618154,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825",Puerto del Aire,NA,MX,2390,5,1992,PRESERVED_SPECIMEN,INECOL,XAL,19024,without-number,A. Espejo S.; A.R. López-Ferrari,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-97.338055, 18.699722)",TRUE
167351,GBIF_108204,Alamania punicea,21.217075,-99.1595,2629435746,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825","Bordo del Ototal, 5 km al NE de Acatitlán de Zaragoza",NA,MX,950,4,1991,PRESERVED_SPECIMEN,FCN-UAQ,QMEX,QMEX 00003777,without-number,E. González P.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-99.1595, 21.217075)",TRUE
167381,GBIF_108236,Alamania punicea,21.286667,-99.177222,2629420434,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825",5 km camino a Tres Lagunas,NA,MX,965,9,2009,PRESERVED_SPECIMEN,FCN-UAQ,QMEX,QMEX 00003774,without-number,E. Carranza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-99.177222, 21.286667)",TRUE
167442,GBIF_108310,Alamania punicea,21.406578,-99.085508,2629424736,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825","7-8 km al S de San Juan de los Durán, Llano las Avispas",NA,MX,1150,4,1991,PRESERVED_SPECIMEN,FCN-UAQ,QMEX,QMEX 00003775,without-number,B. Servín,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-99.085508, 21.406578)",TRUE
167492,GBIF_108369,Alamania punicea,21.24758,-99.15771,2629426605,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825","Puerto del Soyatal, 6 km al N de Acatitlán de Zaragoza",NA,MX,940,3,1989,PRESERVED_SPECIMEN,FCN-UAQ,QMEX,QMEX 00003776,without-number,E. González P.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-99.15771, 21.24758)",TRUE
177316,GBIF_120847,Alamania punicea,22.958333,-104.641667,1894530222,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825","La Guajolota, alrededores",NA,MX,1050,6,1992,PRESERVED_SPECIMEN,CIIDIR-IPN,CIIDIR,NO DISPONIBLE,without-number,S. González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-104.641667, 22.958333)",TRUE
238509,GBIF_198737,Alamania punicea,18.7,-97.4,1999314294,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,La Llave & Lexarza,"N. E. of Tehuacan, road to Orizaba, Ver.",NA,MX,1900,6,1936,PRESERVED_SPECIMEN,AMES,AMES,barcode-00287813,5863,K. E. M. Östlund,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,15,3,"c(-97.4, 18.7)",TRUE
240616,GBIF_201117,Alamania punicea,18.719722,-97.296667,2629538999,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825",Acultzingo,NA,MX,NA,5,1937,PRESERVED_SPECIMEN,INECOL,XAL,V023255,without-number,E. Matuda,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-97.296667, 18.719722)",TRUE
240865,GBIF_201417,Alamania punicea,19.9,-103.75,2629484213,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825","Cañada entre Tapalpa y Venustiano Carranza, el km 13",NA,MX,NA,5,1992,PRESERVED_SPECIMEN,INECOL,XAL,P9135,without-number,R. Acevedo R.; M. Negrete A.; E. Lomelí M.; N. Martínez R.; G. González S.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-103.75, 19.9)",TRUE
304730,GBIF_303829,Alamania punicea,17.116667,-96.75,912074899,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,Lex.,NA,NA,MX,NA,10,1983,PRESERVED_SPECIMEN,K,Spirit,76381.000,83311,"Chase, M.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,0,4,"c(-96.75, 17.116667)",TRUE
317162,GBIF_322062,Alamania punicea,19.033333,-100.05,1261050221,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,(Lex.) Rchb. f.,Comunidad,NA,MX,2580,6,1932,PRESERVED_SPECIMEN,GBH,Tropicos,3617177,859,George B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,11,3,"c(-100.05, 19.033333)",TRUE
324385,GBIF_333155,Alamania punicea,22.973889,-104.614167,1419223371,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825","Alrededores de La Guajolota, mpio. Mezquital.",NA,MX,1050,6,1992,PRESERVED_SPECIMEN,UACh,CHAP,33096,without-number,M.S. González E.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-104.614167, 22.973889)",TRUE
324934,GBIF_333882,Alamania punicea,19.475,-97.075,1894893591,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825","4 km de Corral de Rajas hacia Buena Vista, cañada de Matlalapa",NA,MX,1125,4,1985,PRESERVED_SPECIMEN,INECOL,XAL,NO DISPONIBLE,without-number,Juan Guerrero R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-97.075, 19.475)",TRUE
346110,GBIF_366248,Alamania punicea,21.231667,-99.141389,1893676120,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825",Dos y medio km al ne de la florida,NA,MX,0,5,1989,PRESERVED_SPECIMEN,INECOL,IEB,93835,without-number,H. Rubio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-99.141389, 21.231667)",TRUE
346194,GBIF_366350,Alamania punicea,21.210589,-99.168289,1893676136,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825",6 KM AL S DE EL PARADOR SANTA MARTHA,NA,MX,950,4,1993,PRESERVED_SPECIMEN,INECOL,IEB,133701,without-number,E. Carranza G.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-99.168289, 21.210589)",TRUE
346396,GBIF_366601,Alamania punicea,21.206389,-99.188056,1893676127,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825","BORDO DEL OTATAL, CINCO KM AL NE DE ACATITLAN DE ZARAGOZA",NA,MX,0,4,1990,PRESERVED_SPECIMEN,INECOL,IEB,93837,without-number,E. González P.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-99.188056, 21.206389)",TRUE
346533,GBIF_366780,Alamania punicea,21.326667,-99.203333,1893676129,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825",Cinco km camino a tres lagunas,NA,MX,0,5,1989,PRESERVED_SPECIMEN,INECOL,IEB,93834,without-number,E. Carranza G.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-99.203333, 21.326667)",TRUE
347099,GBIF_367520,Alamania punicea,21.396111,-99.156111,1893676126,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Alamania,SPECIES,"Lex., 1825","JOYA DEL CERRO PRIETO, ENTRE LA LAGUNITA DE SAN DIEGO Y EL LLANO CHIQUITO, QRO.",NA,MX,1095,2,1997,PRESERVED_SPECIMEN,INECOL,IEB,93833,without-number,S. Zamudio R.; E. Pérez C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,5523,Alamania punicea,Alamania,punicea,Lex.,Species,Accepted,NA,60460310-2,5523,6,4,"c(-99.156111, 21.396111)",TRUE
