V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114617,GBIF_18819,Altensteinia virescens,-0.67,-78.5,2235414323,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Lindl.,"Parque Nacional Cotopaxi, 1-3 km Antes de la entrada bustos y gramineas",NA,EC,NA,5,1982,PRESERVED_SPECIMEN,NY,NY,03997173,2640,H. Balslev,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7169,Altensteinia virescens,Altensteinia,virescens,Lindl.,Species,Accepted,NA,615614-1,7169,0,6,"c(-78.5, -0.67)",TRUE
114961,GBIF_19177,Altensteinia fimbriata,-13.4,-72.05,1930364042,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Kunth,Chinchero. On large scultured rpck outcrop called Chinkana.,NA,PE,NA,4,1986,PRESERVED_SPECIMEN,NY,NY,842291,347,C. Franquemont,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7145,Altensteinia fimbriata,Altensteinia,fimbriata,Kunth,Species,Accepted,NA,615590-1,7145,0,5,"c(-72.05, -13.4)",TRUE
129549,GBIF_54224,Altensteinia fimbriata,-10.183056,-75.576389,4031906915,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Kunth,Distrito Pozuzo. Parque Nacional Yanachaga-Chemillen. Sector Huampal.,NA,PE,1200,11,2004,PRESERVED_SPECIMEN,MO,Tropicos,103148228,230,Edwin Becerra González;Juan Perea;L. Franco Mellado N.;J. Mateo M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7145,Altensteinia fimbriata,Altensteinia,fimbriata,Kunth,Species,Accepted,NA,615590-1,7145,0,5,"c(-75.576389, -10.183056)",TRUE
130594,GBIF_55302,Altensteinia fimbriata,-2.76611,-78.64888,1260165846,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Kunth,"Carretera Paute-Sevilla de Oro, km 32. 6 km al norte de Sevilla de Oro. Matorral húmedo montano alterado.",NA,EC,2500,7,2000,PRESERVED_SPECIMEN,MO,Tropicos,2813585,2779,Aída Alvarez;Linder Suin;Juan Carlos Valenzuela,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7145,Altensteinia fimbriata,Altensteinia,fimbriata,Kunth,Species,Accepted,NA,615590-1,7145,0,5,"c(-78.64888, -2.76611)",TRUE
130844,GBIF_55557,Altensteinia fimbriata,-13.4,-72.05,1260570414,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Kunth,Dtto. Chinchero. Pockets of soil on large sculptured rock outcrop called Chinkana.,NA,PE,3750,4,1986,PRESERVED_SPECIMEN,MO,Tropicos,3179930,347,C. Franquemont;E. Franquemont,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7145,Altensteinia fimbriata,Altensteinia,fimbriata,Kunth,Species,Accepted,NA,615590-1,7145,0,5,"c(-72.05, -13.4)",TRUE
130993,GBIF_55712,Altensteinia citrina,-1.601667,-79.053889,1260164862,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Garay,"Carretera Guaranda-Caluma, km 10. Subpáramo.",NA,EC,3100,7,2000,PRESERVED_SPECIMEN,MO,Tropicos,2812703,2689,Aída Alvarez;Linder Suin;Juan Carlos Valenzuela,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7140,Altensteinia citrina,Altensteinia,citrina,Garay,Species,Accepted,NA,304497-2,7140,0,5,"c(-79.053889, -1.601667)",TRUE
138383,GBIF_63926,Altensteinia fimbriata,-0.213996,-78.4049,1576151178,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Kunth,Tumbaco.,NA,EC,2250,5,1939,PRESERVED_SPECIMEN,USF,Herb,28268,6568,E. Asplund,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7145,Altensteinia fimbriata,Altensteinia,fimbriata,Kunth,Species,Accepted,NA,615590-1,7145,0,5,"c(-78.4049, -0.213996)",TRUE
141015,GBIF_66770,Altensteinia fimbriata,0.13,-78.33,1096747085,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Kunth,"Flora aequadoriensis, prov. Imbabura, Mojanda, on road Otavalo-Minas, at the cross road to Cerro Blanco",NA,EC,3200,6,1967,PRESERVED_SPECIMEN,S,VascularPlants,S10-8783,16849,Benkt Sparre,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7145,Altensteinia fimbriata,Altensteinia,fimbriata,Kunth,Species,Accepted,NA,615590-1,7145,0,5,"c(-78.33, 0.13)",TRUE
172588,GBIF_115776,Altensteinia fimbriata,-1.5,-78.45,1260126047,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Kunth,"Parroquia Puela, potreros y bosque perturbado.Sector Tambo Palictahua.",NA,EC,2900,10,2002,PRESERVED_SPECIMEN,CHEP,Tropicos,2777364,827,Jorge Caranqui,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7145,Altensteinia fimbriata,Altensteinia,fimbriata,Kunth,Species,Accepted,NA,615590-1,7145,0,5,"c(-78.45, -1.5)",TRUE
173506,GBIF_116725,Altensteinia fimbriata,3.756667,-76.066667,2974157323,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Kunth,Central Cordillera. Above Tenerife. Grassy slope next to the road.,NA,CO,2983,1,2011,PRESERVED_SPECIMEN,UGDA,Tropicos,101232582,276,M. Kolanowska;Ó. Pérez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7145,Altensteinia fimbriata,Altensteinia,fimbriata,Kunth,Species,Accepted,NA,615590-1,7145,0,5,"c(-76.066667, 3.756667)",TRUE
173696,GBIF_116923,Altensteinia virescens,-0.25,-78.733333,4061977590,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Altensteinia,SPECIES,Lindl.,Quito-Sto. Domingo via Chiriboga.,NA,EC,2900,6,1967,PRESERVED_SPECIMEN,US,Tropicos,101591072,16929,Benkt Sparre,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,7169,Altensteinia virescens,Altensteinia,virescens,Lindl.,Species,Accepted,NA,615614-1,7169,0,6,"c(-78.733333, -0.25)",TRUE
