V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
103963,GBIF_155,Anacamptis morio,51.244999,-1.1933,1057138252,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,SPECIES,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Nearest Named Place: Oakley Park,NA,GB,NA,NA,1861,PRESERVED_SPECIMEN,NHMUK,BOT,BM001138298,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8585,Anacamptis morio,Anacamptis,morio,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Species,Accepted,NA,998308-1,8585,0,38,"c(-1.1933, 51.244999)",TRUE
104154,GBIF_371,Anacamptis pyramidalis,51.60626,-0.497844,1135475431,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,SPECIES,(L.) Rich.,between Copper Mill Lock and Black Jack's Lock,NA,GB,NA,6,1946,PRESERVED_SPECIMEN,NHMUK,BOT,BM000586841,s.n.,Douglas Henry Kent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8593,Anacamptis pyramidalis,Anacamptis,pyramidalis,(L.) Rich.,Species,Accepted,NA,615773-1,8593,0,10,"c(-0.497844, 51.60626)",TRUE
104169,GBIF_387,Anacamptis morio,51.6031,-0.484,1135475824,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,SPECIES,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Township: Harefield,NA,GB,NA,5,1912,PRESERVED_SPECIMEN,NHMUK,BOT,BM000893454,s.n.,William Charles Barton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8585,Anacamptis morio,Anacamptis,morio,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Species,Accepted,NA,998308-1,8585,0,38,"c(-0.484, 51.6031)",TRUE
104184,GBIF_402,Anacamptis morio,52.208,1.621,1135468534,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,SPECIES,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Township: Sizewell,NA,GB,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM001054954,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8585,Anacamptis morio,Anacamptis,morio,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Species,Accepted,NA,998308-1,8585,0,38,"c(1.621, 52.208)",TRUE
104204,GBIF_422,Anacamptis morio,53.296101,-3.7917,1135469810,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,SPECIES,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Township: Bryn Pydew,NA,GB,NA,5,1953,PRESERVED_SPECIMEN,NHMUK,BOT,BM001055004,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8585,Anacamptis morio,Anacamptis,morio,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Species,Accepted,NA,998308-1,8585,0,38,"c(-3.7917, 53.296101)",TRUE
104205,GBIF_423,Anacamptis morio,51.337131,-1.39672,1135469841,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,SPECIES,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Township: Hollington,NA,GB,NA,5,1881,PRESERVED_SPECIMEN,NHMUK,BOT,BM001055055,s.n.,Henry Nicholas Ridley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8585,Anacamptis morio,Anacamptis,morio,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Species,Accepted,NA,998308-1,8585,0,38,"c(-1.39672, 51.337131)",TRUE
104206,GBIF_424,Anacamptis morio,50.680698,-1.5232,1135469881,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,SPECIES,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Township: Freshwater,NA,GB,NA,6,1929,PRESERVED_SPECIMEN,NHMUK,BOT,BM001057925,s.n.,E.F. Drabble & H.L. Drabble,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8585,Anacamptis morio,Anacamptis,morio,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Species,Accepted,NA,998308-1,8585,0,38,"c(-1.5232, 50.680698)",TRUE
104207,GBIF_425,Anacamptis morio,51.3514,-0.2503,1135469729,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,SPECIES,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Township: Ewell,NA,GB,NA,5,1884,PRESERVED_SPECIMEN,NHMUK,BOT,BM001057975,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8585,Anacamptis morio,Anacamptis,morio,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Species,Accepted,NA,998308-1,8585,0,38,"c(-0.2503, 51.3514)",TRUE
104215,GBIF_433,Anacamptis morio,54.213699,-1.3103,1135470313,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,SPECIES,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Spital Hill,NA,GB,NA,6,1908,PRESERVED_SPECIMEN,NHMUK,BOT,BM001055020,s.n.,Thomas Jackson Foggitt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8585,Anacamptis morio,Anacamptis,morio,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Species,Accepted,NA,998308-1,8585,0,38,"c(-1.3103, 54.213699)",TRUE
104270,GBIF_489,Anacamptis pyramidalis,51.326599,0.2173,1135473531,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,SPECIES,(L.) Rich.,Township: Magpie Bottom,NA,GB,NA,7,1898,PRESERVED_SPECIMEN,NHMUK,BOT,BM001164544,s.n.,Edward Shearburn Marshall,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8593,Anacamptis pyramidalis,Anacamptis,pyramidalis,(L.) Rich.,Species,Accepted,NA,615773-1,8593,0,10,"c(0.2173, 51.326599)",TRUE
