V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111278,GBIF_15288,Anathallis obovata,-27.724167,-48.535,4526422230,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,SPECIES,Angiospermas,Parque Municipal da Lagoa do Peri.,NA,BR,NA,3,2010,PRESERVED_SPECIMEN,NA,FURB,FURB34419,1636,"Cadorin, T.J.;Grosch, B.,Zimmermann, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,219855,Anathallis obovata,Anathallis,obovata,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1023429-2,219855,24,2,"c(-48.535, -27.724167)",TRUE
111314,GBIF_15328,Anathallis microphyta,-20.526944,-41.101667,4526425018,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,SPECIES,Angiospermas,Parque Estadual do Forno Grande. Localidade de Bateias. Floresta Ombrófila Densa Altomontana.,NA,BR,NA,2,2008,PRESERVED_SPECIMEN,NA,UPCB,UPCB0029405,10596,"Kollmann, L. et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,329754,Anathallis microphyta,Anathallis,microphyta,(Barb.Rodr.) C.O.Azevedo & Van den Berg,Species,Accepted,NA,77066781-1,329754,36,1,"c(-41.101667, -20.526944)",TRUE
111344,GBIF_15358,Anathallis adenochila,-20.516111,-41.083611,4526426411,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,SPECIES,Angiospermas,Foninho. Floresta Ombrófila Densa Altomontana com inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,1,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00549048,5449,"R.C. Forzza;C.N. Fraga,R. Goldenberg",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,219783,Anathallis adenochila,Anathallis,adenochila,(Loefgr.) F.Barros,Species,Accepted,NA,77061706-1,219783,15,1,"c(-41.083611, -20.516111)",TRUE
111401,GBIF_15419,Anathallis adenochila,-28.080278,-49.406667,4526431149,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,SPECIES,Angiospermas,NA,NA,BR,NA,3,2018,PRESERVED_SPECIMEN,NA,FURB,FURB58664,2383,"Kassner-Filho, A.;Santos, D.,Bollmann, G.,Althoff, L.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,219783,Anathallis adenochila,Anathallis,adenochila,(Loefgr.) F.Barros,Species,Accepted,NA,77061706-1,219783,15,1,"c(-49.406667, -28.080278)",TRUE
111463,GBIF_15484,Anathallis radialis,-20.519444,-41.0875,4526435596,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,SPECIES,Angiospermas,Trilha para o mirante. Floresta Ombrófila Densa Altomontana com inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,4,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00557892,2452,"C.N. Fraga;J. Meirelles,R.C. Forzza, A.P. Fontana, R. Goldenberg, L. Kollmann, A.M. Amorim, L. Daneu",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,219871,Anathallis radialis,Anathallis,radialis,(Porto & Brade) Pridgeon & M.W.Chase,Species,Accepted,NA,1189828-2,219871,31,2,"c(-41.0875, -20.519444)",TRUE
111467,GBIF_15488,Anathallis ciliolata,-8.268611,-72.743889,4526436118,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,SPECIES,Angiospermas,"Porangaba, Rio Jurua-Mirim",NA,BR,NA,5,1971,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY00512415,P13031,G. T. Prance;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,219799,Anathallis ciliolata,Anathallis,ciliolata,(Schltr.) Pridgeon & M.W.Chase,Species,Accepted,NA,1169711-2,219799,26,2,"c(-72.743889, -8.268611)",TRUE
111473,GBIF_15494,Anathallis adenochila,-22.585278,-44.638889,4526436488,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,SPECIES,Angiospermas,Trilha para o Véu da Noiva.,NA,BR,NA,8,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00794630,58,F. F. V. A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,219783,Anathallis adenochila,Anathallis,adenochila,(Loefgr.) F.Barros,Species,Accepted,NA,77061706-1,219783,15,1,"c(-44.638889, -22.585278)",TRUE
114405,GBIF_18604,Anathallis obovata,-15.259904,-39.195228,1927839399,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,SPECIES,(Lindl.) Pridgeon & M.W.Chase,Margem do Rio Una,NA,BR,NA,6,1968,PRESERVED_SPECIMEN,NY,NY,533509,3691,R. P. Belém,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,219855,Anathallis obovata,Anathallis,obovata,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1023429-2,219855,0,29,"c(-39.195228, -15.259904)",TRUE
114715,GBIF_18921,Anathallis obovata,-18.12,-63.75,2542570059,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,SPECIES,(Lindl.) Pridgeon & M.W.Chase,"Parque Nacional Amboro; laderas de Los Toros, 10 Km al NE de las instalaciones de Achira Campyng.",NA,BO,NA,4,1994,PRESERVED_SPECIMEN,NY,NY,04092807,3177,I. G. Vargas Caballero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,219855,Anathallis obovata,Anathallis,obovata,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1023429-2,219855,0,29,"c(-63.75, -18.12)",TRUE
115049,GBIF_19268,Anathallis angustilabia,-23.7138668,-46.4100916,1928195109,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anathallis,SPECIES,(Schltr.) Pridgeon & M.W.Chase,"Alto da Serra, Matta da Estacao Biologica",NA,BR,NA,9,1920,PRESERVED_SPECIMEN,NY,NY,512403,4465,A. Gehrt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,219786,Anathallis angustilabia,Anathallis,angustilabia,(Schltr.) Pridgeon & M.W.Chase,Species,Accepted,NA,1013531-2,219786,0,30,"c(-46.4100916, -23.7138668)",TRUE
