V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
122903,GBIF_44212,Ancistrochilus rothschildianus,-1.1,10.63333,2517708805,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ancistrochilus,SPECIES,O'Brien,c. 10 km along road Fougamou to Sindara.'Chute d'Impératrice' in the Ngounie river.,NA,GA,NA,2,1983,PRESERVED_SPECIMEN,NA,Botany,WAG.1130084,"Wilde (WALK-B), JJFE de; Arends, JC; Louis, AM; Karper, JJ; Bouman, F 760",Wilde (WALK-B) JJFE de; Arends JC; Louis AM; Karper JJ; Bouman F,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8748,Ancistrochilus rothschildianus,Ancistrochilus,rothschildianus,O'Brien,Species,Accepted,NA,615793-1,8748,0,7,"c(10.63333, -1.1)",TRUE
133989,GBIF_59195,Ancistrochilus thomsonianus,5,8.91667,2515693122,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ancistrochilus,SPECIES,(Rchb.f.) Rolfe,path from Fabe-Mundemba road to Makeke camp.,NA,CM,NA,8,1986,PRESERVED_SPECIMEN,NA,Botany,WAG.1130094,"Manning, SD 85",Manning SD,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8749,Ancistrochilus thomsonianus,Ancistrochilus,thomsonianus,(Rchb.f.) Rolfe,Species,Accepted,NA,615794-1,8749,0,15,"c(8.91667, 5)",TRUE
134622,GBIF_59909,Ancistrochilus rothschildianus,6.85,10.68333,2515885058,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ancistrochilus,SPECIES,O'Brien,"Nouvel Ako ( 27km N Nkambe), feuille IGN 1/200.000 Nkambe.",NA,CM,NA,11,1974,PRESERVED_SPECIMEN,NA,Botany,WAG.1130087,"Letouzey, RG 13158",Letouzey RG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8748,Ancistrochilus rothschildianus,Ancistrochilus,rothschildianus,O'Brien,Species,Accepted,NA,615793-1,8748,0,7,"c(10.68333, 6.85)",TRUE
158638,GBIF_98266,Ancistrochilus rothschildianus,-1.1,10.63333,2515749269,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ancistrochilus,SPECIES,O'Brien,c. 10 km along road Fougamou to Sindara.'Chute d'Impératrice' in the Ngounie river.,NA,GA,NA,8,1984,PRESERVED_SPECIMEN,NA,Botany,WAG9102082,"Laan, FM van der 813",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8748,Ancistrochilus rothschildianus,Ancistrochilus,rothschildianus,O'Brien,Species,Accepted,NA,615793-1,8748,0,7,"c(10.63333, -1.1)",TRUE
159114,GBIF_98847,Ancistrochilus rothschildianus,-1.66667,11.33333,2517686816,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ancistrochilus,SPECIES,O'Brien,"37 km E. of Mouila, along the road to Yeno.",NA,GA,NA,11,1984,PRESERVED_SPECIMEN,NA,Botany,WAG.1130085,"Arends, JC; Wilde, JJFE de; Louis, AM 475",Arends JC; Wilde JJFE de; Louis AM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8748,Ancistrochilus rothschildianus,Ancistrochilus,rothschildianus,O'Brien,Species,Accepted,NA,615793-1,8748,0,7,"c(11.33333, -1.66667)",TRUE
164439,GBIF_104932,Ancistrochilus thomsonianus,0.43333,10.26667,2517451925,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ancistrochilus,SPECIES,(Rchb.f.) Rolfe,"Barrage de Kinguéle, downstream of the hydroelectric powerstation. On bank of M'Bei river.",NA,GA,NA,11,1986,PRESERVED_SPECIMEN,NA,Botany,WAG.1130095,"Wilde, JJFE de; Arends, JC; Bruijn, J de 8854",Wilde JJFE de; Arends JC; Bruijn J de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8749,Ancistrochilus thomsonianus,Ancistrochilus,thomsonianus,(Rchb.f.) Rolfe,Species,Accepted,NA,615794-1,8749,0,15,"c(10.26667, 0.43333)",TRUE
169875,GBIF_111271,Ancistrochilus rothschildianus,-1.3,10.95,2515613206,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ancistrochilus,SPECIES,O'Brien,Waka forest exploitation road,NA,GA,NA,11,1984,PRESERVED_SPECIMEN,NA,Botany,WAG.1130083,"Arends, JC; Wilde, JJFE de; Louis, AM 370",Arends JC; Wilde JJFE de; Louis AM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8748,Ancistrochilus rothschildianus,Ancistrochilus,rothschildianus,O'Brien,Species,Accepted,NA,615793-1,8748,0,7,"c(10.95, -1.3)",TRUE
170146,GBIF_112002,Ancistrochilus thomsonianus,-0.457139,11.021,4023054921,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ancistrochilus,SPECIES,(Rchb. f.) Rolfe,NA,NA,GA,NA,2,2018,PRESERVED_SPECIMEN,IPHAMETRA,NA,NA,without-number,N. Texier,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,8749,Ancistrochilus thomsonianus,Ancistrochilus,thomsonianus,(Rchb.f.) Rolfe,Species,Accepted,NA,615794-1,8749,1,9,"c(11.021, -0.457139)",TRUE
170181,GBIF_112042,Ancistrochilus rothschildianus,0.38903,10.25022,4023058158,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ancistrochilus,SPECIES,O'Brien,NA,NA,GA,NA,10,2020,PRESERVED_SPECIMEN,IPHAMETRA,NA,NA,without-number,O. Lachenaud,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8748,Ancistrochilus rothschildianus,Ancistrochilus,rothschildianus,O'Brien,Species,Accepted,NA,615793-1,8748,0,7,"c(10.25022, 0.38903)",TRUE
172927,GBIF_116130,Ancistrochilus rothschildianus,7.700556,-8.399444,4062140230,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ancistrochilus,SPECIES,O'Brien,"Forestiere Prov. Nimba Mountains, SMFG iron mining concession.",NA,GN,740,9,2011,PRESERVED_SPECIMEN,NA,Tropicos,100508103,192,Nimba Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8748,Ancistrochilus rothschildianus,Ancistrochilus,rothschildianus,O'Brien,Species,Accepted,NA,615793-1,8748,0,7,"c(-8.399444, 7.700556)",TRUE
