V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
128699,GBIF_53359,Andinia vestigipetala,-10.54611,-75.35694,4032044430,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,SPECIES,(Luer) Pridgeon & M.W. Chase,"Dist. Oxapampa, Sector San Alberto. Bosque primario sobre borde de quebrada.",NA,PE,2450,8,2004,PRESERVED_SPECIMEN,MO,Tropicos,102174572,30401,Rodolfo Vásquez;Abel Monteagudo;Luis Valenzuela G.;Juan Perea;J. Mateo M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,219940,Andinia vestigipetala,Andinia,vestigipetala,(Luer) Pridgeon & M.W.Chase,Species,Accepted,NA,1134163-2,219940,1,22,"c(-75.35694, -10.54611)",TRUE
128996,GBIF_53659,Andinia pseudocaulescens,-0.45,-77.8833,1261356600,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,SPECIES,L.B. Sm. & S.K. Harris,North of Baeza.,NA,EC,1850,2,1986,PRESERVED_SPECIMEN,MO,Tropicos,640328,11715,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,524606,Andinia pseudocaulescens,Andinia,pseudocaulescens,(L.B.Sm. & S.K.Harris) Karremans & S.V.Uribe,Species,Accepted,NA,77160301-1,524606,26,10,"c(-77.8833, -0.45)",TRUE
130004,GBIF_54694,Andinia werneri,0.916667,-78.1,1259177274,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,SPECIES,Luer,Above Maldonado.,NA,EC,NA,NA,without-year,PRESERVED_SPECIMEN,MO,Tropicos,1916168,19859,Carl A. Luer;Jane Luer;Alexander Hirtz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,523801,Andinia werneri,Andinia,werneri,(Luer) Karremans & S.V.Uribe,Species,Accepted,NA,77160315-1,523801,24,2,"c(-78.1, 0.916667)",TRUE
130687,GBIF_55396,Andinia lunaris,-3,-78.6,1259177240,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,SPECIES,(Luer) Archila,Between Cuenca and Plan de Milagro (Limón).,NA,EC,2200,1,1995,PRESERVED_SPECIMEN,MO,Tropicos,1916132,6125,Alexander Hirtz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,524601,Andinia lunaris,Andinia,lunaris,(Luer) Karremans & S.V.Uribe,Species,Accepted,NA,77160284-1,524601,19,7,"c(-78.6, -3)",TRUE
143281,GBIF_69152,Andinia spiralis,-9.08,-77.68,2235404873,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,SPECIES,(Ruiz & Pav.) Karremans & Mark Wilson,"Huascarán National Park, Llanganuco sector, María Josefa Trail",NA,PE,NA,12,1984,PRESERVED_SPECIMEN,NY,NY,03997474,8820,D. N. Smith,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,523810,Andinia spiralis,Andinia,spiralis,(Ruiz & Pav.) Karremans & Mark Wilson,Species,Accepted,NA,77160319-1,523810,0,37,"c(-77.68, -9.08)",TRUE
152312,GBIF_83947,Andinia spiralis,-2.6,-78.9,1930529913,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,SPECIES,(Ruiz & Pav.) Karremans & Mark Wilson,"Between Cañar and Biblian, Funagillas",NA,EC,NA,8,1984,PRESERVED_SPECIMEN,NY,NY,02693910,52749,S. Lægaard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,523810,Andinia spiralis,Andinia,spiralis,(Ruiz & Pav.) Karremans & Mark Wilson,Species,Accepted,NA,77160319-1,523810,0,37,"c(-78.9, -2.6)",TRUE
173629,GBIF_116853,Andinia hippocrepica,5.491316,-75.888948,3946852551,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,SPECIES,(Luer & R. Escobar) Karremans & S. Vieira-Uribe,"Reserva Natural La Mesenia-Paramillo, plan de Maria Jesus.",NA,CO,2300,8,2022,PRESERVED_SPECIMEN,JAUM,Tropicos,101392970,231,Sebastián Vieira-Uribe;Gregory A. Wahlert;S. E. Hoyos-Gómez;Álvaro Idárraga-Piedrahita;Laura Clavijo;Heriberto David;Ubiel Rendón,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,523757,Andinia hippocrepica,Andinia,hippocrepica,(Luer & R.Escobar) Karremans & S.V.Uribe,Species,Accepted,NA,77160282-1,523757,8,23,"c(-75.888948, 5.491316)",TRUE
174458,GBIF_117758,Andinia dielsii,-1.9333,-79.0666,1261375889,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,SPECIES,(Mansf.) Luer,North of Chillanes.,NA,EC,2650,3,1984,PRESERVED_SPECIMEN,QCNE,Tropicos,660769,9709,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,8864,Andinia dielsii,Andinia,dielsii,(Mansf.) Luer,Species,Accepted,NA,1214948-2,8864,0,13,"c(-79.0666, -1.9333)",TRUE
175058,GBIF_118376,Andinia vestigipetala,-10.299444,-75.615556,1260084219,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,SPECIES,(Luer) Pridgeon & M.W. Chase,"Dist. Huancabamba. P.N. Yanachaga-Chemillén, cabecera de la Quebrada Amistad. Bosque circundante a pajonal humedo, con abundante sphagnum.",NA,PE,2260,6,2004,PRESERVED_SPECIMEN,USM,Tropicos,2739321,30316,Rodolfo Vásquez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,219940,Andinia vestigipetala,Andinia,vestigipetala,(Luer) Pridgeon & M.W.Chase,Species,Accepted,NA,1134163-2,219940,1,22,"c(-75.615556, -10.299444)",TRUE
176192,GBIF_119559,Andinia spiralis,-2.6,-78.9,4061227143,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,SPECIES,(Ruiz & Pav.) Lindl.,Canar-Biblian.,NA,EC,3400,8,1984,PRESERVED_SPECIMEN,AAU,Tropicos,101594429,52749,Simon Lægaard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,523810,Andinia spiralis,Andinia,spiralis,(Ruiz & Pav.) Karremans & Mark Wilson,Species,Accepted,NA,77160319-1,523810,21,14,"c(-78.9, -2.6)",TRUE
