V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
108018,GBIF_11271,Angraecopsis gracillima,0.23333,34.86667,2515529659,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecopsis,SPECIES,(Rolfe) Summerh.,"Kakamega forest, along road C39, 20km SE of Kakamega along Yala R., Tindinyo village.",NA,KE,NA,NA,1995,PRESERVED_SPECIMEN,NA,Botany,WAG0137884,"Musampa-Nseya, A s.n.",Musampa-Nseya A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9171,Angraecopsis gracillima,Angraecopsis,gracillima,(Rolfe) Summerh.,Species,Accepted,NA,615903-1,9171,0,16,"c(34.86667, 0.23333)",TRUE
108059,GBIF_11313,Angraecopsis parviflora,-15.43333,36.98333,2515866589,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecopsis,SPECIES,(Thouars) Schltr.,serra de Gurué.,NA,MZ,NA,7,1979,PRESERVED_SPECIMEN,NA,Botany,WAG.1130199,"Koning, J de 7431",Koning J de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9181,Angraecopsis parviflora,Angraecopsis,parviflora,(Thouars) Schltr.,Species,Accepted,NA,615909-1,9181,0,17,"c(36.98333, -15.43333)",TRUE
122908,GBIF_44217,Angraecopsis parviflora,4.91667,9.93333,2517708807,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecopsis,SPECIES,(Thouars) Schltr.,"5km S of Nkongsamba, W slope of Mt. Nlonako.",NA,CM,NA,12,1980,PRESERVED_SPECIMEN,NA,Botany,WAG.1130206,"Beentje, HJ 1484",Beentje HJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9181,Angraecopsis parviflora,Angraecopsis,parviflora,(Thouars) Schltr.,Species,Accepted,NA,615909-1,9181,0,17,"c(9.93333, 4.91667)",TRUE
123953,GBIF_45353,Angraecopsis lisowskii,6.28333,10.03333,2515635064,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecopsis,SPECIES,Szlach. & Olszewski,"Kondo, entre Oshie et Bako, 40 km NW Bamenda (feuille IGN 1/200.000 Akwaya).",NA,CM,NA,8,1975,PRESERVED_SPECIMEN,NA,Botany,WAG0114767,"Letouzey, RG 14187",Letouzey RG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9175,Angraecopsis lisowskii,Angraecopsis,lisowskii,Szlach. & Olszewski,Species,Accepted,NA,20000701-1,9175,0,19,"c(10.03333, 6.28333)",TRUE
129983,GBIF_54673,Angraecopsis elliptica,5.11791,10.26619,4907063390,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecopsis,SPECIES,Summerh.,Village de Bandoumkassa.,NA,CM,1505,9,2022,PRESERVED_SPECIMEN,MO,Tropicos,103542347,2635,Vincent Droissart;Fabrice Nzoyeuem Djonko;Eden Ruth Ngounoue Tiatsop,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9168,Angraecopsis elliptica,Angraecopsis,elliptica,Summerh.,Species,Accepted,NA,615900-1,9168,0,8,"c(10.26619, 5.11791)",TRUE
130014,GBIF_54704,Angraecopsis ischnopus,5,9.7,4973591108,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecopsis,SPECIES,(Schltr.) Schltr.,"Kodman, Kodman village. Coffee farm.",NA,CM,1500,11,1998,PRESERVED_SPECIMEN,MO,Tropicos,103845107,201,B.J. Pollard;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9174,Angraecopsis ischnopus,Angraecopsis,ischnopus,(Schltr.) Schltr.,Species,Accepted,NA,615905-1,9174,0,17,"c(9.7, 5)",TRUE
133992,GBIF_59198,Angraecopsis gracillima,0.2,34.86667,2517413916,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecopsis,SPECIES,(Rolfe) Summerh.,"Kakamega forest, along road C39, 20km SE of Kakamega along Yala River, Tindinyo village.",NA,KE,NA,8,1986,PRESERVED_SPECIMEN,NA,Botany,WAG.1130195,"Laan, FM van der; Wubben, JM 1243",Laan FM van der; Wubben JM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9171,Angraecopsis gracillima,Angraecopsis,gracillima,(Rolfe) Summerh.,Species,Accepted,NA,615903-1,9171,0,16,"c(34.86667, 0.2)",TRUE
133993,GBIF_59199,Angraecopsis ischnopus,7.46667,-7.63333,2515688448,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecopsis,SPECIES,(Schltr.) Schltr.,NA,NA,CI,NA,8,1975,PRESERVED_SPECIMEN,NA,Botany,WAG.1130197,"Burg, WJ van der 752",Burg WJ van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9174,Angraecopsis ischnopus,Angraecopsis,ischnopus,(Schltr.) Schltr.,Species,Accepted,NA,615905-1,9174,0,17,"c(-7.63333, 7.46667)",TRUE
134887,GBIF_60209,Angraecopsis elliptica,8.54889,-8.89833,2517890518,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecopsis,SPECIES,Summerh.,Guinea; Region Forestiere; Simandou; Whisky 1: submontane forest close to dam.,NA,GN,NA,11,2005,PRESERVED_SPECIMEN,NA,Botany,WAG.1924466,"Harvey, YB 270",Harvey YB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9168,Angraecopsis elliptica,Angraecopsis,elliptica,Summerh.,Species,Accepted,NA,615900-1,9168,0,8,"c(-8.89833, 8.54889)",TRUE
159313,GBIF_99117,Angraecopsis gracillima,0.28333,34.75,2517642873,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecopsis,SPECIES,(Rolfe) Summerh.,Kakamega.,NA,KE,NA,10,1981,PRESERVED_SPECIMEN,NA,Botany,WAG9102356,"Laan, FM van der 418",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9171,Angraecopsis gracillima,Angraecopsis,gracillima,(Rolfe) Summerh.,Species,Accepted,NA,615903-1,9171,0,16,"c(34.75, 0.28333)",TRUE
