V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
107725,GBIF_10969,Ania angustifolia,18.18333,98.21667,2513823308,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,(Lindl.) Benth. & Hook.f.,"Thailand, Province: Chiang Mai, District: Hod, Mai Muang Nao Arboretum, Ban Mae Sanam Mai, Baw Salee Subdistrict, km 53 Hod-Mae Sariang road (hw. 108).",NA,TH,NA,9,2001,PRESERVED_SPECIMEN,NA,Botany,L.1526441,"Sankamethawee, W 284",Sankamethawee W,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9811,Ania angustifolia,Ania,angustifolia,Lindl.,Species,Accepted,NA,616525-1,9811,19,5,"c(98.21667, 18.18333)",TRUE
122832,GBIF_44141,Ania viridifusca,18.25,98.47,2513823839,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,(Hook.) Benth. & Hook.f.,"Thailand, Province: Chiang Mai, District: Jawm Tong, near Ban Bahk Gluay (Meo Village), Mae Soi Ridge, Mae Soi Subdistrict.",NA,TH,NA,2,1991,PRESERVED_SPECIMEN,NA,Botany,L.1526347,"Maxwell, JF 91- 148",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9827,Ania viridifusca,Ania,viridifusca,(Hook.) Tang & W.T.Wang ex Summerh.,Species,Accepted,NA,616536-1,9827,22,8,"c(98.47, 18.25)",TRUE
125558,GBIF_47065,Ania angustifolia,22.01071,100.799775,1304084861,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,NA,小猛养,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,KUN,NA,ec708e5a-b6bf-11e1-8c2f-acd112e444a7,without-number,王启无,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9811,Ania angustifolia,Ania,angustifolia,Lindl.,Species,Accepted,NA,616525-1,9811,6,-1,"c(100.799775, 22.01071)",TRUE
126248,GBIF_48194,Ania viridifusca,23.519195,110.462487,1303969578,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,NA,猺山 罗香 猪头崖山,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,IBSC,NA,0100c2db-b6c0-11e1-8c2f-acd112e444a7,without-number,C.Wang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9827,Ania viridifusca,Ania,viridifusca,(Hook.) Tang & W.T.Wang ex Summerh.,Species,Accepted,NA,616536-1,9827,35,-1,"c(110.462487, 23.519195)",TRUE
126251,GBIF_48197,Ania penangiana,23.712684,116.758179,1303969659,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,NA,至凤凰路 上,NA,CN,NA,NA,1931,PRESERVED_SPECIMEN,IBSC,NA,010063f4-b6c0-11e1-8c2f-acd112e444a7,without-number,陈念劬,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9823,Ania penangiana,Ania,penangiana,(Hook.f.) Summerh.,Species,Accepted,NA,616534-1,9823,18,-1,"c(116.758179, 23.712684)",TRUE
126493,GBIF_48707,Ania penangiana,18.252013,109.504134,1303969697,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,NA,横婆坡黎村之西,NA,CN,NA,NA,1934,PRESERVED_SPECIMEN,IBSC,NA,010062f9-b6c0-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9823,Ania penangiana,Ania,penangiana,(Hook.f.) Summerh.,Species,Accepted,NA,616534-1,9823,18,-1,"c(109.504134, 18.252013)",TRUE
126903,GBIF_49687,Ania penangiana,23.712684,116.758179,1303969555,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,NA,NA,NA,CN,NA,NA,1931,PRESERVED_SPECIMEN,IBSC,NA,0100c856-b6c0-11e1-8c2f-acd112e444a7,without-number,N.K.Chun,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9823,Ania penangiana,Ania,penangiana,(Hook.f.) Summerh.,Species,Accepted,NA,616534-1,9823,18,-1,"c(116.758179, 23.712684)",TRUE
127070,GBIF_50199,Ania viridifusca,21.957355,100.452547,1303969638,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,NA,Fo Hai,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,IBSC,NA,01005bb5-b6c0-11e1-8c2f-acd112e444a7,without-number,C.W.Wang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9827,Ania viridifusca,Ania,viridifusca,(Hook.) Tang & W.T.Wang ex Summerh.,Species,Accepted,NA,616536-1,9827,35,-1,"c(100.452547, 21.957355)",TRUE
127214,GBIF_50705,Ania penangiana,18.252625,109.511923,1303969667,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,NA,NA,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,01005619-b6c0-11e1-8c2f-acd112e444a7,without-number,侯宽昭,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9823,Ania penangiana,Ania,penangiana,(Hook.f.) Summerh.,Species,Accepted,NA,616534-1,9823,18,-1,"c(109.511923, 18.252625)",TRUE
127353,GBIF_51200,Ania penangiana,18.252625,109.511923,1303969678,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,NA,NA,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,010050fe-b6c0-11e1-8c2f-acd112e444a7,without-number,陈念劬,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9823,Ania penangiana,Ania,penangiana,(Hook.f.) Summerh.,Species,Accepted,NA,616534-1,9823,18,-1,"c(109.511923, 18.252625)",TRUE
130362,GBIF_55061,Ania penangiana,15.616667,107.85,1258547737,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,Hook. f.,"Distr. Dak Gley, about 12 km to N of Dak Gley town (24 km by road), near Mang Khen village. Primary wet mountain evergreen forest.",NA,VN,1100,11,1995,PRESERVED_SPECIMEN,MO,Tropicos,1330376,VH1663,L. V. Averyanov,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9823,Ania penangiana,Ania,penangiana,(Hook.f.) Summerh.,Species,Accepted,NA,616534-1,9823,11,4,"c(107.85, 15.616667)",TRUE
132924,GBIF_58006,Ania angustifolia,18.33333,99.21667,2513243491,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,Lindl.,"Thailand, Province: Lampoon, District: Mae Tah, Doi Kuhn Dahn National Park, below Yaw 2.",NA,TH,NA,9,1993,PRESERVED_SPECIMEN,NA,Botany,L  0540510,"Maxwell, JF 93- 1074",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9811,Ania angustifolia,Ania,angustifolia,Lindl.,Species,Accepted,NA,616525-1,9811,0,6,"c(99.21667, 18.33333)",TRUE
134573,GBIF_59842,Ania angustifolia,18.78741,99.23812,2513283584,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,(Rolfe ex Downie) Seidenf. & Smitinand,"Thailand, Province: Chiang Mai, District: Muang, Doi Sutep, Ru-See Cave area.",NA,TH,NA,9,1988,PRESERVED_SPECIMEN,NA,Botany,L  0738293,"Maxwell, JF 88- 1082",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9811,Ania angustifolia,Ania,angustifolia,Lindl.,Species,Accepted,NA,616525-1,9811,35,1,"c(99.23812, 18.78741)",TRUE
145924,GBIF_76163,Ania penangiana,-0.54,114.2787,1055996053,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,(Rolfe) Senghas,NA,NA,ID,NA,9,1955,PRESERVED_SPECIMEN,NHMUK,BOT,BM000514236,73,S Collenette,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9823,Ania penangiana,Ania,penangiana,(Hook.f.) Summerh.,Species,Accepted,NA,616534-1,9823,12,3,"c(114.2787, -0.54)",TRUE
147614,GBIF_78115,Ania hongkongensis,24.37,117.3,4043634817,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,NA,NA,NA,CN,NA,NA,1956,PRESERVED_SPECIMEN,AU,NA,003563,without-number,王清江,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9817,Ania hongkongensis,Ania,hongkongensis,(Rolfe) Tang & F.T.Wang,Species,Accepted,NA,616529-1,9817,23,-1,"c(117.3, 24.37)",TRUE
148039,GBIF_78656,Ania hongkongensis,24.52,117.37,4044729220,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,NA,NA,NA,CN,NA,NA,1957,PRESERVED_SPECIMEN,AU,NA,003564,without-number,王清江,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9817,Ania hongkongensis,Ania,hongkongensis,(Rolfe) Tang & F.T.Wang,Species,Accepted,NA,616529-1,9817,23,-1,"c(117.37, 24.52)",TRUE
158595,GBIF_98200,Ania angustifolia,18.75,98.88333,2513296871,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,Lindl.,"Thailand, Province: Chiang Mai, District: Muang, Doi Sutep, east side, Kohntatahn Falls area.",NA,TH,NA,9,1987,PRESERVED_SPECIMEN,NA,Botany,L  0770803,"Maxwell, JF 87- 1002",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9811,Ania angustifolia,Ania,angustifolia,Lindl.,Species,Accepted,NA,616525-1,9811,0,6,"c(98.88333, 18.75)",TRUE
158998,GBIF_98688,Ania penangiana,4.25,97.08333,2513116192,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,(Rolfe) Senghas,Sumatra Atjeh Gajolanden bivak der Poetik waterval Lemboeh,NA,ID,NA,2,1937,PRESERVED_SPECIMEN,NA,Botany,L  0058580,"Steenis, CGGJ van 8960",Steenis CGGJ van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9823,Ania penangiana,Ania,penangiana,(Hook.f.) Summerh.,Species,Accepted,NA,616534-1,9823,12,3,"c(97.08333, 4.25)",TRUE
163957,GBIF_104345,Ania viridifusca,18.81625,98.89181,2513785871,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,Schltr.,"Siam, Doi Sootep, Chiengmai.",NA,TH,NA,2,1909,PRESERVED_SPECIMEN,NA,Botany,L.1487764,"Kerr, AFG 226",Kerr AFG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9827,Ania viridifusca,Ania,viridifusca,(Hook.) Tang & W.T.Wang ex Summerh.,Species,Accepted,NA,616536-1,9827,32,1,"c(98.89181, 18.81625)",TRUE
169376,GBIF_110666,Ania viridifusca,18.33333,99.21667,2513790113,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,(Hook.f.) Tang & F.T.Wang ex Summerh.,"Thailand, Province: Lampoon, District: Mae Tah, Doi Kuhn Dahn National Park, summit ridge and just below the summit of Doi Kuhn Dahn.",NA,TH,NA,2,1994,PRESERVED_SPECIMEN,NA,Botany,L.1492037,"Maxwell, JF 94- 171",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,9827,Ania viridifusca,Ania,viridifusca,(Hook.) Tang & W.T.Wang ex Summerh.,Species,Accepted,NA,616536-1,9827,3,19,"c(99.21667, 18.33333)",TRUE
179362,GBIF_123347,Ania penangiana,18.78333,98.91667,2513790857,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ania,SPECIES,(Hook.f.) Summerh.,"Thailand, Province: Chiang Mai, District: Muang, Doi Sutep-Pui National Park, east side, Nawng Haw area.",NA,TH,NA,1,1990,PRESERVED_SPECIMEN,NA,Botany,L.1492035,"Maxwell, JF 90- 140",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,9823,Ania penangiana,Ania,penangiana,(Hook.f.) Summerh.,Species,Accepted,NA,616534-1,9823,0,18,"c(98.91667, 18.78333)",TRUE
