V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
19612,ALA_26910,Anoectochilus yatesiae,-18,145.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8912914.1,4111,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.4, -18)",TRUE
37241,ALA_58100,Anoectochilus yatesiae,-17.4,145.8,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,600 m,8,1986,PRESERVED_SPECIMEN,NSW,NSW,NSW208606,964,"Weston, P.H. | Hind, P.D. | Healey, D. | Sankowsky, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.8, -17.4)",TRUE
70662,ALA_98349,Anoectochilus yatesiae,-17.3,145.7,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,8,1981,PRESERVED_SPECIMEN,CNS,CNS,QRS 64968.1,2106,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.7, -17.3)",TRUE
70944,ALA_98756,Anoectochilus yatesiae,-17.6,145.7,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,11,2003,PRESERVED_SPECIMEN,CNS,CNS,QRS 126183.1,8856,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.7, -17.6)",TRUE
71210,ALA_99158,Anoectochilus yatesiae,-17.8,145.6,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,4,1955,PRESERVED_SPECIMEN,CNS,CNS,QRS 128529.1,s.n.,"St Cloud, S.F.|Wilkie, J.H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.6, -17.8)",TRUE
71326,ALA_99320,Anoectochilus yatesiae,-16.6,145.3,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,7,1964,PRESERVED_SPECIMEN,CNS,CNS,CNS 137598.1,s.n.,"Dockrill, A.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.3, -16.6)",TRUE
71562,ALA_99715,Anoectochilus yatesiae,-17.4,145.8,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,11,2002,PRESERVED_SPECIMEN,CNS,CNS,QRS 124882.1,8377,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.8, -17.4)",TRUE
71686,ALA_99916,Anoectochilus yatesiae,-16.9,145.8,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,10,1954,PRESERVED_SPECIMEN,CNS,CNS,QRS 128528.1,s.n.,"St Cloud, S.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.8, -16.9)",TRUE
72176,ALA_100741,Anoectochilus yatesiae,-17,145.6,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,8,1963,PRESERVED_SPECIMEN,CNS,CNS,QRS 128535.1,s.n.,"Dockrill, A.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.6, -17)",TRUE
72526,ALA_101358,Anoectochilus yatesiae,-16.7,145.5,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,4,2009,PRESERVED_SPECIMEN,CNS,CNS,CNS 131911.1,5541,"Ford, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.5, -16.7)",TRUE
72616,ALA_101504,Anoectochilus yatesiae,-17.1,145.6,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,5,2007,PRESERVED_SPECIMEN,CNS,CNS,CNS 130571.1,5093,"Ford, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.6, -17.1)",TRUE
72718,ALA_101689,Anoectochilus yatesiae,-16.9,145.8,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Anoectochilus,species,F.M.Bailey,NA,Australia,AU,NA,7,1955,PRESERVED_SPECIMEN,CNS,CNS,QRS 128530.1,s.n.,"St Cloud, S.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10260,Anoectochilus yatesiae,Anoectochilus,yatesiae,F.M.Bailey,Species,Accepted,NA,124785-3,10260,0,10,"c(145.8, -16.9)",TRUE
