V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
107009,GBIF_10225,Ansellia africana,-13.3,35.75,2517713881,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Lindl.,Litunde.,NA,MZ,NA,10,1983,PRESERVED_SPECIMEN,NA,Botany,WAG.1130457,"Groenendijk, EMC 698",Groenendijk EMC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,0,6,"c(35.75, -13.3)",TRUE
108046,GBIF_11300,Ansellia africana,4.63333,9.43333,2515809085,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Lindl.,Kumba.,NA,CM,NA,10,1972,PRESERVED_SPECIMEN,NA,Botany,WAG9102407,"Leeuwenberg, AJM 10554 A",Leeuwenberg AJM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,0,6,"c(9.43333, 4.63333)",TRUE
108069,GBIF_11323,Ansellia africana,-25.41667,32.58333,2515873593,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,VARIETY,(Baker) Summerh.,"Maputo: Manhiça, Macandzene, próximo duma Lagoa.",NA,MZ,NA,8,1980,PRESERVED_SPECIMEN,NA,Botany,WAG.1130485,"Nuvunga, A; Mafumo, A 262",Nuvunga A; Mafumo A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,15,1,"c(32.58333, -25.41667)",TRUE
122912,GBIF_44221,Ansellia africana,-25.6,32.25,2517466815,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Rchb.f.,wide environments of Moamba.,NA,MZ,NA,10,1980,PRESERVED_SPECIMEN,NA,Botany,WAG.1130473,"Jansen, PCM; Koning, J de; Nuvunga, A; Macuácua, L 7544",Jansen PCM; Koning J de; Nuvunga A; Macuácua L,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,6,1,"c(32.25, -25.6)",TRUE
133119,GBIF_58229,Ansellia africana,-1.78778,28.89361,2517442930,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Lindl.,"Nkubi, Terr. Kalehe.",NA,CD,NA,6,1959,PRESERVED_SPECIMEN,NA,Botany,WAG.1130464,"Léonard, A 4579",Léonard A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,0,6,"c(28.89361, -1.78778)",TRUE
134214,GBIF_59447,Ansellia africana,5.3,-6.33333,2517720931,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Lindl.,"56 km N of Sassandra, E of Béyo.",NA,CI,NA,4,1959,PRESERVED_SPECIMEN,NA,Botany,WAG.1130451,"Leeuwenberg, AJM 3191",Leeuwenberg AJM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,0,6,"c(-6.33333, 5.3)",TRUE
134215,GBIF_59448,Ansellia africana,-2.7,12.4,2517651793,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Lindl.,"c. 50km NW of Mossendjo, along Doubassi river, tributary of the Nyanga river.",NA,CG,NA,9,1964,PRESERVED_SPECIMEN,NA,Botany,WAG.1130453,"Braakenburg van Backum, LJA 47",Braakenburg van Backum LJA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,0,6,"c(12.4, -2.7)",TRUE
134372,GBIF_59625,Ansellia africana,-8.23333,35,2517101382,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Lindl.,55 km NW of Mafinga on madibira road.,NA,TZ,NA,12,1988,PRESERVED_SPECIMEN,NA,Botany,L.3985987,"Gereau, RE; Congdon, TCE 2604",Gereau RE; Congdon TCE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,0,6,"c(35, -8.23333)",TRUE
159758,GBIF_99611,Ansellia africana,6.1,-5.4,2515856681,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Lindl.,Hiré Region near Kagbe village.,NA,CI,NA,11,1966,PRESERVED_SPECIMEN,NA,Botany,WAG.1130455,"Aké Assi, L 9332",Aké Assi L,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,0,6,"c(-5.4, 6.1)",TRUE
162200,GBIF_102435,Ansellia africana,0.766667,24.45,1840889853,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,NA,"Yangambi, à l' E.",NA,CD,NA,11,1936,PRESERVED_SPECIMEN,MeiseBG,BR,BR6102004935853,2857,Louis J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,6,-1,"c(24.45, 0.766667)",TRUE
162207,GBIF_102442,Ansellia africana,-3.233333,29.466667,1840892447,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,NA,prov. Bubanza: Rugazi,NA,BI,NA,3,1981,PRESERVED_SPECIMEN,MeiseBG,BR,BR6102007458861,9813,Reekmans M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,6,-1,"c(29.466667, -3.233333)",TRUE
164445,GBIF_104942,Ansellia africana,1.88724,10.01852,2515862244,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Lindl.,Bata - Niefang: Estrada km 35. En direción a Adjape a la zona de Comayá.,NA,GQ,NA,2,1995,PRESERVED_SPECIMEN,NA,Botany,WAG.1130444,"Carvalho, MF de 5797",Carvalho MF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,0,6,"c(10.01852, 1.88724)",TRUE
164446,GBIF_104943,Ansellia africana,-3.86667,39.75,2517286086,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,VARIETY,(Baker) Summerh.,c. 12 km SE of Kaloleni.,NA,KE,NA,1,1980,PRESERVED_SPECIMEN,NA,Botany,WAG.1130484,"Reitsma, JM; Reitsma, B 495",Reitsma JM; Reitsma B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,15,1,"c(39.75, -3.86667)",TRUE
169049,GBIF_110300,Ansellia africana,-0.16667,9.91667,2515712966,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Lindl.,"Mbaro, on the Ramboué.",NA,GA,NA,10,1912,PRESERVED_SPECIMEN,NA,Botany,WAG.1130466,"Chevalier, AJB 27077",Chevalier AJB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,0,6,"c(9.91667, -0.16667)",TRUE
169884,GBIF_111284,Ansellia africana,1.93333,30.5,2515601538,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SUBSPECIES,NA,Lekwa (Djugu).,NA,CD,NA,3,1959,PRESERVED_SPECIMEN,NA,Botany,WAG.1130472,"Devillé, A 227",Devillé A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,6,-1,"c(30.5, 1.93333)",TRUE
176209,GBIF_119580,Ansellia africana,-8.075278,31.5,4061233652,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ansellia,SPECIES,Lindl.,"Ca. 18.0 km S of Sumbawanga on the Sumbawanga-Mbala (Zambia) Road. In miombo woodland and pasture lands on a slight uplift/ridge, with predominately red, sandy soils.",NA,TZ,1810,11,1993,PRESERVED_SPECIMEN,BRLU,Tropicos,101597110,1209,Heidi H. Schmidt;Roy E. Gereau;et al.;Moses A. Mwangoka,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,10363,Ansellia africana,Ansellia,africana,Lindl.,Species,Accepted,NA,616658-1,10363,0,6,"c(31.5, -8.075278)",TRUE
