V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
6804,ALA_8160,Aphyllorchis queenslandica,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913113.1,4309,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.3, -16.5)",TRUE
14344,ALA_18571,Aphyllorchis anomala,-21.1,148.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,4,1997,PRESERVED_SPECIMEN,CANB,CANB,CANB 650949.2,ORG711,"Pearson, S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12737,Aphyllorchis anomala,Aphyllorchis,anomala,Dockrill,Species,Accepted,NA,616717-1,12737,0,8,"c(148.6, -21.1)",TRUE
15499,ALA_20299,Aphyllorchis queenslandica,-15.8,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,4,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9306446.2,CHB495,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.2, -15.8)",TRUE
17362,ALA_23187,Aphyllorchis queenslandica,-15.8,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,3,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 677021.1,ORG2110,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.2, -15.8)",TRUE
21222,ALA_29528,Aphyllorchis anomala,-17,145.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,5,1988,PRESERVED_SPECIMEN,CANB,CANB,CBG 8807163.2,19,"Lawler, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12737,Aphyllorchis anomala,Aphyllorchis,anomala,Dockrill,Species,Accepted,NA,616717-1,12737,0,8,"c(145.6, -17)",TRUE
23708,ALA_33908,Aphyllorchis queenslandica,-16.2,145.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,6,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 640991.1,18451,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.4, -16.2)",TRUE
27455,ALA_40916,Aphyllorchis queenslandica,-15.9,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,4,1990,PRESERVED_SPECIMEN,CANB,CANB,CBG 9010339.1,DLJ6040,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.2, -15.9)",TRUE
34636,ALA_54803,Aphyllorchis queenslandica,-16.1,145.3,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,6,1973,PRESERVED_SPECIMEN,NSW,NSW,NSW653195,1088,"Blaxell, D.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.3, -16.1)",TRUE
40527,ALA_62435,Aphyllorchis queenslandica,-16,145.3,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,6,1973,PRESERVED_SPECIMEN,NSW,NSW,NSW653196,1143,"Blaxell, D.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.3, -16)",TRUE
42229,ALA_64783,Aphyllorchis queenslandica,-16.9,145.8,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,NSW,NSW,NSW653194,s.n.,"Flecker, H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.8, -16.9)",TRUE
70659,ALA_98346,Aphyllorchis queenslandica,-17.3,145.9,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,10,1995,PRESERVED_SPECIMEN,CNS,CNS,QRS 108134.1,6327,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.9, -17.3)",TRUE
70680,ALA_98374,Aphyllorchis queenslandica,-17.3,145.9,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,9,1988,PRESERVED_SPECIMEN,CNS,CNS,QRS 89717.1,28,"Jago, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.9, -17.3)",TRUE
70846,ALA_98605,Aphyllorchis queenslandica,-17.3,145.9,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,9,1940,PRESERVED_SPECIMEN,CNS,CNS,QRS 43894.1,CAIRNS 6985,"Pearson, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.9, -17.3)",TRUE
70847,ALA_98606,Aphyllorchis queenslandica,-17.3,145.8,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,10,1962,PRESERVED_SPECIMEN,CNS,CNS,QRS 122309.1,s.n.,"Stiff, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.8, -17.3)",TRUE
71239,ALA_99194,Aphyllorchis anomala,-17,145.6,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,5,2011,PRESERVED_SPECIMEN,CNS,CNS,CNS 144311.1,143,"Schulte, K.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12737,Aphyllorchis anomala,Aphyllorchis,anomala,Dockrill,Species,Accepted,NA,616717-1,12737,0,8,"c(145.6, -17)",TRUE
71269,ALA_99243,Aphyllorchis queenslandica,-15.7,145.3,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,5,1987,PRESERVED_SPECIMEN,CNS,CNS,QRS 84364.3,4458,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12758,Aphyllorchis queenslandica,Aphyllorchis,queenslandica,Dockrill,Species,Accepted,NA,616738-1,12758,0,8,"c(145.3, -15.7)",TRUE
71315,ALA_99304,Aphyllorchis anomala,-17.1,145.6,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,1,1965,PRESERVED_SPECIMEN,CNS,CNS,QRS 122306.2,s.n.,"Morris, W.|Dockrill, A.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12737,Aphyllorchis anomala,Aphyllorchis,anomala,Dockrill,Species,Accepted,NA,616717-1,12737,0,8,"c(145.6, -17.1)",TRUE
71775,ALA_100062,Aphyllorchis anomala,-16.6,145.3,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Aphyllorchis,species,Dockrill,NA,Australia,AU,NA,4,2012,PRESERVED_SPECIMEN,CNS,CNS,CNS 143615.1,244,"Schulte, K.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,12737,Aphyllorchis anomala,Aphyllorchis,anomala,Dockrill,Species,Accepted,NA,616717-1,12737,0,8,"c(145.3, -16.6)",TRUE
