V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
5591,ALA_6636,Apostasia wallichii,-15.7,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,1,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 677020.2,ORG2070,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(145.3, -15.7)",TRUE
5656,ALA_6712,Apostasia wallichii,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913092.1,4288,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(145.3, -16.5)",TRUE
6744,ALA_8077,Apostasia wallichii,-16.5,145.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,11,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9407751.1,8714,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(145.4, -16.5)",TRUE
8129,ALA_9919,Apostasia wallichii,-0.616667,112.25,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,"Borneo; W. Kalimantan, Sintang. Bukit Baka National Park. NE of camp, Ella tingang and Ella pungur, environs near Sungai Ella.",Indonesia,ID,NA,11,1993,PRESERVED_SPECIMEN,CANB,CANB,CANB 491269.1,673,"Church, A.C.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(112.25, -0.616667)",TRUE
11179,ALA_14166,Apostasia wallichii,-7.333333,146.45,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,"Near Kwaimengu, Aseki Patrol Area, Morobe District",Papua New Guinea,PG,NA,4,1966,PRESERVED_SPECIMEN,CANB,CANB,CANB 199874.3,1404,"Craven, L.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(146.45, -7.333333)",TRUE
12768,ALA_16327,Apostasia wallichii,-16.1,145.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,2,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 679139.1,18191,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(145.4, -16.1)",TRUE
12999,ALA_16650,Apostasia wallichii,-13.9,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,5,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 599460.1,18887,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(143.3, -13.9)",TRUE
13349,ALA_17145,Apostasia wallichii,-7.916667,147.25,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,"Morobe Province, Waria River Valley, on the edge of the Sara River.",Papua New Guinea,PG,NA,4,1990,PRESERVED_SPECIMEN,CANB,CANB,CBG 9013066.2,6818,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(147.25, -7.916667)",TRUE
14567,ALA_18903,Apostasia wallichii,-3.366667,142.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,"Torricelli Ranges, NW PNG. Lower slopes - Camp 2 to 3.",Papua New Guinea,PG,NA,6,1998,PRESERVED_SPECIMEN,CANB,CANB,CANB 643149.1,9625,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(142.1, -3.366667)",TRUE
15465,ALA_20250,Apostasia wallichii,-18.2,145.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,9,1998,PRESERVED_SPECIMEN,CANB,CANB,CANB 676551.1,15715,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(145.9, -18.2)",TRUE
15582,ALA_20429,Apostasia wallichii,-18.4,146.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,12,1986,PRESERVED_SPECIMEN,CANB,CANB,CBG 8605835.2,3,"Lawler, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(146.3, -18.4)",TRUE
16265,ALA_21459,Apostasia wallichii,-18.4,146.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,9,1998,PRESERVED_SPECIMEN,CANB,CANB,CANB 676472.1,046/98,"Mackenzie, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(146.3, -18.4)",TRUE
16566,ALA_21939,Apostasia wallichii,-5.5,144.166667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,"Tagalinga, middle Jimmi Valley, Western Highlands.",Papua New Guinea,PG,NA,6,1955,PRESERVED_SPECIMEN,CANB,CANB,CANB 83018.1,7691,"Womersley, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(144.166667, -5.5)",TRUE
16620,ALA_22023,Apostasia wallichii,-18.4,146.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8912897.2,4094,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(146.1, -18.4)",TRUE
21539,ALA_30063,Apostasia wallichii,-16.2,145.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,2,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 571620.1,8453,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(145.4, -16.2)",TRUE
24933,ALA_36146,Apostasia wallichii,-13.6,143.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,7,1978,PRESERVED_SPECIMEN,CANB,CANB,CBG 7806230.1,312,"Butler, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(143.4, -13.6)",TRUE
27424,ALA_40851,Apostasia wallichii,-6.401667,143.216944,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,"SOUTHERN HIGHLANDS PROVINCE: Araucaria Ridge, half way between Moro and Ridge Camp, Lake Kutabu.",Papua New Guinea,PG,NA,7,2000,PRESERVED_SPECIMEN,CANB,CANB,CANB 617765.2,10125,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(143.216944, -6.401667)",TRUE
32648,ALA_51919,Apostasia wallichii,-18.1,145.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,9,1998,PRESERVED_SPECIMEN,CANB,CANB,CANB 954514.1,10/98,"Mackenzie, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(145.6, -18.1)",TRUE
40225,ALA_62024,Apostasia wallichii,-12.8,143.1,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,7,1986,PRESERVED_SPECIMEN,NSW,NSW,NSW200191,1900,"Hill, K.D. | Hind, P.D. | Healey, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(143.1, -12.8)",TRUE
41021,ALA_63118,Apostasia wallichii,-4.616667,143.816667,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,"Along bush track to Eaglewood Management Project plot, Asangamut, Angoram.",Papua New Guinea,PG,80 m,10,2004,PRESERVED_SPECIMEN,NSW,NSW,NSW837623,LAE86836,"Sennart, S.B. | Saega, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(143.816667, -4.616667)",TRUE
62709,ALA_88461,Apostasia wallichii,-18.4,146.1,dr15865,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,AD,AD,AD 99541048,4094,"Jones, D.L. | Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(146.1, -18.4)",TRUE
70674,ALA_98366,Apostasia wallichii,-13.7,143.4,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Apostasia,species,R.Br.,NA,Australia,AU,NA,8,2003,PRESERVED_SPECIMEN,CNS,CNS,QRS 125615.1,18971,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13373,Apostasia wallichii,Apostasia,wallichii,R.Br.,Species,Accepted,NA,616796-1,13373,0,5,"c(143.4, -13.7)",TRUE
