V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104445,GBIF_672,Arachnis flos-aeris,-7.6697939999999996,110.5311,1055564723,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,SPECIES,(L.) Rchb.f.,NA,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000538971,s.n.,Anonymous,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13679,Arachnis flos-aeris,Arachnis,flos,(L.) Rchb.f.,Species,Accepted,NA,617011-1,13679,0,12,"c(110.5311, -7.669794)",TRUE
114304,GBIF_18501,Arachnis clarkei,18.751073,109.65053,2235394246,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,SPECIES,(Rchb.f.) J.J.Sm.,"Dai Land, Dung Ka",NA,CN,NA,9,1932,PRESERVED_SPECIMEN,NY,NY,3997825,43927,N. K. Chun,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,13677,Arachnis clarkei,Arachnis,clarkei,(Rchb.f.) J.J.Sm.,Species,Accepted,NA,617009-1,13677,0,17,"c(109.65053, 18.751073)",TRUE
125172,GBIF_46628,Arachnis labrosa,18.252013,109.504134,1303966782,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,SPECIES,NA,春白岭之北,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,011274ce-b6c0-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,13685,Arachnis labrosa,Arachnis,labrosa,(Lindl. & Paxton) Rchb.f.,Species,Accepted,NA,617015-1,13685,25,-1,"c(109.504134, 18.252013)",TRUE
125272,GBIF_46734,Arachnis clarkei,18.252625,109.511923,1303972352,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,SPECIES,NA,小抱扛,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,00f09eeb-b6c0-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,13677,Arachnis clarkei,Arachnis,clarkei,(Rchb.f.) J.J.Sm.,Species,Accepted,NA,617009-1,13677,17,-1,"c(109.511923, 18.252625)",TRUE
125448,GBIF_46945,Arachnis clarkei,18.626309,109.700342,1304083510,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,SPECIES,NA,牛角岭,NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,KUN,NA,ec771974-b6bf-11e1-8c2f-acd112e444a7,without-number,侯宽昭,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,13677,Arachnis clarkei,Arachnis,clarkei,(Rchb.f.) J.J.Sm.,Species,Accepted,NA,617009-1,13677,17,-1,"c(109.700342, 18.626309)",TRUE
126032,GBIF_47776,Arachnis labrosa,18.252625,109.511923,1303973049,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,SPECIES,NA,四封山，南淋,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,00ed5d10-b6c0-11e1-8c2f-acd112e444a7,without-number,黄志,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,13685,Arachnis labrosa,Arachnis,labrosa,(Lindl. & Paxton) Rchb.f.,Species,Accepted,NA,617015-1,13685,25,-1,"c(109.511923, 18.252625)",TRUE
126242,GBIF_48187,Arachnis clarkei,18.626309,109.700342,1303969118,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,SPECIES,NA,官寮村白马岭山坑,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,IBSC,NA,0103f485-b6c0-11e1-8c2f-acd112e444a7,without-number,刘心祈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,13677,Arachnis clarkei,Arachnis,clarkei,(Rchb.f.) J.J.Sm.,Species,Accepted,NA,617009-1,13677,17,-1,"c(109.700342, 18.626309)",TRUE
126310,GBIF_48279,Arachnis labrosa,18.626309,109.700342,1303973050,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,SPECIES,NA,牛角岭脚,NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,IBSC,NA,00ed5e19-b6c0-11e1-8c2f-acd112e444a7,without-number,侯宽昭,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,13685,Arachnis labrosa,Arachnis,labrosa,(Lindl. & Paxton) Rchb.f.,Species,Accepted,NA,617015-1,13685,25,-1,"c(109.700342, 18.626309)",TRUE
126733,GBIF_49223,Arachnis clarkei,18.516726,110.029085,1303972234,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,SPECIES,NA,铜甲，大蘭,NA,CN,NA,NA,1932,PRESERVED_SPECIMEN,IBSC,NA,00f0aca3-b6c0-11e1-8c2f-acd112e444a7,without-number,左景烈、陈念劬,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,13677,Arachnis clarkei,Arachnis,clarkei,(Rchb.f.) J.J.Sm.,Species,Accepted,NA,617009-1,13677,17,-1,"c(110.029085, 18.516726)",TRUE
126736,GBIF_49226,Arachnis clarkei,18.252625,109.511923,1303972289,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,SPECIES,NA,殴石岭，南淋岭,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,00f096a1-b6c0-11e1-8c2f-acd112e444a7,without-number,黄志,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,13677,Arachnis clarkei,Arachnis,clarkei,(Rchb.f.) J.J.Sm.,Species,Accepted,NA,617009-1,13677,17,-1,"c(109.511923, 18.252625)",TRUE
