V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
2010,ALA_2294,Arthrochilus prolixus,-32.416667,152.2,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arthrochilus,species,D.L.Jones,Bulahdelah,Australia,AU,NA,1,1928,PRESERVED_SPECIMEN,HO,HO,HO503194,s.n.,"Perrin, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,15944,Arthrochilus prolixus,Arthrochilus,prolixus,D.L.Jones,Species,Accepted,NA,959677-1,15944,0,9,"c(152.2, -32.416667)",TRUE
2505,ALA_2871,Arthrochilus irritabilis,-32.416667,152.233333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arthrochilus,species,F.Muell.,Alum Mount,Australia,AU,NA,6,1923,PRESERVED_SPECIMEN,HO,HO,HO503193,s.n.,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,15941,Arthrochilus irritabilis,Arthrochilus,irritabilis,F.Muell.,Species,Accepted,NA,617120-1,15941,0,8,"c(152.233333, -32.416667)",TRUE
4043,ALA_4731,Arthrochilus irritabilis,-32.4,152.216667,dr13282,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arthrochilus,species,F.Muell.,"Alum Mountain, [Bulladelah] Bulahdelah.",Australia,AU,NA,4,1924,PRESERVED_SPECIMEN,MELU,MELU,MELUM012532a,s.n.,"Rupp, H.M.R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,15941,Arthrochilus irritabilis,Arthrochilus,irritabilis,F.Muell.,Species,Accepted,NA,617120-1,15941,0,8,"c(152.216667, -32.4)",TRUE
5041,ALA_5956,Arthrochilus prolixus,-32.983333,151.466667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arthrochilus,species,D.L.Jones,Freemans Waterhole.,Australia,AU,NA,4,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9709753.1,DLJ9276,"Tunstall, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,15944,Arthrochilus prolixus,Arthrochilus,prolixus,D.L.Jones,Species,Accepted,NA,959677-1,15944,0,9,"c(151.466667, -32.983333)",TRUE
5200,ALA_6158,Arthrochilus oreophilus,-17.3,145.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arthrochilus,species,D.L.Jones,NA,Australia,AU,NA,1,1986,PRESERVED_SPECIMEN,CANB,CANB,CANB 959719.1,s.n.,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,15943,Arthrochilus oreophilus,Arthrochilus,oreophilus,D.L.Jones,Species,Accepted,NA,959676-1,15943,0,9,"c(145.5, -17.3)",TRUE
5210,ALA_6172,Arthrochilus rosulatus,-15.7,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arthrochilus,species,D.L.Jones,NA,Australia,AU,NA,5,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 618111.2,ORG2565,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,15945,Arthrochilus rosulatus,Arthrochilus,rosulatus,D.L.Jones,Species,Accepted,NA,959678-1,15945,0,9,"c(145.2, -15.7)",TRUE
5248,ALA_6219,Arthrochilus rosulatus,-15.7,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arthrochilus,species,D.L.Jones,NA,Australia,AU,NA,4,1990,PRESERVED_SPECIMEN,CANB,CANB,CBG 9707622.1,83,"Lawler, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,15945,Arthrochilus rosulatus,Arthrochilus,rosulatus,D.L.Jones,Species,Accepted,NA,959678-1,15945,0,9,"c(145.2, -15.7)",TRUE
5920,ALA_7045,Arthrochilus rosulatus,-15.5,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arthrochilus,species,D.L.Jones,NA,Australia,AU,NA,2,1995,PRESERVED_SPECIMEN,CANB,CANB,CANB 618112.1,DLJ13851,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,15945,Arthrochilus rosulatus,Arthrochilus,rosulatus,D.L.Jones,Species,Accepted,NA,959678-1,15945,0,9,"c(145.2, -15.5)",TRUE
6143,ALA_7320,Arthrochilus stenophyllus,-21,148.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arthrochilus,species,D.L.Jones,NA,Australia,AU,NA,3,1995,PRESERVED_SPECIMEN,CANB,CANB,CANB 618110.1,DLJ13877,"Pearson, S.G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,15947,Arthrochilus stenophyllus,Arthrochilus,stenophyllus,D.L.Jones,Species,Accepted,NA,959680-1,15947,0,9,"c(148.6, -21)",TRUE
6381,ALA_7620,Arthrochilus prolixus,-33,151.533333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arthrochilus,species,D.L.Jones,Awaba.,Australia,AU,NA,2,1988,PRESERVED_SPECIMEN,CANB,CANB,CANB 650024.1,s.n.,"D'Aubert, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,15944,Arthrochilus prolixus,Arthrochilus,prolixus,D.L.Jones,Species,Accepted,NA,959677-1,15944,0,9,"c(151.533333, -33)",TRUE
