V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
129902,GBIF_54589,Artorima erubescens,16.85,-97.233333,1258791995,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Artorima,SPECIES,(Lindl.) Dressler & G.E. Pollard,Sierra de San Felipe,NA,MX,2743.2,12,1894,PRESERVED_SPECIMEN,MO,Tropicos,1561649,6097,Cyrus G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16025,Artorima erubescens,Artorima,erubescens,(Lindl.) Dressler & G.E.Pollard,Species,Accepted,NA,20936-2,16025,1,24,"c(-97.233333, 16.85)",TRUE
136821,GBIF_62312,Artorima erubescens,16.5667,-94.65,1503280244,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Artorima,SPECIES,(Lindl.) Schltr.,Sierra de San Felipe,NA,MX,NA,12,1953,PRESERVED_SPECIMEN,USF,Herb,28542,without-number,unknown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16025,Artorima erubescens,Artorima,erubescens,(Lindl.) Dressler & G.E.Pollard,Species,Accepted,NA,20936-2,16025,19,9,"c(-94.65, 16.5667)",TRUE
137813,GBIF_63332,Artorima erubescens,16.5667,-94.65,1503292687,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Artorima,SPECIES,(Lindl.) Schltr.,Sierra de San Felipe,NA,MX,NA,12,1894,PRESERVED_SPECIMEN,USF,Herb,51143,6097,C. G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16025,Artorima erubescens,Artorima,erubescens,(Lindl.) Dressler & G.E.Pollard,Species,Accepted,NA,20936-2,16025,19,9,"c(-94.65, 16.5667)",TRUE
138657,GBIF_64212,Artorima erubescens,16.5667,-94.65,1503280214,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Artorima,SPECIES,(Lindl.) Schltr.,Sierra de San Felipe.,NA,MX,NA,2,1954,PRESERVED_SPECIMEN,USF,Herb,28541,G-31,unknown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16025,Artorima erubescens,Artorima,erubescens,(Lindl.) Dressler & G.E.Pollard,Species,Accepted,NA,20936-2,16025,19,9,"c(-94.65, 16.5667)",TRUE
279747,GBIF_259053,Artorima erubescens,16.8025,-96.71583,4444159435,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Artorima,SPECIES,(Lindl.) Dressler & G.E.Pollard,Purchased from street vendor in Oaxaca de Juarez for USD $4.30; told plants from Santiago Apostol Etla,NA,MX,1494,12,1992,PRESERVED_SPECIMEN,UCR,NA,NA,70,Janna Weiss,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,16025,Artorima erubescens,Artorima,erubescens,(Lindl.) Dressler & G.E.Pollard,Species,Accepted,NA,20936-2,16025,0,31,"c(-96.71583, 16.8025)",TRUE
289479,GBIF_286855,Artorima erubescens,16.16,-96.5,1258791996,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Artorima,SPECIES,(Lindl.) Dressler & G.E. Pollard,"Pacific slope. Near San José el Pacifico. Mt. forests, in oak-pine forest on trees.",NA,MX,2600,2,1936,PRESERVED_SPECIMEN,MO,Tropicos,1561648,5370,Otto Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16025,Artorima erubescens,Artorima,erubescens,(Lindl.) Dressler & G.E.Pollard,Species,Accepted,NA,20936-2,16025,1,24,"c(-96.5, 16.16)",TRUE
324488,GBIF_333277,Artorima erubescens,18.513056,-99.545833,1893912310,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Artorima,SPECIES,"(Lindl.) Dressler & G.E. Pollard, 1971","Juliantla, 3 km al S",NA,MX,975,3,1998,PRESERVED_SPECIMEN,FC-UNAM,FCME,060438,without-number,Jorge Calónico Soto,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16025,Artorima erubescens,Artorima,erubescens,(Lindl.) Dressler & G.E.Pollard,Species,Accepted,NA,20936-2,16025,7,24,"c(-99.545833, 18.513056)",TRUE
324515,GBIF_333308,Artorima erubescens,18.587778,-99.679722,1893912267,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Artorima,SPECIES,"(Lindl.) Dressler & G.E. Pollard, 1971","Taxco, 8.47 km al NO",NA,MX,1170,5,1998,PRESERVED_SPECIMEN,FC-UNAM,FCME,060440,without-number,Armando Ponce Vargas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16025,Artorima erubescens,Artorima,erubescens,(Lindl.) Dressler & G.E.Pollard,Species,Accepted,NA,20936-2,16025,7,24,"c(-99.679722, 18.587778)",TRUE
324521,GBIF_333316,Artorima erubescens,17.565,-99.878611,1893912262,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Artorima,SPECIES,"(Lindl.) Dressler & G.E. Pollard, 1971","Asoleadero, 6 km antes de Cruz de Ocote",NA,MX,1325,11,1974,PRESERVED_SPECIMEN,IBUNAM,MEXU,409634,without-number,Eric Hágsater,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16025,Artorima erubescens,Artorima,erubescens,(Lindl.) Dressler & G.E.Pollard,Species,Accepted,NA,20936-2,16025,7,24,"c(-99.878611, 17.565)",TRUE
346371,GBIF_366562,Artorima erubescens,17.308333,-98.191667,1893693390,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Artorima,SPECIES,"(Lindl.) Dressler & G.E. Pollard, 1971","25.5 KM AL SW DE TECOMAXTLAHUACA CARR. A COYCOYAN DE LAS FLORES, O 1 KM DE LA DESV. A SAN JUAN PIÑAS, MPIO. SAN MARTIN PERAS, DTO. JUXTLAHUACA, OAX.",NA,MX,1345,2,1993,PRESERVED_SPECIMEN,INECOL,IEB,160205,without-number,A. Campos V.; J. I. Calzada,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16025,Artorima erubescens,Artorima,erubescens,(Lindl.) Dressler & G.E.Pollard,Species,Accepted,NA,20936-2,16025,7,24,"c(-98.191667, 17.308333)",TRUE
