V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104003,GBIF_218,Aspasia principissa,8.507188,-80.102665,1056378475,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,Rchb.f.,NA,NA,PA,NA,12,1934,PRESERVED_SPECIMEN,NHMUK,BOT,BM000026373,16990,"C.W. Dodge, et al",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,16661,Aspasia principissa,Aspasia,principissa,Rchb.f.,Species,Accepted,NA,21397-2,16661,0,7,"c(-80.102665, 8.507188)",TRUE
114139,GBIF_18335,Aspasia variegata,-16.025833,-48.068056,4427186767,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,Lindl.,"Novo sítio, Estrada da fazenda São Martins",NA,BR,0,11,2003,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026564,2845,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,0,6,"c(-48.068056, -16.025833)",TRUE
115024,GBIF_19242,Aspasia variegata,-8.05,-50.17,1927968898,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,Lindl.,"Range of low hills ca. 20 km. west of Redencao, near Corrego Sao Joao and Troncamento Santa teresa.",NA,BR,NA,2,1980,PRESERVED_SPECIMEN,NY,NY,482362,8462,T. C. Plowman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,0,6,"c(-50.17, -8.05)",TRUE
124441,GBIF_45861,Aspasia variegata,1.347222,-60.85,1042689638,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,NA,Parque Nacional do Viruá,NA,BR,0,9,2011,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",241060,698,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,6,-1,"c(-60.85, 1.347222)",TRUE
124477,GBIF_45900,Aspasia variegata,-8.05,-50.17,1042591562,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,NA,"Range of lowe hills ca. 20 Km west of Redenção, near Côrrego São João and Troncamento Santa Teresa. In forest.",NA,BR,485,2,1980,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",119941,8462,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,6,-1,"c(-50.17, -8.05)",TRUE
124668,GBIF_46098,Aspasia variegata,3.366667,-61.42,1042615846,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,NA,"Ilha de Maracá, SEMA Ecological Station.",NA,BR,0,3,1987,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",167619,5589,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,6,-1,"c(-61.42, 3.366667)",TRUE
124740,GBIF_46175,Aspasia variegata,3.366667,-61.43,1042568422,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,NA,"SEMA Ecological Reserve, Ilha de Maracá. Terra firme forest near track to Sta Rosa.",NA,BR,0,4,1987,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",167300,70,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,6,-1,"c(-61.43, 3.366667)",TRUE
127575,GBIF_51789,Aspasia variegata,3.62348,-53.20925,4565160483,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,12,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,6,-1,"c(-53.20925, 3.62348)",TRUE
127742,GBIF_52066,Aspasia variegata,3.62348,-53.20925,4565160785,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,11,2011,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,6,-1,"c(-53.20925, 3.62348)",TRUE
127761,GBIF_52104,Aspasia variegata,3.62348,-53.20925,4565160827,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,6,-1,"c(-53.20925, 3.62348)",TRUE
127775,GBIF_52132,Aspasia variegata,3.62348,-53.20925,4565160837,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,9,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,6,-1,"c(-53.20925, 3.62348)",TRUE
127936,GBIF_52540,Aspasia variegata,3.62348,-53.20925,4565215313,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,1,2015,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,6,-1,"c(-53.20925, 3.62348)",TRUE
128590,GBIF_53248,Aspasia epidendroides,13.966667,-85.35,4031967536,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,Lindl.,"Caño Litutus, Río Bocay; river bank and along stream, limestone with local travertine deposits.",NA,NI,175,3,1980,PRESERVED_SPECIMEN,MO,Tropicos,101786024,16654,W. D. Stevens;James H. Beach;J. Schal;O. M. Montiel J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,16654,Aspasia epidendroides,Aspasia,epidendroides,Lindl.,Species,Accepted,NA,324267-2,16654,0,6,"c(-85.35, 13.966667)",TRUE
128777,GBIF_53438,Aspasia epidendroides,11.06638,-84.34888,4032071340,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,Lindl.,"Municipio El Castillo, Comunidad Boca de Escalera 3 km al Este de Las Maravillas",NA,NI,60,3,2005,PRESERVED_SPECIMEN,MO,Tropicos,102341486,3125,R. Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,16654,Aspasia epidendroides,Aspasia,epidendroides,Lindl.,Species,Accepted,NA,324267-2,16654,0,6,"c(-84.34888, 11.06638)",TRUE
129610,GBIF_54288,Aspasia epidendroides,13.633333,-85.033333,1258502601,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,Lindl.,Ca. 1.5 km NE of La Esperanza de Las Quebradas.,NA,NI,325,3,1981,PRESERVED_SPECIMEN,MO,Tropicos,1288472,19325,W. D. Stevens;P. P. Moreno,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,16654,Aspasia epidendroides,Aspasia,epidendroides,Lindl.,Species,Accepted,NA,324267-2,16654,0,6,"c(-85.033333, 13.633333)",TRUE
129621,GBIF_54299,Aspasia principissa,8.466667,-77.616667,1258519420,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,Rchb. f.,"Río Tuquesa, at lower Tuquesa Mining Company camp called Charco Chiva (= Quebrada Venado on Darién radar map).",NA,PA,100,7,1975,PRESERVED_SPECIMEN,MO,Tropicos,1303898,6944,Scott A. Mori,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16661,Aspasia principissa,Aspasia,principissa,Rchb.f.,Species,Accepted,NA,21397-2,16661,1,5,"c(-77.616667, 8.466667)",TRUE
130333,GBIF_55031,Aspasia principissa,9.38333,-79.55833,1258519390,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,Rchb. f.,Forests along Río Boquerón above Peluca Hydrographic Station,NA,PA,90,2,1935,PRESERVED_SPECIMEN,MO,Tropicos,1303844,653,A. A. Hunter;Paul H. Allen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,16661,Aspasia principissa,Aspasia,principissa,Rchb.f.,Species,Accepted,NA,21397-2,16661,1,5,"c(-79.55833, 9.38333)",TRUE
130334,GBIF_55032,Aspasia epidendroides,11,-85.55,1258519433,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,Lindl.,Parque Nacional Guanacaste. Cerro El Hacha. Camino a Santa Cecillia.,NA,CR,450,3,1992,PRESERVED_SPECIMEN,MO,Tropicos,1303880,271,Roberto Espinoza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,16654,Aspasia epidendroides,Aspasia,epidendroides,Lindl.,Species,Accepted,NA,324267-2,16654,0,6,"c(-85.55, 11)",TRUE
130597,GBIF_55305,Aspasia variegata,10.15,-65.8,1260167284,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aspasia,SPECIES,Lindl.,"Cerros del Bachiller, near eas end: virgin evergreen forest, between base and summit, above Quebrada Corozal, south of Santa Cruz. 10 kms (by air) west of Cúpira.",NA,VE,650,3,1978,PRESERVED_SPECIMEN,MO,Tropicos,2814926,116716,Julian A. Steyermark;Gerrit Davidse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,16666,Aspasia variegata,Aspasia,variegata,Lindl.,Species,Accepted,NA,325515-2,16666,0,6,"c(-65.8, 10.15)",TRUE
