V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113675,GBIF_17863,Aulosepalum pulchrum,19.633333,-104.101944,1893961587,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"Schltr., 1918","1 km al S de La Cañita, 14 km al SO de Tuxcacuesco",NA,MX,500,5,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,5286,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18317,Aulosepalum pulchrum,Aulosepalum,pulchrum,(Schltr.) Catling,Species,Accepted,NA,272959-2,18317,9,7,"c(-104.101944, 19.633333)",TRUE
113680,GBIF_17870,Aulosepalum pulchrum,19.666667,-104.325556,1893961593,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"Schltr., 1918","1 km al SO de Ahuacapán, 11-12 km al SSE de Autlán",NA,MX,500,5,1989,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,8360,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18317,Aulosepalum pulchrum,Aulosepalum,pulchrum,(Schltr.) Catling,Species,Accepted,NA,272959-2,18317,9,7,"c(-104.325556, 19.666667)",TRUE
128184,GBIF_52813,Aulosepalum pyramidale,19.175,-98.591667,4168477830,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"Lindl., 1840","Campo Experimental Forestal San Jaun Tetla, Mpio. Chiautzingo.",NA,MX,0,4,1966,PRESERVED_SPECIMEN,CECOY-INIFAP,INIF,15992,without-number,A. May N.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,466804,Aulosepalum pyramidale,Aulosepalum,pyramidale,(Lindl.) M.A.Dix & M.W.Dix,Species,Accepted,NA,60456058-2,466804,19,6,"c(-98.591667, 19.175)",TRUE
129883,GBIF_54568,Aulosepalum pyramidale,13.51666,-85.61666,1258777096,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,(Lindl.) R. González & Szlach.,"Reserva Natural Kilambé. Muncipio de Bocay, Comunidad San Miguel de Kilambé.",NA,NI,800,1,2001,PRESERVED_SPECIMEN,MO,Tropicos,1548419,15298,R. M. Rueda;M. Garmendia;N. Toval;A. Rivera;H. Mendoza;L. D. Paguaga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,466804,Aulosepalum pyramidale,Aulosepalum,pyramidale,(Lindl.) M.A.Dix & M.W.Dix,Species,Accepted,NA,60456058-2,466804,17,9,"c(-85.61666, 13.51666)",TRUE
130725,GBIF_55434,Aulosepalum pyramidale,16.98333,-96.06666,1259333543,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,(Lindl.) Burns-Bal.,"Near Piñon, Mts S.E. of Ayuntla. On loamy exposed slopes.",NA,MX,2100,4,1934,PRESERVED_SPECIMEN,MO,Tropicos,2058431,3789,Otto Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,466804,Aulosepalum pyramidale,Aulosepalum,pyramidale,(Lindl.) M.A.Dix & M.W.Dix,Species,Accepted,NA,60456058-2,466804,16,9,"c(-96.06666, 16.98333)",TRUE
137372,GBIF_62881,Aulosepalum hemichrea,18.0046,-101.614,1503221353,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,Lindl.,"Vallecitos, Montes de Oca.",NA,MX,NA,11,1937,PRESERVED_SPECIMEN,USF,Herb,199041,11562,G. B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18314,Aulosepalum hemichrea,Aulosepalum,hemichrea,(Lindl.) Garay,Species,Accepted,NA,26927-2,18314,8,6,"c(-101.614, 18.0046)",TRUE
139593,GBIF_65199,Aulosepalum hemichrea,16.1613,-93.3321,4399480238,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"(Lindl.) Garay, 1982",Nueva Esperanza,NA,MX,0,1,2004,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"Reyes Garcia, A.; Alvarado, L.; Gomez, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18314,Aulosepalum hemichrea,Aulosepalum,hemichrea,(Lindl.) Garay,Species,Accepted,NA,26927-2,18314,6,14,"c(-93.3321, 16.1613)",TRUE
139863,GBIF_65510,Aulosepalum hemichrea,13.25117,-87.0635,4399480814,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"(Lindl.) Garay, 1982",No disponible,NA,HN,0,1,2006,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"House, P.R.; Lesko, C.P.; Diaz, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18314,Aulosepalum hemichrea,Aulosepalum,hemichrea,(Lindl.) Garay,Species,Accepted,NA,26927-2,18314,6,14,"c(-87.0635, 13.25117)",TRUE
139964,GBIF_65637,Aulosepalum hemichrea,15.147331,-92.267657,1897603027,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"(Lindl.) Garay, 1982",Santa Rosalía,NA,MX,0,5,2008,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,188,without-number,"Anne Damon, Rodolfo Solano y Laura Jiménez",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18314,Aulosepalum hemichrea,Aulosepalum,hemichrea,(Lindl.) Garay,Species,Accepted,NA,26927-2,18314,6,14,"c(-92.267657, 15.147331)",TRUE
141914,GBIF_67704,Aulosepalum hemichrea,16.912222,-93.105,1895455732,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"Lindl., 1840",En mirador Manos que Implorán a 11 Km al SW de Chicoasén,NA,MX,340,2,1988,PRESERVED_SPECIMEN,CNS-UT,TEX,00111732,without-number,E. M. Martínez S.; M. Sousa P.; A. Reyes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18314,Aulosepalum hemichrea,Aulosepalum,hemichrea,(Lindl.) Garay,Species,Accepted,NA,26927-2,18314,7,6,"c(-93.105, 16.912222)",TRUE
142080,GBIF_67873,Aulosepalum hemichrea,16.736672,-92.638336,1895455705,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"Lindl., 1840","Cerro San Cristóbal, San Cristóbal de Las Casas",NA,MX,1095,2,1966,PRESERVED_SPECIMEN,CNS-UT,LL,00111731,without-number,R. M. Laughlin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18314,Aulosepalum hemichrea,Aulosepalum,hemichrea,(Lindl.) Garay,Species,Accepted,NA,26927-2,18314,7,6,"c(-92.638336, 16.736672)",TRUE
142088,GBIF_67882,Aulosepalum hemichrea,16.851111,-92.484439,1895455709,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"Lindl., 1840",The Sukleh of Hohoch'en in the paraje of Shishintonil,NA,MX,1140,3,1965,PRESERVED_SPECIMEN,CNS-UT,LL,00111730,without-number,D. E. Breedlove; F. S. Kawahara,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18314,Aulosepalum hemichrea,Aulosepalum,hemichrea,(Lindl.) Garay,Species,Accepted,NA,26927-2,18314,7,6,"c(-92.484439, 16.851111)",TRUE
142637,GBIF_68485,Aulosepalum hemichrea,19.866007,-100.743711,1895455723,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"Lindl., 1840","Puerto de Los Lobos, NE de la Hierbabuena",NA,MX,1200,4,1987,PRESERVED_SPECIMEN,CNS-UT,TEX,00111729,without-number,J. Santos M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18314,Aulosepalum hemichrea,Aulosepalum,hemichrea,(Lindl.) Garay,Species,Accepted,NA,26927-2,18314,7,6,"c(-100.743711, 19.866007)",TRUE
143280,GBIF_69151,Aulosepalum tenuiflorum,18.918611,-99.234167,1929463781,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,Greenm.,Near Cuernavaca,NA,MX,NA,2,1899,PRESERVED_SPECIMEN,NY,NY,9353,6995,C. G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18319,Aulosepalum tenuiflorum,Aulosepalum,tenuiflorum,(Greenm.) Garay,Species,Accepted,NA,26930-2,18319,8,7,"c(-99.234167, 18.918611)",TRUE
144668,GBIF_70570,Aulosepalum tenuiflorum,18.489333,-99.3431,1897558373,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aulosepalum,SPECIES,"(Greenm.) Burns-Bal., 1986",5.8 km al S de la entrada a la Tigra sobre el camino al Zapote,NA,MX,700,2,2014,PRESERVED_SPECIMEN,CIByC-UAEM,HUMO,30680,without-number,R. Ramírez; G. Flores; A. Sánchez; B. Rojas; J. A. Rodríguez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,18319,Aulosepalum tenuiflorum,Aulosepalum,tenuiflorum,(Greenm.) Garay,Species,Accepted,NA,26930-2,18319,14,10,"c(-99.3431, 18.489333)",TRUE
