V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104508,GBIF_740,Barbosella prorepens,19.491222,-97.029167,1897491006,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,"(Rchb. f.) Schltr., 1918",La Cortadura,NA,MX,NA,9,2010,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Manuel Adrián Cuellar Martínez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19805,Barbosella prorepens,Barbosella,prorepens,(Rchb.f.) Schltr.,Species,Accepted,NA,29503-2,19805,7,11,"c(-97.029167, 19.491222)",TRUE
114182,GBIF_18379,Barbosella cucullata,-16.3,-67.8,1930482344,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Lindl.) Schltr.,22 km NE (below) Unduavi on road to Yolosa Junction (Coroico).,NA,BO,NA,2,1980,PRESERVED_SPECIMEN,NY,NY,3500782,5185,J. C. Solomon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19784,Barbosella cucullata,Barbosella,cucullata,(Lindl.) Schltr.,Species,Accepted,NA,617361-1,19784,0,16,"c(-67.8, -16.3)",TRUE
114694,GBIF_18899,Barbosella prorepens,18.11273,-71.24316,1930188291,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Rchb.f.) Schltr.,"Caña Brava, Monteada Nueva, south of Cabral",NA,DO,NA,6,1968,PRESERVED_SPECIMEN,NY,NY,50028,11671,A. H. Liogier,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19805,Barbosella prorepens,Barbosella,prorepens,(Rchb.f.) Schltr.,Species,Accepted,NA,29503-2,19805,0,17,"c(-71.24316, 18.11273)",TRUE
128973,GBIF_53636,Barbosella prorepens,8.75,-82.25,1261353526,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Rchb. f.) Schltr.,"Near Fortuna Dam, on slopes of Cerro Hornito above Los Planes.",NA,PA,1300,12,1987,PRESERVED_SPECIMEN,MO,Tropicos,637052,11834,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19805,Barbosella prorepens,Barbosella,prorepens,(Rchb.f.) Schltr.,Species,Accepted,NA,29503-2,19805,1,11,"c(-82.25, 8.75)",TRUE
130706,GBIF_55415,Barbosella prorepens,8.53444,-81.82083,1259315382,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Rchb. f.) Schltr.,"Cerro Colorado, ca. 50 km north of San Félix",NA,PA,1425,9,1977,PRESERVED_SPECIMEN,MO,Tropicos,2041493,5727,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19805,Barbosella prorepens,Barbosella,prorepens,(Rchb.f.) Schltr.,Species,Accepted,NA,29503-2,19805,1,11,"c(-81.82083, 8.53444)",TRUE
130998,GBIF_55717,Barbosella orbicularis,3.7,-63.016667,1260166825,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,Luer,"Cerro Marutani: cumbre, afloramiento de piedra arenisca en la altiplanicie a lo large del río Carla, afluente de las cabeceras del río Partagua.",NA,VE,1200,1,1981,PRESERVED_SPECIMEN,MO,Tropicos,2814530,123973,Julian A. Steyermark;Bassett Maguire;Charles Brewer-Carías;Víctor Carreño E.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19803,Barbosella orbicularis,Barbosella,orbicularis,Luer,Species,Accepted,NA,29501-2,19803,0,4,"c(-63.016667, 3.7)",TRUE
140219,GBIF_65934,Barbosella cogniauxiana,-28.358333,-49.288056,2996471701,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Speg. & Kraenzl.) Schltr.,NA,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,CRI,CRI,CRI005857,without-number,"C. M. Martinello,Vanilde Citadini-Zanette",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19779,Barbosella cogniauxiana,Barbosella,cogniauxiana,(Speg. & Kraenzl.) Schltr.,Species,Accepted,NA,29479-2,19779,0,26,"c(-49.288056, -28.358333)",TRUE
140750,GBIF_66488,Barbosella australis,-25.47,-49.01,2618392928,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Cogn.) Schltr.,Plantae Brasilienses. Paraná: Roça Nova.,NA,BR,NA,5,1909,PRESERVED_SPECIMEN,S,VascularPlants,S16-23406,8138,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19771,Barbosella australis,Barbosella,australis,(Cogn.) Schltr.,Species,Accepted,NA,29471-2,19771,0,15,"c(-49.01, -25.47)",TRUE
140834,GBIF_66574,Barbosella cogniauxiana,-25.2,-50.08,2618393941,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Speg. & Kraenzl.) Schltr.,Plantae Brasilienses. Paraná: Fortaleza.,NA,BR,NA,2,1910,PRESERVED_SPECIMEN,S,VascularPlants,S16-23426,9826,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19779,Barbosella cogniauxiana,Barbosella,cogniauxiana,(Speg. & Kraenzl.) Schltr.,Species,Accepted,NA,29479-2,19779,0,26,"c(-50.08, -25.2)",TRUE
140835,GBIF_66575,Barbosella miersii,-25.44,-48.92,2618561963,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Lindl.) Schltr.,Plantae Brasilienses. Paraná: Carvalho.,NA,BR,NA,2,1909,PRESERVED_SPECIMEN,S,VascularPlants,S16-23510,9535,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19801,Barbosella miersii,Barbosella,miersii,(Lindl.) Schltr.,Species,Accepted,NA,29499-2,19801,0,16,"c(-48.92, -25.44)",TRUE
140914,GBIF_66657,Barbosella miersii,-25.45,-48.93,2618389938,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Lindl.) Schltr.,"Plantae Brasilienses. Paraná: Serra do Mar, Carvalho.",NA,BR,NA,2,1910,PRESERVED_SPECIMEN,S,VascularPlants,S16-23509,9850,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19801,Barbosella miersii,Barbosella,miersii,(Lindl.) Schltr.,Species,Accepted,NA,29499-2,19801,0,16,"c(-48.93, -25.45)",TRUE
141011,GBIF_66766,Barbosella dusenii,-25.25,-50,1096611391,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Samp.) Schltr.,Plantae Brasilienses. Paraná: Villa Velha.,NA,BR,NA,4,1909,PRESERVED_SPECIMEN,S,VascularPlants,S05-6358,8070,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19786,Barbosella dusenii,Barbosella,dusenii,(A.Samp.) Schltr.,Species,Accepted,NA,29487-2,19786,2,14,"c(-50, -25.25)",TRUE
141079,GBIF_66841,Barbosella cogniauxiana,-25.25,-50,1096611395,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Speg. & Kraenzl.) Schltr.,Plantae Brasilienses. Paraná: Villa Velha.,NA,BR,NA,2,1909,PRESERVED_SPECIMEN,S,VascularPlants,S05-6359,8032,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19779,Barbosella cogniauxiana,Barbosella,cogniauxiana,(Speg. & Kraenzl.) Schltr.,Species,Accepted,NA,29479-2,19779,0,26,"c(-50, -25.25)",TRUE
142882,GBIF_68742,Barbosella gardneri,-23.65179,-45.886229,1929291573,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Lindl.) Schltr.,"Salesópolis, Estaçao Biológica da Boraceia. Margen do rio Claro",NA,BR,NA,9,1966,PRESERVED_SPECIMEN,NY,NY,414714,1153,O. Handro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19789,Barbosella gardneri,Barbosella,gardneri,(Lindl.) Schltr.,Species,Accepted,NA,29489-2,19789,0,16,"c(-45.886229, -23.65179)",TRUE
151516,GBIF_83125,Barbosella cogniauxiana,-25.234872,-50.012929,1930301186,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,Kraenzl.,Villa Velha,NA,BR,NA,2,1909,PRESERVED_SPECIMEN,NY,NY,9298,8032,P. K. H. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19779,Barbosella cogniauxiana,Barbosella,cogniauxiana,(Speg. & Kraenzl.) Schltr.,Species,Accepted,NA,29479-2,19779,18,6,"c(-50.012929, -25.234872)",TRUE
152030,GBIF_83655,Barbosella prorepens,19.028813,-70.514042,1929969361,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Rchb.f.) Schltr.,"Alto Casabito, Bonao",NA,DO,1200,4,1969,PRESERVED_SPECIMEN,NY,NY,50029,14772,A. H. Liogier,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19805,Barbosella prorepens,Barbosella,prorepens,(Rchb.f.) Schltr.,Species,Accepted,NA,29503-2,19805,0,17,"c(-70.514042, 19.028813)",TRUE
161115,GBIF_101262,Barbosella dolichorhiza,9.775,-83.783333,1253816909,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,Schltr.,"Cabeceras Quebrada Casa Blanca, carretera a Tuasito.",NA,CR,1475,11,2003,PRESERVED_SPECIMEN,INBio,Plantae,4008296,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19785,Barbosella dolichorhiza,Barbosella,dolichorhiza,Schltr.,Species,Accepted,NA,29486-2,19785,0,7,"c(-83.783333, 9.775)",TRUE
161219,GBIF_101370,Barbosella geminata,9.783333,-83.998611,1253850048,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,Luer,"Casamata, camino a San Cristobal Norte.",NA,CR,1900,4,2006,PRESERVED_SPECIMEN,INBio,Plantae,4121911,without-number,Juan Francisco Morales Quirós; Lady Muñoz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19792,Barbosella geminata,Barbosella,geminata,Luer,Species,Accepted,NA,29493-2,19792,0,4,"c(-83.998611, 9.783333)",TRUE
161275,GBIF_101432,Barbosella geminata,10.046111,-83.746111,1253882700,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,Luer,"Bajos de Bonilla, cabeceras del Río Parismina.",NA,CR,2260,9,2007,PRESERVED_SPECIMEN,INBio,Plantae,4182914,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19792,Barbosella geminata,Barbosella,geminata,Luer,Species,Accepted,NA,29493-2,19792,0,4,"c(-83.746111, 10.046111)",TRUE
161413,GBIF_101574,Barbosella prorepens,10.366667,-84.816667,1253609216,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Rchb. f.) Schltr.,5 km N Monteverde at Rio Negro on road to Finca San Bosco. Atlantic slope.,NA,CR,1300,2,1989,PRESERVED_SPECIMEN,INBio,Plantae,1568858,without-number,William Haber,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19805,Barbosella prorepens,Barbosella,prorepens,(Rchb.f.) Schltr.,Species,Accepted,NA,29503-2,19805,1,11,"c(-84.816667, 10.366667)",TRUE
161564,GBIF_101730,Barbosella prorepens,9.734722,-83.778333,1253635902,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Rchb. f.) Schltr.,Bosque primario y secundario en el camino a Alto Patillos.,NA,CR,1350,8,1995,PRESERVED_SPECIMEN,INBio,Plantae,1602949,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19805,Barbosella prorepens,Barbosella,prorepens,(Rchb.f.) Schltr.,Species,Accepted,NA,29503-2,19805,1,11,"c(-83.778333, 9.734722)",TRUE
161792,GBIF_101965,Barbosella geminata,9.100725,-82.967548,1253762545,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,Luer,"Valle del Silencio, Vallecito, Los Sphagnum.",NA,CR,2500,9,2001,PRESERVED_SPECIMEN,INBio,Plantae,3533061,without-number,Evelio Alfaro; Oscar Esquivel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19792,Barbosella geminata,Barbosella,geminata,Luer,Species,Accepted,NA,29493-2,19792,0,4,"c(-82.967548, 9.100725)",TRUE
161802,GBIF_101980,Barbosella geminata,9.133333,-82.966667,1253771462,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,Luer,"Atlantic slope, Valle de Silencio, area just N of Cerro Hoffman, 4 1/2 airline km W of the Costa Rica-Panama.",NA,CR,2350,6,2003,PRESERVED_SPECIMEN,INBio,Plantae,3790110,without-number,Evelio Alfaro; Roberto Delgado ; Milady Alfaro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19792,Barbosella geminata,Barbosella,geminata,Luer,Species,Accepted,NA,29493-2,19792,0,4,"c(-82.966667, 9.133333)",TRUE
161938,GBIF_102159,Barbosella dolichorhiza,9.773611,-83.783333,1253881086,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,Schltr.,Fila Alto Velo de Novia.,NA,CR,1550,11,2006,PRESERVED_SPECIMEN,INBio,Plantae,4174690,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19785,Barbosella dolichorhiza,Barbosella,dolichorhiza,Schltr.,Species,Accepted,NA,29486-2,19785,0,7,"c(-83.783333, 9.773611)",TRUE
163754,GBIF_104110,Barbosella prorepens,19.421389,-97.008333,2629449078,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,"(Rchb. f.) Schltr., 1918",Cerca de Buenavista viniendo por Corral de Rajas,NA,MX,2200,10,1987,PRESERVED_SPECIMEN,INECOL,XAL,19010,without-number,M. Cházaro B.; P. Hernández de Ch.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19805,Barbosella prorepens,Barbosella,prorepens,(Rchb.f.) Schltr.,Species,Accepted,NA,29503-2,19805,7,11,"c(-97.008333, 19.421389)",TRUE
172865,GBIF_116065,Barbosella cucullata,-10.323889,-75.597778,1257774039,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Lindl.) Schltr.,Dist. Huancabamba. Parque Nacional Yanachaga Chemillén. Sector Oso playa.,NA,PE,2420,1,2010,PRESERVED_SPECIMEN,USM,Tropicos,100426601,535,Edith Briceño;R. Rivera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19784,Barbosella cucullata,Barbosella,cucullata,(Lindl.) Schltr.,Species,Accepted,NA,617361-1,19784,0,16,"c(-75.597778, -10.323889)",TRUE
173088,GBIF_116300,Barbosella cucullata,-11.375278,-74.003056,1258112635,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Lindl.) Schltr.,Distrito Río Tambo. Comunidad Nativa Pichiquia. Parque Nacional Otishi.,NA,PE,1851,7,2013,PRESERVED_SPECIMEN,USM,Tropicos,100783223,24703,Luis Valenzuela G.;Jaime Flores;Gerry Shareva M.;Zenner Ganz;Jack Carhuacosme;Cindy Barboza;Valerio Flores,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19784,Barbosella cucullata,Barbosella,cucullata,(Lindl.) Schltr.,Species,Accepted,NA,617361-1,19784,0,16,"c(-74.003056, -11.375278)",TRUE
174450,GBIF_117750,Barbosella cucullata,-4.03333,-78.98333,1261374338,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Rchb. f. & Warsz.) Schltr.,Loja-Zamora.,NA,EC,2200,8,1980,PRESERVED_SPECIMEN,SEL,Tropicos,659202,104,D. D'Alessandro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19784,Barbosella cucullata,Barbosella,cucullata,(Lindl.) Schltr.,Species,Accepted,NA,617361-1,19784,16,10,"c(-78.98333, -4.03333)",TRUE
176001,GBIF_119358,Barbosella cucullata,-3.619167,-78.540278,3946767684,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Lindl.) Schltr.,Cordillera de Shagmi.,NA,EC,980,10,2020,PRESERVED_SPECIMEN,ECUAMZ,Tropicos,101320941,48,Leisberth Vélez-Abarca,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19784,Barbosella cucullata,Barbosella,cucullata,(Lindl.) Schltr.,Species,Accepted,NA,617361-1,19784,0,16,"c(-78.540278, -3.619167)",TRUE
176422,GBIF_119814,Barbosella miersii,-19.9719086,-44.1983322,1929008919,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barbosella,SPECIES,(Lindl.) Luer,"Fazenda do Cabuí, near Cotagem",NA,BR,950,10,1945,PRESERVED_SPECIMEN,NY,NY,414718,7608,L. O. Williams,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19801,Barbosella miersii,Barbosella,miersii,(Lindl.) Schltr.,Species,Accepted,NA,29499-2,19801,6,9,"c(-44.1983322, -19.9719086)",TRUE
