V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
109936,GBIF_13783,Barkeria lindleyana,17.0165729,-96.5400416,370845924,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,"(Rchb. f.) Thien, 1970",23 Km ESE de Oaxaca en Cerro Macuitlxóchitl,NA,MX,825,10,1979,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,56004,without-number,J. Rzedowski R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19833,Barkeria lindleyana,Barkeria,lindleyana,Bateman ex Lindl.,Species,Accepted,NA,324270-2,19833,19,1,"c(-96.5400416, 17.0165729)",TRUE
113505,GBIF_17680,Barkeria palmeri,19.621944,-104.038056,1893963682,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,"(Rolfe) Schltr., 1918","1.5-2 km al SSE de El Camichín, 9-10 km al SO de Tuxcacuesco",NA,MX,375,11,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,7668,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19844,Barkeria palmeri,Barkeria,palmeri,(Rolfe) Schltr.,Species,Accepted,NA,29562-2,19844,6,15,"c(-104.038056, 19.621944)",TRUE
113531,GBIF_17706,Barkeria palmeri,19.554444,-103.993611,1893963721,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,"(Rolfe) Schltr., 1918",Puerto de Toxín,NA,MX,600,4,1995,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,16190,without-number,Francisco Javier Santana Michel; Judith Cevallos Espinosa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19844,Barkeria palmeri,Barkeria,palmeri,(Rolfe) Schltr.,Species,Accepted,NA,29562-2,19844,6,15,"c(-103.993611, 19.554444)",TRUE
113555,GBIF_17734,Barkeria palmeri,19.687778,-104.034722,1893963673,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,"(Rolfe) Schltr., 1918","Cerro del Palacio, 5-6 km al ENE de Zenzontla, 5-6 km al OSO de Tuxcacuesco",NA,MX,575,11,1992,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,13739,without-number,Francisco Javier Santana Michel; Bruce Benz; José Arturo Solís Magallanes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19844,Barkeria palmeri,Barkeria,palmeri,(Rolfe) Schltr.,Species,Accepted,NA,29562-2,19844,6,15,"c(-104.034722, 19.687778)",TRUE
113575,GBIF_17754,Barkeria barkeriola,19.671111,-104.432222,1893965678,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,"Rchb. f., 1884","La Calera, 7-8 km al N de Casimiro Castillo, 16 km al SSO de Autlán",NA,MX,450,8,1989,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,8473,without-number,Francisco Javier Santana Michel; Luis Guzmán Hernández,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19824,Barkeria barkeriola,Barkeria,barkeriola,Rchb.f.,Species,Accepted,NA,617385-1,19824,7,5,"c(-104.432222, 19.671111)",TRUE
113590,GBIF_17769,Barkeria palmeri,19.677778,-104.019444,1893963632,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,"(Rolfe) Schltr., 1918","Cerro del Palacio, 5-6 km al OSO de Tuxcacuesco",NA,MX,550,11,1995,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,14887,without-number,Francisco Javier Santana Michel; Judith Cevallos Espinosa; José Martín Vázquez López,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19844,Barkeria palmeri,Barkeria,palmeri,(Rolfe) Schltr.,Species,Accepted,NA,29562-2,19844,6,15,"c(-104.019444, 19.677778)",TRUE
128998,GBIF_53661,Barkeria lindleyana,10.3,-84.8,1261356716,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,Bateman ex Lindl.,"Monteverde, Pacific slope below community, Guacimal river valley.",NA,CR,1200,11,1986,PRESERVED_SPECIMEN,MO,Tropicos,640463,6183,William A. Haber;Erick Bello C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19833,Barkeria lindleyana,Barkeria,lindleyana,Bateman ex Lindl.,Species,Accepted,NA,324270-2,19833,0,17,"c(-84.8, 10.3)",TRUE
129299,GBIF_53969,Barkeria obovata,10.83333,-85.61666,1261381272,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,(C. Presl) Christenson,Santa Rosa National Park,NA,CR,250,3,1977,PRESERVED_SPECIMEN,MO,Tropicos,666122,10535,Daniel H. Janzen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19843,Barkeria obovata,Barkeria,obovata,(C.Presl) Christenson,Species,Accepted,NA,946481-1,19843,1,18,"c(-85.61666, 10.83333)",TRUE
129389,GBIF_54063,Barkeria obovata,13.747056,-86.1365,4031758031,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,(C. Presl) Christenson,"2.5 km NE of Puente El Jícaro along road from El Jícaro to Jalapa, along Río Santa Isabel; dry forest patch along stream, on schist with dark lenses with the appearance of serpentine",NA,NI,600,1,2013,PRESERVED_SPECIMEN,MO,Tropicos,102815453,33818,W. D. Stevens;O. M. Montiel J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19843,Barkeria obovata,Barkeria,obovata,(C.Presl) Christenson,Species,Accepted,NA,946481-1,19843,1,18,"c(-86.1365, 13.747056)",TRUE
129855,GBIF_54538,Barkeria uniflora,19.183028,-100.254222,4436562416,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,(Lex.) Dressler & Halb.,Mpio. Santo Tomás.,NA,MX,1318,NA,without-year,PRESERVED_SPECIMEN,MO,Tropicos,103416662,58,Anonymous,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,19851,Barkeria uniflora,Barkeria,uniflora,(Lex.) Dressler & Halb.,Species,Accepted,NA,60465440-2,19851,0,23,"c(-100.254222, 19.183028)",TRUE
130067,GBIF_54758,Barkeria whartoniana,16.66666,-94.9,1259341063,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,(C. Schweinf.) Soto Arenas,"Mun. Ixtaltepec, al N de Mazahua, hacia La Pedrera, la entrada se encuentra 13 km al NE de La Ventosa, carr. Juchitan-Matías Romero. Selva baja caducifolia.",NA,MX,NA,2,1988,PRESERVED_SPECIMEN,MO,Tropicos,2064893,1275,Cipriano Martínez R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19853,Barkeria whartoniana,Barkeria,whartoniana,(C.Schweinf.) Soto Arenas,Species,Accepted,NA,977661-1,19853,1,22,"c(-94.9, 16.66666)",TRUE
130749,GBIF_55458,Barkeria obovata,17.495556,-99.513056,1259339771,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,(C. Presl) Christenson,South of Chilpancingo.,NA,MX,1921,6,1935,PRESERVED_SPECIMEN,MO,Tropicos,2063363,7199,Ora M. Clark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19843,Barkeria obovata,Barkeria,obovata,(C.Presl) Christenson,Species,Accepted,NA,946481-1,19843,1,18,"c(-99.513056, 17.495556)",TRUE
137670,GBIF_63184,Barkeria lindleyana,18.194,-96.9596,1576151240,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Barkeria,SPECIES,(Bateman ex Lindl.),In Oaxaca and Chiapas.,NA,MX,NA,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,28652,g-39,R. Oberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,19833,Barkeria lindleyana,Barkeria,lindleyana,Bateman ex Lindl.,Species,Accepted,NA,324270-2,19833,2,17,"c(-96.9596, 18.194)",TRUE
