V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
172556,GBIF_115742,Beclardia macrostachya,-18.65888,47.96555,1260038085,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Fivondronana: Moramanga, Fokontany: Ambohibato. Village le plus proche Ambohibato. Forêt humide de moyenne altitude de Rianan'i Galy. Echantillon préservé en alcool. Récolté avec D. Rabehevitra, R. Razakamalala, N. Rakotonirina, R. Andrianasolo, L. Faranirina & Ingahy Georges (guide).",NA,MG,1291,NA,2005,PRESERVED_SPECIMEN,TAN,Tropicos,2697170,69,R.E. Raharijaona,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(47.96555, -18.65888)",TRUE
185615,GBIF_131158,Beclardia macrostachya,-15.519444,49.094444,4031620508,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Sofia, Mandritsara, Ambilobe, Bandabe. Suivant la piste vers Antsiradava. Cinq Km à l'Est de Bandabe à vol d'oiseau, à l'Ouest de la forêt de Makira. A la limite de la province de Tamatave et de Majunga. Ambolotsangana, une ligne de crête. Forêt sub-humide. Récoltés avec D. Ravelonarivo, A. Lehavana, Tsiady & Manankaja.",NA,MG,1191.77,4,2007,PRESERVED_SPECIMEN,MO,Tropicos,102347087,2343,Désiré Ravelonarivo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(49.094444, -15.519444)",TRUE
232640,GBIF_192107,Beclardia macrostachya,-14.770833,49.466667,1258263800,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Sud-Ouest d'Andapa, Réserve Spéciale d'Anjanaharibe-Sud, aux environs du sommet.",NA,MG,1292.5,3,1994,PRESERVED_SPECIMEN,MO,Tropicos,1056963,111,Désiré Ravelonarivo;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(49.466667, -14.770833)",TRUE
251012,GBIF_215759,Beclardia macrostachya,-22.13333,46.88333,438295326,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A.Rich.,NA,NA,MG,NA,NA,without-year,PRESERVED_SPECIMEN,MNHN,P,P00327563,without-number,Rakoto Jean de la Croix,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,0,17,"c(46.88333, -22.13333)",TRUE
263254,GBIF_230415,Beclardia grandiflora,-17.994722,48.5975,1260379962,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,Bosser,"Ambatondrazaka, Didy, Antsevabe, Amboarabe. Forêt de Sahananto.",NA,MG,1211,6,2006,PRESERVED_SPECIMEN,TAN,Tropicos,3007757,1761,N.M. Andrianjafy;Tefy Andriamihajarivo;R. Rakotoarimanana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20406,Beclardia grandiflora,Beclardia,grandiflora,Bosser,Species,Accepted,NA,999094-1,20406,0,6,"c(48.5975, -17.994722)",TRUE
263258,GBIF_230420,Beclardia macrostachya,-17.99277,48.60138,1260422468,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Ambatondrazaka, Didy, Amboarabe-Est Antsevabe, forêt de Sahananto. Récolté avec M. Andrianjafy & R. Rakotoarimanana.",NA,MG,1217,6,2006,PRESERVED_SPECIMEN,TAN,Tropicos,3046233,960,Tefy Andriamihajarivo;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(48.60138, -17.99277)",TRUE
281582,GBIF_261654,Beclardia macrostachya,-18.950278,48.434444,1258009716,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Andasibe, Réserve Spécial d'Analamazaotra, Région Alaotra-Mangoro, District Moramanga. Site Près source Lac vert.",NA,MG,1042,12,2013,PRESERVED_SPECIMEN,TAN,Tropicos,100668726,316,"Brigitte Ramandimbisoa;Hanta Razafindraibe;H. Rasoazanany;Rakotondravelo, Alfred;Félix, Randrimitantsoa Jean",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(48.434444, -18.950278)",TRUE
317474,GBIF_322454,Beclardia grandiflora,-18.825833,48.321945,1257961921,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,Bosser,"Ambatovy: Région Alaotra-Mangoro, District Moramanga.",NA,MG,1111,4,2013,PRESERVED_SPECIMEN,TAN,Tropicos,100618338,829A1079,Ambatovy Spirit Collection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20406,Beclardia grandiflora,Beclardia,grandiflora,Bosser,Species,Accepted,NA,999094-1,20406,0,6,"c(48.321945, -18.825833)",TRUE
319349,GBIF_325040,Beclardia grandiflora,-18.807778,48.334167,1257639054,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,Bosser,"Alaotra Mangoro, Moramanga, Ambatovy. Zone de conservation.",NA,MG,1085,4,2010,PRESERVED_SPECIMEN,TAN,Tropicos,100288990,25,Joharintsoa Aina Ramahenina,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20406,Beclardia grandiflora,Beclardia,grandiflora,Bosser,Species,Accepted,NA,999094-1,20406,0,6,"c(48.334167, -18.807778)",TRUE
319525,GBIF_325272,Beclardia macrostachya,-20.751111,47.321889,1258080597,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Fianarantsoa, Ambositra south to Ivato, then east direction Antoetra, ca 12 km to Ambositra near the water falls.",NA,MG,1667,1,2007,PRESERVED_SPECIMEN,WU,Tropicos,100750097,4168,Anton Sieder;P. Stütz;Jacky Andriantiana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(47.321889, -20.751111)",TRUE
348102,GBIF_368864,Beclardia grandiflora,-18.745,48.415,1257854051,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,Bosser,"Moramanga, Andasibe, Faliriana, Corridor Forestier Analamay Mantadia, Tampony Tsimanasaovy.",NA,MG,1120,4,2012,PRESERVED_SPECIMEN,P,Tropicos,100507643,8365,P. Antilahimena;V. Razafindrahaja,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20406,Beclardia grandiflora,Beclardia,grandiflora,Bosser,Species,Accepted,NA,999094-1,20406,0,6,"c(48.415, -18.745)",TRUE
352821,GBIF_375087,Beclardia macrostachya,-14.083333,48.383333,4061949765,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"East of Ankaramy, Reserve Speciale Manongarivo, Antsatrotro, ridge north of summit. Plants preserved in alcohol.",NA,MG,1795,4,1992,PRESERVED_SPECIMEN,TAN,Tropicos,101590136,1402,Simon T. Malcomber;James Hutcheon;A. Razafimanantsoa;Michelle Zjhra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(48.383333, -14.083333)",TRUE
355203,GBIF_378708,Beclardia grandiflora,-18.933333,48.433333,1260716966,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,Bosser,Périnet,NA,MG,NA,NA,1960,PRESERVED_SPECIMEN,P,Tropicos,3312874,17957,J. Bosser,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20406,Beclardia grandiflora,Beclardia,grandiflora,Bosser,Species,Accepted,NA,999094-1,20406,0,6,"c(48.433333, -18.933333)",TRUE
357799,GBIF_382622,Beclardia grandiflora,-18.825833,48.321945,1257854056,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,Bosser,"Ambatovy: Région Alaotra-Mangoro, District Moramanga.",NA,MG,1111,5,2012,PRESERVED_SPECIMEN,TAN,Tropicos,100507635,1079,Ambatovy Shade House;Simon Verlynde,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20406,Beclardia grandiflora,Beclardia,grandiflora,Bosser,Species,Accepted,NA,999094-1,20406,0,6,"c(48.321945, -18.825833)",TRUE
415193,GBIF_473814,Beclardia macrostachya,-14.083333,48.383333,1261351390,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"East of Ankaramy, Reserve Speciale Manongarivo, Antsatrotro, ridge East of summit, leading to massif. Plants preserved in alcohol.",NA,MG,1700,4,1992,PRESERVED_SPECIMEN,MO,Tropicos,634764,1415,Simon T. Malcomber;James Hutcheon;A. Razafimanantsoa;Michelle Zjhra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(48.383333, -14.083333)",TRUE
482845,GBIF_565355,Beclardia macrostachya,-17.98333,48.6,1260379965,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Région Alaotra Mangoro, Fivondronana Ambatondrazaka, Commune Didy, Fokontany Antsevabe. Forêt dense humide de moyenne altitude. Echantillons préservés en alcool. Récolté avec P.P. Lowry, D. Rabehevitra & Randriamahatody.",NA,MG,1165,9,2005,PRESERVED_SPECIMEN,TAN,Tropicos,3007744,1057,Franck Rakotonasolo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(48.6, -17.98333)",TRUE
494466,GBIF_585210,Beclardia macrostachya,-20.278,57.597,1056015866,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) Schltr.,NA,NA,MU,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000540056,s.n.,Pet Thouars,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,6,10,"c(57.597, -20.278)",TRUE
527088,GBIF_635769,Beclardia macrostachya,-19.435278,47.880278,1258157995,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Ambohimanga, Kelilalina, Commune Takafatra, District Andramasina.",NA,MG,1616,12,2014,PRESERVED_SPECIMEN,TAN,Tropicos,100829039,13,Antananarivo Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(47.880278, -19.435278)",TRUE
572287,GBIF_712724,Beclardia macrostachya,-21.516667,47.416667,4031521576,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,Andrambovato â l'Est de Fianarantsoa.,NA,MG,1050,1,1955,PRESERVED_SPECIMEN,MO,Tropicos,103201315,28524,H. Humbert;René P.R. Capuron,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(47.416667, -21.516667)",TRUE
582621,GBIF_725552,Beclardia macrostachya,-24.76222,46.86278,438295335,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A.Rich.,Cap Sainte Luce,NA,MG,600,2,1995,PRESERVED_SPECIMEN,MNHN,P,P00059581,without-number,"Du Puy, D.J.;Cribb, P.;Andriantiana, J.;Ranaivojaona, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,0,17,"c(46.86278, -24.76222)",TRUE
604368,GBIF_753789,Beclardia macrostachya,-19.435278,47.880833,1258157630,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Ambohimanga, Kelilalina, Commune Takafatra, District Andramasina.",NA,MG,1629,12,2014,PRESERVED_SPECIMEN,TAN,Tropicos,100828652,2,Antananarivo Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(47.880833, -19.435278)",TRUE
605529,GBIF_755926,Beclardia macrostachya,-19.435278,47.880278,1258181286,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Ambohimanga, Kelilalina, Commune Takafatra, District Andramasina.",NA,MG,1616,1,2015,PRESERVED_SPECIMEN,TAN,Tropicos,100864581,27T13,Antananarivo Spirit Collection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(47.880278, -19.435278)",TRUE
630513,GBIF_794293,Beclardia macrostachya,-18.61333,47.96138,1260052263,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Fivondronana: Anjozorobe. Village le plus proche Fiherenana. Forêt humide de moyenne altitude d'Amparafarantany. Echantillon préservé en alcool. Récolté avec D. Rabehevitra, R. Raharijaona, N. Rakotonirina, R. Andrianasolo, L. Faranirina & Ingahy Ely (guide).",NA,MG,1335,3,2005,PRESERVED_SPECIMEN,TAN,Tropicos,2710266,1976,Richard Razakamalala;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(47.96138, -18.61333)",TRUE
632197,GBIF_797496,Beclardia macrostachya,-19.435278,47.880833,1258180984,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beclardia,SPECIES,(Thouars) A. Rich.,"Ambohimanga, Kelilalina, Commune Takafatra, District Andramasina.",NA,MG,1629,12,2014,PRESERVED_SPECIMEN,TAN,Tropicos,100864252,25T2,Antananarivo Spirit Collection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20408,Beclardia macrostachya,Beclardia,macrostachya,(Thouars) A.Rich.,Species,Accepted,NA,617464-1,20408,1,12,"c(47.880833, -19.435278)",TRUE
