V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
130029,GBIF_54719,Beloglottis costaricensis,-6.107628,-76.922958,1259226355,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beloglottis,SPECIES,(Rchb. f.) Schltr.,"Zepelacio, near Moyobamba.",NA,PE,1100,7,1934,PRESERVED_SPECIMEN,MO,Tropicos,1960538,3718,Guillermo Klug,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20440,Beloglottis costaricensis,Beloglottis,costaricensis,(Rchb.f.) Schltr.,Species,Accepted,NA,31124-2,20440,1,11,"c(-76.922958, -6.107628)",TRUE
131285,GBIF_56014,Beloglottis costaricensis,-9.163761,-74.375627,1057316502,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beloglottis,SPECIES,(Rchb.f.) Schltr.,NA,NA,PE,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000077208,s.n.,José Antonio Pavón,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20440,Beloglottis costaricensis,Beloglottis,costaricensis,(Rchb.f.) Schltr.,Species,Accepted,NA,31124-2,20440,0,17,"c(-74.375627, -9.163761)",TRUE
136899,GBIF_62392,Beloglottis boliviensis,5.15,-74.1333,1503266948,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beloglottis,SPECIES,Schltr.,Pacho - La Palma Highway.,NA,CO,NA,7,1947,PRESERVED_SPECIMEN,USF,Herb,26262,6014,O. L. Haught,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20438,Beloglottis boliviensis,Beloglottis,boliviensis,Schltr.,Species,Accepted,NA,31123-2,20438,0,7,"c(-74.1333, 5.15)",TRUE
163099,GBIF_103384,Beloglottis costaricensis,19.772397,-96.79315,2629759761,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beloglottis,SPECIES,"(Rchb. f.) Schltr., 1920","Ejido La Guacamaya, al SW de Chocoyul",NA,MX,1950,9,1989,PRESERVED_SPECIMEN,INECOL,XAL,XAL0120169,without-number,G. Castillo-Campos,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20440,Beloglottis costaricensis,Beloglottis,costaricensis,(Rchb.f.) Schltr.,Species,Accepted,NA,31124-2,20440,7,11,"c(-96.79315, 19.772397)",TRUE
163175,GBIF_103470,Beloglottis costaricensis,18.780556,-96.914444,2629467247,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beloglottis,SPECIES,"(Rchb. f.) Schltr., 1920",Cerro al E de Coetzala,NA,MX,650,4,2000,PRESERVED_SPECIMEN,INECOL,XAL,66850,without-number,A. Rincón G.; C.M. Durán-Espinosa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20440,Beloglottis costaricensis,Beloglottis,costaricensis,(Rchb.f.) Schltr.,Species,Accepted,NA,31124-2,20440,7,11,"c(-96.914444, 18.780556)",TRUE
163185,GBIF_103480,Beloglottis costaricensis,16.012222,-96.106111,2629663525,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beloglottis,SPECIES,"(Rchb. f.) Schltr., 1920","Juventino Rosas, entrada, camino a La Loba",NA,MX,1110,3,2006,PRESERVED_SPECIMEN,INECOL,XAL,94396,without-number,A. Ruiz V.; E. Vásquez G.; J. Pascual C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20440,Beloglottis costaricensis,Beloglottis,costaricensis,(Rchb.f.) Schltr.,Species,Accepted,NA,31124-2,20440,7,11,"c(-96.106111, 16.012222)",TRUE
163703,GBIF_104053,Beloglottis mexicana,19.724167,-96.676944,2629615181,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beloglottis,SPECIES,"Garay & Hamer, 1981","Mata Verde, camino Rancho Nuevo-Tierra Blanca",NA,MX,1200,4,1981,PRESERVED_SPECIMEN,INECOL,XAL,19049,without-number,G. Castillo-Campos; F. Vázquez B.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20444,Beloglottis mexicana,Beloglottis,mexicana,Garay & Hamer,Species,Accepted,NA,897054-1,20444,6,13,"c(-96.676944, 19.724167)",TRUE
167383,GBIF_108240,Beloglottis costaricensis,21.308611,-99.138333,2629417408,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beloglottis,SPECIES,"(Rchb. f.) Schltr., 1920",11 km al NW de Agua Zarca,NA,MX,275,4,1989,PRESERVED_SPECIMEN,FCN-UAQ,QMEX,QMEX 00003787,without-number,H. Rubio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20440,Beloglottis costaricensis,Beloglottis,costaricensis,(Rchb.f.) Schltr.,Species,Accepted,NA,31124-2,20440,7,11,"c(-99.138333, 21.308611)",TRUE
167406,GBIF_108269,Beloglottis costaricensis,21.268056,-99.076111,2629435397,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beloglottis,SPECIES,"(Rchb. f.) Schltr., 1920","2 km al O de Neblinas, lecho del Río Tancuilín",NA,MX,325,4,1991,PRESERVED_SPECIMEN,FCN-UAQ,QMEX,QMEX 00003785,without-number,H. Díaz; E. Carranza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20440,Beloglottis costaricensis,Beloglottis,costaricensis,(Rchb.f.) Schltr.,Species,Accepted,NA,31124-2,20440,7,11,"c(-99.076111, 21.268056)",TRUE
167462,GBIF_108333,Beloglottis mexicana,21.197222,-99.231389,2629426321,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Beloglottis,SPECIES,"Garay & Hamer, 1981","Tangojó, en la orilla del Río Moctezuma",NA,MX,200,4,1988,PRESERVED_SPECIMEN,FCN-UAQ,QMEX,QMEX 00003784,without-number,S. Zamudio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20444,Beloglottis mexicana,Beloglottis,mexicana,Garay & Hamer,Species,Accepted,NA,897054-1,20444,6,13,"c(-99.231389, 21.197222)",TRUE
