V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
161406,GBIF_101566,Benzingia reichenbachiana,10.308333,-84.719444,1253608617,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Benzingia,SPECIES,Schltr.,Estacion Eladio s. Bosque primario.,NA,CR,820,10,1990,PRESERVED_SPECIMEN,INBio,Plantae,1568182,without-number,Norman Obando,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,330265,Benzingia reichenbachiana,Benzingia,reichenbachiana,(Schltr.) Dressler,Species,Accepted,NA,77105472-1,330265,11,7,"c(-84.719444, 10.308333)",TRUE
161439,GBIF_101601,Benzingia reichenbachiana,10.312222,-84.725278,1253613546,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Benzingia,SPECIES,Schltr.,Rio Penas Blancas.,NA,CR,900,4,1993,PRESERVED_SPECIMEN,INBio,Plantae,1573528,without-number,Erick Bello,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,330265,Benzingia reichenbachiana,Benzingia,reichenbachiana,(Schltr.) Dressler,Species,Accepted,NA,77105472-1,330265,11,7,"c(-84.725278, 10.312222)",TRUE
183585,GBIF_128980,Benzingia reichenbachiana,10.16,-83.93,1261389687,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Benzingia,SPECIES,Schltr.,"Braulio Carrillo Nat. Park Cantón de Pococí; Carrillo Station. Along trail SE of Station, W of Quebrada Gonzalez.",NA,CR,650,9,1990,PRESERVED_SPECIMEN,MO,Tropicos,673505,528,Stephen W. Ingram;Karen Ferrell-Ingram,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,330265,Benzingia reichenbachiana,Benzingia,reichenbachiana,(Schltr.) Dressler,Species,Accepted,NA,77105472-1,330265,11,7,"c(-83.93, 10.16)",TRUE
191875,GBIF_137806,Benzingia caudata,-1.066,-77.6,47850903,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Benzingia,SPECIES,NA,"Reserva biologica Jatun Sacha, south of Río Napo 8 km downriver from Misahuallí.",NA,EC,450,4,1989,PRESERVED_SPECIMEN,AU,AAU,D.E.Christensen88077,without-number,D.E. Christensen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,330260,Benzingia caudata,Benzingia,caudata,(Ackerman) Dressler,Species,Accepted,NA,77105465-1,330260,18,1,"c(-77.6, -1.066)",TRUE
232724,GBIF_192193,Benzingia reichenbachiana,8.75,-80.5,1258436078,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Benzingia,SPECIES,Schltr.,"Road to Coclesito, near sawmill 17 km N of Llano Grande.",NA,PA,213.36,4,1978,PRESERVED_SPECIMEN,MO,Tropicos,1226892,2505,Barry E. Hammel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,330265,Benzingia reichenbachiana,Benzingia,reichenbachiana,(Schltr.) Dressler,Species,Accepted,NA,77105472-1,330265,11,7,"c(-80.5, 8.75)",TRUE
263206,GBIF_230353,Benzingia caudata,-1.06666,-77.6,1259962925,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Benzingia,SPECIES,(Ackerman) Dodson & D.E. Benn.,"Reserva biologica Jatun Sacha, south of Río Napo 8 km downriver from Misahuallí.",NA,EC,450,4,1989,PRESERVED_SPECIMEN,AAU,Tropicos,2628957,88077,D. E. Christensen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,330260,Benzingia caudata,Benzingia,caudata,(Ackerman) Dressler,Species,Accepted,NA,77105465-1,330260,16,12,"c(-77.6, -1.06666)",TRUE
282458,GBIF_262697,Benzingia thienii,-0.25,-78.733,1261361113,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Benzingia,SPECIES,(Dodson) Dodson,km 92,NA,EC,1200,1,1963,PRESERVED_SPECIMEN,SEL,Tropicos,645247,2201,Calaway H. Dodson;L. B. Thien,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,456506,Benzingia thienii,Benzingia,thienii,(Dodson) P.A.Harding,Species,Accepted,NA,77105473-1,456506,10,9,"c(-78.733, -0.25)",TRUE
320667,GBIF_327022,Benzingia reichenbachiana,10.214722,-84.607778,4061488406,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Benzingia,SPECIES,Schltr.,Reserva Forestal de San Ramón.,NA,CR,1000,12,1986,PRESERVED_SPECIMEN,NA,Tropicos,1243901,302,Gerardo Herrera Ch.;Isidro A. Chacón G.;Abelardo Chacón,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,330265,Benzingia reichenbachiana,Benzingia,reichenbachiana,(Schltr.) Dressler,Species,Accepted,NA,77105472-1,330265,11,7,"c(-84.607778, 10.214722)",TRUE
366141,GBIF_396286,Benzingia thienii,0.904722,-78.192222,4069067696,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Benzingia,SPECIES,(Dodson) P.A. Harding,"Reserva Cerro Oscuro, desde la casa de la estacion por el sendero hacia la cuchilla.",NA,EC,1425,8,2016,PRESERVED_SPECIMEN,QCA,QCA:Plantae,245291,10005,"Perez, A.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,456506,Benzingia thienii,Benzingia,thienii,(Dodson) P.A.Harding,Species,Accepted,NA,77105473-1,456506,1,13,"c(-78.192222, 0.904722)",TRUE
383169,GBIF_421423,Benzingia thienii,0.48,-78.15,1261358309,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Benzingia,SPECIES,(Dodson) Dodson,Cachaco-Sta. Rosa de Cachaco,NA,EC,1400,12,1990,PRESERVED_SPECIMEN,MO,Tropicos,642148,18652,Calaway H. Dodson;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,456506,Benzingia thienii,Benzingia,thienii,(Dodson) P.A.Harding,Species,Accepted,NA,77105473-1,456506,10,9,"c(-78.15, 0.48)",TRUE
