V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111346,GBIF_15360,Bifrenaria tyrianthina,-20.520556,-41.100556,4526426453,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,Angiospermas,Trilha para a base do Fornão. Inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,10,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00549074,2232,"C.N. Fraga;P. Labiak,R. C. Forzza",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22094,Bifrenaria tyrianthina,Bifrenaria,tyrianthina,(Lodd. ex Loudon) Rchb.f.,Species,Accepted,NA,617570-1,22094,24,1,"c(-41.100556, -20.520556)",TRUE
111350,GBIF_15364,Bifrenaria longicornis,-0.333333,-66.75,4526426617,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,Angiospermas,"Morro dos Seis Lagos, ca. 80 km N of São Gabriel",NA,BR,NA,7,1979,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY1595580,2051,J. M. Poole;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22073,Bifrenaria longicornis,Bifrenaria,longicornis,Lindl.,Species,Accepted,NA,617556-1,22073,11,1,"c(-66.75, -0.333333)",TRUE
111356,GBIF_15370,Bifrenaria aureofulva,-20.276111,-40.525,4526426923,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,Angiospermas,"Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",NA,BR,NA,1,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00549175,2335,C.N. Fraga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22043,Bifrenaria aureofulva,Bifrenaria,aureofulva,(Hook.) Lindl.,Species,Accepted,NA,617537-1,22043,14,1,"c(-40.525, -20.276111)",TRUE
111409,GBIF_15428,Bifrenaria vitellina,-22.477222,-44.806944,4526431689,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,Angiospermas,Estrada para o Lago Azul.,NA,BR,NA,12,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00794057,98,F.F.V.A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22100,Bifrenaria vitellina,Bifrenaria,vitellina,(Lindl.) Lindl.,Species,Accepted,NA,617574-1,22100,14,1,"c(-44.806944, -22.477222)",TRUE
111439,GBIF_15458,Bifrenaria harrisoniae,-22.528055,-44.798889,4526433721,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,Angiospermas,"BR-485, próximo à entrada da trilha para os Três Picos.",NA,BR,NA,9,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00794592,70,F.F.V.A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22056,Bifrenaria harrisoniae,Bifrenaria,harrisoniae,(Hook.) Rchb.f.,Species,Accepted,NA,617551-1,22056,15,1,"c(-44.798889, -22.528055)",TRUE
114147,GBIF_18343,Bifrenaria harrisoniae,-20.708333,-42.487778,4427187872,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,(Hook.) Rchb.f.,"Serra do Brigadeiro, Serra do Brigadeiro, próximo a pousada Serra da ág",NA,BR,0,6,2004,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026575,3424,"Salles, AEH;Jesus, FPR de,Oliveira, MS,Carvalho, FJ de,Azevedo, INC de",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22056,Bifrenaria harrisoniae,Bifrenaria,harrisoniae,(Hook.) Rchb.f.,Species,Accepted,NA,617551-1,22056,0,15,"c(-42.487778, -20.708333)",TRUE
114150,GBIF_18346,Bifrenaria tyrianthina,-19.258889,-43.550556,4427187898,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,(Lodd. ex Loudon) Rchb.f.,Serra do Cipó,NA,BR,0,6,2004,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026577,"3272A,B,C","Salles, AEH;Jesus, FPR de,Oliveira, MS,Carvalho, FJ de,Azevedo, INC de",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22094,Bifrenaria tyrianthina,Bifrenaria,tyrianthina,(Lodd. ex Loudon) Rchb.f.,Species,Accepted,NA,617570-1,22094,0,25,"c(-43.550556, -19.258889)",TRUE
114329,GBIF_18527,Bifrenaria longicornis,-4.08,-58.95,1928019878,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,Lindl.,"Lower Rio Mari Mari, below Rio Paca, Laranjal.",NA,BR,NA,7,1983,PRESERVED_SPECIMEN,NY,NY,1595582,2293,C. A. Todzia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22073,Bifrenaria longicornis,Bifrenaria,longicornis,Lindl.,Species,Accepted,NA,617556-1,22073,0,6,"c(-58.95, -4.08)",TRUE
114559,GBIF_18761,Bifrenaria longicornis,0.333333,-66.75,1929867891,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,Lindl.,"Morro dos Seis Lagos, ca. 80 km N of São Gabriel",NA,BR,NA,7,1979,PRESERVED_SPECIMEN,NY,NY,1595580,2051,J. M. Poole,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22073,Bifrenaria longicornis,Bifrenaria,longicornis,Lindl.,Species,Accepted,NA,617556-1,22073,0,6,"c(-66.75, 0.333333)",TRUE
114759,GBIF_18966,Bifrenaria longicornis,-3.093711,-59.989296,1930852271,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,Lindl.,"Estrada Aleixo, Km. 3. Margin of stream.",NA,BR,NA,3,1971,PRESERVED_SPECIMEN,NY,NY,1595579,11518,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22073,Bifrenaria longicornis,Bifrenaria,longicornis,Lindl.,Species,Accepted,NA,617556-1,22073,0,6,"c(-59.989296, -3.093711)",TRUE
