V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104423,GBIF_650,Bletia purpurea,14.819222,-86.619143,1057057736,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,SPECIES,(Lam.) DC.,NA,NA,HN,NA,5,1987,PRESERVED_SPECIMEN,NHMUK,BOT,BM000516285,3752,S. Blackmore & M. Chorley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22583,Bletia purpurea,Bletia,purpurea,(Lam.) A.DC.,Species,Accepted,NA,1218040-2,22583,2,7,"c(-86.619143, 14.819222)",TRUE
109934,GBIF_13781,Bletia purpurata,19.258333,-100.108333,1423116127,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,SPECIES,"(Lindl.) Dressler, 1964","2 Km adelante de Godínez rumbo a Valle de Bravo, Mpio. Valle Bravo",NA,MX,1110,10,1988,PRESERVED_SPECIMEN,UAMI,UAMIZ,56387,without-number,A. Espejo; A. Flores C.; A.R. López F.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,22581,Bletia purpurata,Bletia,purpurata,A.Rich. & Galeotti,Species,Accepted,NA,617738-1,22581,19,2,"c(-100.108333, 19.258333)",TRUE
111632,GBIF_15653,Bletia purpurea,22.596925,-80.33717,473281088,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,SPECIES,(Lamarck) de Candolle,Manacas,NA,CU,NA,12,1915,PRESERVED_SPECIMEN,UdeM,MT,MT00115800,5914,"León, Hno; Cazañas, Francisco",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22583,Bletia purpurea,Bletia,purpurea,(Lam.) A.DC.,Species,Accepted,NA,1218040-2,22583,14,4,"c(-80.33717, 22.596925)",TRUE
111816,GBIF_15841,Bletia purpurea,20.4667,-75.8167,473281093,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,SPECIES,(Lamarck) de Candolle,Sierra de Nipe,NA,CU,NA,3,1944,PRESERVED_SPECIMEN,UdeM,MT,MT00115802,22068,"Marie-Victorin, Fr.; Clément José, Fr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22583,Bletia purpurea,Bletia,purpurea,(Lam.) A.DC.,Species,Accepted,NA,1218040-2,22583,14,4,"c(-75.8167, 20.4667)",TRUE
112025,GBIF_16055,Bletia florida,20.6,-75.05,473281070,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,SPECIES,(Salisbury) R. Brown,"Cananova, Cerro de Miraflores",NA,CU,NA,7,1942,PRESERVED_SPECIMEN,UdeM,MT,MT00115796,21121,"Montero, Valentín",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22512,Bletia florida,Bletia,florida,(Salisb.) R.Br.,Species,Accepted,NA,30372800-2,22512,7,7,"c(-75.05, 20.6)",TRUE
112208,GBIF_16245,Bletia purpurea,22.7333,-82.65,473281075,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,SPECIES,(Lamarck) de Candolle,Ojo de Agua de Guanimar,NA,CU,NA,8,1929,PRESERVED_SPECIMEN,UdeM,MT,MT00115798,14171,"León, Hno",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22583,Bletia purpurea,Bletia,purpurea,(Lam.) A.DC.,Species,Accepted,NA,1218040-2,22583,14,4,"c(-82.65, 22.7333)",TRUE
112583,GBIF_16648,Bletia purpurea,22.7047,-82.467,473281079,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,SPECIES,(Lamarck) de Candolle,Ciénaga de Cajío (Prov. La Havane),NA,CU,NA,5,1944,PRESERVED_SPECIMEN,UdeM,MT,MT00115799,22333,"León, Hno; Marie-Victorin, Fr.; Liogier, H. Alain",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22583,Bletia purpurea,Bletia,purpurea,(Lam.) A.DC.,Species,Accepted,NA,1218040-2,22583,14,4,"c(-82.467, 22.7047)",TRUE
112930,GBIF_17028,Bletia sarcophylla,21.9769,-79.6631,473281068,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,SPECIES,(Reichenbach f.) Schlechter,"Banao, Loma de la Gloria",NA,CU,NA,7,1918,PRESERVED_SPECIMEN,UdeM,MT,MT00115795,8023,"León, Hno",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22597,Bletia sarcophylla,Bletia,sarcophylla,Rchb.f.,Species,Accepted,NA,617753-1,22597,21,2,"c(-79.6631, 21.9769)",TRUE
113282,GBIF_17434,Bletia florida,20.6309,-74.8572,473281073,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,SPECIES,(Salisbury) R. Brown,"Cayoguan, Punta Gorda",NA,CU,NA,7,1944,PRESERVED_SPECIMEN,UdeM,MT,MT00115797,4018,"Clément José, Fr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22512,Bletia florida,Bletia,florida,(Salisb.) R.Br.,Species,Accepted,NA,30372800-2,22512,7,7,"c(-74.8572, 20.6309)",TRUE
113394,GBIF_17558,Bletia macristhmochila,19.696111,-104.405556,1893958775,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,SPECIES,"Greenm., 1897","Puerto Los Mazos, 7-8 km al SSO de Autlán",NA,MX,575,7,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,11830,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22546,Bletia macristhmochila,Bletia,macristhmochila,Greenm.,Species,Accepted,NA,33926-2,22546,6,7,"c(-104.405556, 19.696111)",TRUE
