V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
124013,GBIF_45415,Bolusiella zenkeri,3.88333,11.15,2515712967,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rolfe) Schltr.,45 km W of Yaoundé.,NA,CM,NA,9,1964,PRESERVED_SPECIMEN,NA,Botany,WAG.1130550,"Atwell, D 20",Atwell D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22862,Bolusiella zenkeri,Bolusiella,zenkeri,(Kraenzl.) Schltr.,Species,Accepted,NA,617840-1,22862,8,9,"c(11.15, 3.88333)",TRUE
131338,GBIF_56070,Bolusiella zenkeri,3.0833,10.4167,1056692617,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Kraenzl.) Schltr.,Bipinde [= Bipindi],NA,CM,NA,NA,1907,PRESERVED_SPECIMEN,NHMUK,BOT,BM000529327,3356 b [or 3396 b],Georg August Zenker,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22862,Bolusiella zenkeri,Bolusiella,zenkeri,(Kraenzl.) Schltr.,Species,Accepted,NA,617840-1,22862,0,18,"c(10.4167, 3.0833)",TRUE
133075,GBIF_58180,Bolusiella talbotii,-1.67367,11.77067,2517379477,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rendle) Summerh.,17 km on the road Moukabou to Mbigou.,NA,GA,NA,3,2013,PRESERVED_SPECIMEN,NA,Botany,WAG0117588,"Wieringa, JJ; Proosdij, ASJ van; Nzabi, T 7444",Wieringa JJ; Proosdij ASJ van; Nzabi T,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22861,Bolusiella talbotii,Bolusiella,talbotii,(Rendle) Summerh.,Species,Accepted,NA,617839-1,22861,0,17,"c(11.77067, -1.67367)",TRUE
133121,GBIF_58231,Bolusiella maudiae,-28.88333,31.46667,2515712968,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Bolus) Schltr.,Eshowe.,NA,ZA,NA,6,1983,PRESERVED_SPECIMEN,NA,Botany,WAG.1130565,"Laan, FM van der 628",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22860,Bolusiella maudiae,Bolusiella,maudiae,(Bolus) Schltr.,Species,Accepted,NA,617838-1,22860,0,15,"c(31.46667, -28.88333)",TRUE
134216,GBIF_59449,Bolusiella zenkeri,7.25,-3.01667,2515856682,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rolfe) Schltr.,NA,NA,CI,NA,4,1983,PRESERVED_SPECIMEN,NA,Botany,WAG.1130554,"Laan, FM van der 603",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22862,Bolusiella zenkeri,Bolusiella,zenkeri,(Kraenzl.) Schltr.,Species,Accepted,NA,617840-1,22862,8,9,"c(-3.01667, 7.25)",TRUE
149994,GBIF_81310,Bolusiella talbotii,1.7167,10.6667,1936195435,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rendle) Summerh.,Centro Sur: Añisok-Mongola,NA,GQ,NA,10,1999,PRESERVED_SPECIMEN,MA,MA,MA-01-00785018,1481,Raquel Pérez Viso,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22861,Bolusiella talbotii,Bolusiella,talbotii,(Rendle) Summerh.,Species,Accepted,NA,617839-1,22861,0,17,"c(10.6667, 1.7167)",TRUE
158641,GBIF_98269,Bolusiella zenkeri,5.41667,-5.8,2515650611,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rolfe) Schltr.,8 km S of Lagako-Tokpeko on the road to Port-Gauthier.,NA,CI,NA,11,1975,PRESERVED_SPECIMEN,NA,Botany,WAG9102408,"Koning, J de 6168",Koning J de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22862,Bolusiella zenkeri,Bolusiella,zenkeri,(Kraenzl.) Schltr.,Species,Accepted,NA,617840-1,22862,8,9,"c(-5.8, 5.41667)",TRUE
158654,GBIF_98286,Bolusiella talbotii,5.4,-4.05,2515815062,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rendle) Summerh.,"Banco National Park, N of Banco.",NA,CI,NA,3,1972,PRESERVED_SPECIMEN,NA,Botany,WAG.1130570,"Doorn, J van; Doorn-Hoekman, H van 162",Doorn J van; Doorn-Hoekman H van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22861,Bolusiella talbotii,Bolusiella,talbotii,(Rendle) Summerh.,Species,Accepted,NA,617839-1,22861,0,17,"c(-4.05, 5.4)",TRUE
159314,GBIF_99118,Bolusiella talbotii,0.6,10.26667,2517355002,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rendle) Summerh.,"Mytsibé river, an Affluent of the Zang River, just east of Méla.",NA,GA,NA,6,1983,PRESERVED_SPECIMEN,NA,Botany,WAG9102398,"Laan, FM van der 622",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22861,Bolusiella talbotii,Bolusiella,talbotii,(Rendle) Summerh.,Species,Accepted,NA,617839-1,22861,0,17,"c(10.26667, 0.6)",TRUE
160786,GBIF_100820,Bolusiella maudiae,0.2,34.86667,2515523409,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Bolus) Schltr.,"Kakamega forest, along road C39, 20km SE of Kakamega along Yala River, Tindinyo village.",NA,KE,NA,8,1986,PRESERVED_SPECIMEN,NA,Botany,WAG9102658,"Laan, FM van der; Wubben, JM 1245",Laan FM van der; Wubben JM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22860,Bolusiella maudiae,Bolusiella,maudiae,(Bolus) Schltr.,Species,Accepted,NA,617838-1,22860,0,15,"c(34.86667, 0.2)",TRUE
160807,GBIF_100844,Bolusiella zenkeri,2.81667,11.13333,2517716881,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rolfe) Schltr.,"Station du Cacaoyer de N'koemvone, S. of Ebolowa, 14 km on the road to Ambam.",NA,CM,NA,8,1974,PRESERVED_SPECIMEN,NA,Botany,WAG.1130551,"Wilde, JJFE de 7416",Wilde JJFE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22862,Bolusiella zenkeri,Bolusiella,zenkeri,(Kraenzl.) Schltr.,Species,Accepted,NA,617840-1,22862,8,9,"c(11.13333, 2.81667)",TRUE
160808,GBIF_100845,Bolusiella zenkeri,5.3,-6,2517417855,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rolfe) Schltr.,"c. 60 km N of Sassandra, left bank of Davo River, E of Béyo.",NA,CI,NA,1,1959,PRESERVED_SPECIMEN,NA,Botany,WAG.1130553,"Leeuwenberg, AJM 2595",Leeuwenberg AJM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22862,Bolusiella zenkeri,Bolusiella,zenkeri,(Kraenzl.) Schltr.,Species,Accepted,NA,617840-1,22862,8,9,"c(-6, 5.3)",TRUE
162230,GBIF_102466,Bolusiella iridifolia,-3.2,29.55,1840885135,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,NA,cascade de Nyabihondo (Teza),NA,BI,NA,1,1991,PRESERVED_SPECIMEN,MeiseBG,BR,BR6102000119226,173,Arbonnier M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,22856,Bolusiella iridifolia,Bolusiella,iridifolia,(Rolfe) Schltr.,Species,Accepted,NA,617837-1,22856,15,-1,"c(29.55, -3.2)",TRUE
165452,GBIF_106155,Bolusiella talbotii,-1.66667,11.83333,2517394972,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rendle) Summerh.,25 km along the road Mbigou - Mimongo.,NA,GA,NA,4,1983,PRESERVED_SPECIMEN,NA,Botany,WAG9102399,"Laan, FM van der 601",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22861,Bolusiella talbotii,Bolusiella,talbotii,(Rendle) Summerh.,Species,Accepted,NA,617839-1,22861,0,17,"c(11.83333, -1.66667)",TRUE
169042,GBIF_110290,Bolusiella talbotii,-5.1,38.63333,2515767309,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bolusiella,SPECIES,(Rendle) Summerh.,behind Malaria Centre Amani.,NA,TZ,NA,9,1986,PRESERVED_SPECIMEN,NA,Botany,WAG9102653,"Laan, FM van der; Wubben, JM 1296",Laan FM van der; Wubben JM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,22861,Bolusiella talbotii,Bolusiella,talbotii,(Rendle) Summerh.,Species,Accepted,NA,617839-1,22861,0,17,"c(38.63333, -5.1)",TRUE
