V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114639,GBIF_18841,Brachionidium brevicaudatum,6.08,-60.38,2235416580,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachionidium,SPECIES,Rolfe,"Pakaraima Mountains. Kurupung-Membaru trail, 2.75 km from Kumarau Falls on river.",NA,GY,NA,7,1992,PRESERVED_SPECIMEN,NY,NY,3998494,2152,B. Hoffman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23706,Brachionidium brevicaudatum,Brachionidium,brevicaudatum,Rolfe,Species,Accepted,NA,35825-2,23706,0,5,"c(-60.38, 6.08)",TRUE
128719,GBIF_53379,Brachionidium alpestre,-3.268889,-78.318333,4031997368,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachionidium,SPECIES,Luer & R. Vásquez,"Cima de la Cordillera del Cóndor. Centro Shuar Numpatkaim. Bosque enano arbustivo y páramo de Bromeliaceae con arbustos. Acompañantes del Centro Numpatkaim: Pascual Nantip; Ernesto, Ramón & Juana Samchim; Leonidas Tseremp; Carlos Pitiur; Fernando Ankuash; Ricardo Wachapa; Adan Samik; Virgina Santiag.",NA,EC,2760,7,2005,PRESERVED_SPECIMEN,MO,Tropicos,102220778,353,Tuntiak Katan;Carlos Morales;T. Embrey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,23701,Brachionidium alpestre,Brachionidium,alpestre,Luer & R.Vásquez,Species,Accepted,NA,302372-2,23701,1,9,"c(-78.318333, -3.268889)",TRUE
128799,GBIF_53460,Brachionidium uxorium,-14.59638,-68.9425,4032030833,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachionidium,SPECIES,Luer & R. Vásquez,"Parque Nacional Madidi, Mojos, camino al inciensal Linter, subiendo de campamento Fuertecillo (por el camino a Queara). Bosque de yungas montano inferior pluvial. Plantas alcoholizadas.",NA,BO,2030,3,2008,PRESERVED_SPECIMEN,MO,Tropicos,102418454,12268,Alfredo F. Fuentes;R. Lipa;R. Machaca,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,23768,Brachionidium uxorium,Brachionidium,uxorium,Luer & R.Vásquez,Species,Accepted,NA,304929-2,23768,1,9,"c(-68.9425, -14.59638)",TRUE
128852,GBIF_53514,Brachionidium alpestre,-10.375833,-75.467778,4032109078,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachionidium,SPECIES,Luer & R. Vásquez,"Dist. Huancabamba. Parque Nacional Yanachaga-Chemillén, remedición y evaluación de arbustos y hierbas en parcela permanente Yanachaga 1.0 ha.",NA,PE,3170,11,2007,PRESERVED_SPECIMEN,MO,Tropicos,102621755,15985,Abel Monteagudo;A. Peña Cruz;Valerio Flores;R. Rivera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,23701,Brachionidium alpestre,Brachionidium,alpestre,Luer & R.Vásquez,Species,Accepted,NA,302372-2,23701,1,9,"c(-75.467778, -10.375833)",TRUE
128957,GBIF_53620,Brachionidium operosum,-1.41,-78.183,1261351707,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachionidium,SPECIES,Luer & Hirtz,"Epiphytic in cloud forest, Río Zuñag.",NA,EC,2700,2,1990,PRESERVED_SPECIMEN,MO,Tropicos,635072,4637,Alexander Hirtz;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23744,Brachionidium operosum,Brachionidium,operosum,Luer & Hirtz,Species,Accepted,NA,305066-2,23744,0,12,"c(-78.183, -1.41)",TRUE
129030,GBIF_53693,Brachionidium cruziae,9.133333,-82.95,1261358246,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachionidium,SPECIES,L.O. Williams,"Cordillera de Talamanca, Atlantic slope, Valle de Silencio, along the Río Terbi, 0.5-1.5 airline km W of the Costa Rican-Panamanian border.",NA,CR,2350,9,1984,PRESERVED_SPECIMEN,MO,Tropicos,642056,28727,Gerrit Davidse;Gerardo Herrera Ch.;Michael H. Grayum,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,23711,Brachionidium cruziae,Brachionidium,cruziae,L.O.Williams,Species,Accepted,NA,35827-2,23711,1,8,"c(-82.95, 9.133333)",TRUE
129038,GBIF_53701,Brachionidium cruziae,9.15,-82.966667,1261358553,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachionidium,SPECIES,L.O. Williams,"Cordillera de Talamanca, Atlantic slope, Cerros Tararia (locally known as Tres Picos).",NA,CR,2500,9,1984,PRESERVED_SPECIMEN,MO,Tropicos,642434,28807,Gerrit Davidse;Gerardo Herrera Ch.;Michael H. Grayum,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,23711,Brachionidium cruziae,Brachionidium,cruziae,L.O.Williams,Species,Accepted,NA,35827-2,23711,1,8,"c(-82.966667, 9.15)",TRUE
129672,GBIF_54351,Brachionidium calypso,8.816667,-82.4,1258585134,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachionidium,SPECIES,Luer,"Chiriquí-Bocas del Toro border. Trail along continental divide NE of Boquete, above Palo Alto.",NA,PA,2164.08,5,1979,PRESERVED_SPECIMEN,MO,Tropicos,1364639,7381,Barry E. Hammel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23707,Brachionidium calypso,Brachionidium,calypso,Luer,Species,Accepted,NA,305470-2,23707,0,4,"c(-82.4, 8.816667)",TRUE
129794,GBIF_54475,Brachionidium elegans,-3,-78.6,1258689606,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachionidium,SPECIES,Luer & Hirtz,Between Cuenca and Plan de Milagro (Limón).,NA,EC,3000,1,1995,PRESERVED_SPECIMEN,MO,Tropicos,1460957,6111,Alexander Hirtz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23720,Brachionidium elegans,Brachionidium,elegans,Luer & Hirtz,Species,Accepted,NA,929293-1,23720,0,12,"c(-78.6, -3)",TRUE
130994,GBIF_55713,Brachionidium andreettae,-3.98,-79.14,1260165270,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachionidium,SPECIES,Luer & Hirtz,Protected due to name conservation status,NA,EC,2300,2,1993,PRESERVED_SPECIMEN,MO,Tropicos,2813081,1869,Stig Dalström;T. Höijer;Hans-Erik Wanntorp,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23702,Brachionidium andreettae,Brachionidium,andreettae,Luer & Hirtz,Species,Accepted,NA,303808-2,23702,0,12,"c(-79.14, -3.98)",TRUE
