V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104055,GBIF_272,Brachycorythis pubescens,-28.99853,25.092539,1055453028,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,Harv.,NA,NA,ZA,NA,10,1894,PRESERVED_SPECIMEN,NHMUK,BOT,BM000076077,1378,Friedrich Wilms,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23842,Brachycorythis pubescens,Brachycorythis,pubescens,Harv.,Species,Accepted,NA,617964-1,23842,0,5,"c(25.092539, -28.99853)",TRUE
104058,GBIF_275,Brachycorythis pleistophylla,-9.283333,33.65,1057619690,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,Rchb.f.,"Kyimbila, Kyimbila District. North of Lake Nyasa.",NA,TZ,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000076351,2364,Adolf Ferdinand Stolz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23838,Brachycorythis pleistophylla,Brachycorythis,pleistophylla,Rchb.f.,Species,Accepted,NA,617963-1,23838,0,7,"c(33.65, -9.283333)",TRUE
104059,GBIF_276,Brachycorythis pubescens,-0.840232,15.224294,1056418604,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,Harv.,NA,NA,CG,NA,8,1910,PRESERVED_SPECIMEN,NHMUK,BOT,BM000076505,3297,Theodor Wilhelm Kässner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23842,Brachycorythis pubescens,Brachycorythis,pubescens,Harv.,Species,Accepted,NA,617964-1,23842,0,5,"c(15.224294, -0.840232)",TRUE
106367,GBIF_9562,Brachycorythis helferi,15.33333,98.5,2513783932,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,(Rchb.f.) Summerh.,"Thailand, Province: Kanchanaburi, District: Sangklaburi, Toong Yai Naresuan Wildlife Reserve, Lai Wo Subdistrict, Ban Saneh Pawng (Karen Village).",NA,TH,NA,6,1993,PRESERVED_SPECIMEN,NA,Botany,L.1487629,"Maxwell, JF 93- 618",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23806,Brachycorythis helferi,Brachycorythis,helferi,(Rchb.f.) Summerh.,Species,Accepted,NA,617939-1,23806,0,18,"c(98.5, 15.33333)",TRUE
106368,GBIF_9563,Brachycorythis pleistophylla,-9.28333,33.61667,2513787383,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SUBSPECIES,NA,"Nyassa Hochland, Station Kyimbila.",NA,TZ,NA,NA,1910,PRESERVED_SPECIMEN,NA,Botany,L.1487652,"Stolz, AF 463",Stolz AF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,23838,Brachycorythis pleistophylla,Brachycorythis,pleistophylla,Rchb.f.,Species,Accepted,NA,617963-1,23838,7,-1,"c(33.61667, -9.28333)",TRUE
106885,GBIF_10098,Brachycorythis helferi,19.82426,100.86235,2513174600,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,(Rchb.f.) Summerh.,"Laos, Province: Sayaboury, District: Phiang, Kioukhen village.",NA,LA,NA,8,1999,PRESERVED_SPECIMEN,NA,Botany,L  0201716,"Maxwell, JF 99- 251",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23806,Brachycorythis helferi,Brachycorythis,helferi,(Rchb.f.) Summerh.,Species,Accepted,NA,617939-1,23806,0,18,"c(100.86235, 19.82426)",TRUE
107012,GBIF_10228,Brachycorythis friesii,-2.91667,29.5,2517672844,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,(Schltr.) Summerh.,"plantation de thé de Rwegura, route vers la forêt de Rwegura.",NA,BI,NA,11,1969,PRESERVED_SPECIMEN,NA,Botany,WAG.1130600,"Delarge, N 168",Delarge N,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23799,Brachycorythis friesii,Brachycorythis,friesii,(Schltr.) Summerh.,Species,Accepted,NA,617934-1,23799,0,18,"c(29.5, -2.91667)",TRUE
107309,GBIF_10534,Brachycorythis pubescens,-1.40944,14.04389,2516210788,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,Harv.,"Département des Plateaux, Souba-Antenne.",NA,GA,NA,11,2012,PRESERVED_SPECIMEN,NA,Botany,WAG.1941653,"Quiroz-Villarreal, DK; Ombama-Obaka, T 1878",Quiroz-Villarreal DK; Ombama-Obaka T,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23842,Brachycorythis pubescens,Brachycorythis,pubescens,Harv.,Species,Accepted,NA,617964-1,23842,0,5,"c(14.04389, -1.40944)",TRUE
107314,GBIF_10539,Brachycorythis macrantha,8.35833,-13.11667,2517901117,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,(Lindl.) Summerh.,Bathurst village. Peninsula.,NA,SL,NA,8,1965,PRESERVED_SPECIMEN,NA,Botany,WAG.1975261,"Morton, JK; Jarr, AS SL 2173",Morton JK; Jarr AS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23822,Brachycorythis macrantha,Brachycorythis,macrantha,(Lindl.) Summerh.,Species,Accepted,NA,617953-1,23822,0,17,"c(-13.11667, 8.35833)",TRUE
107956,GBIF_11206,Brachycorythis laotica,18.33333,99.86667,2513192973,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,(Gagnep.) Summerh.,"Thailand, Province: Lampang, District: Muang Bahn (Pan), Jae Sawn National Park, east side, near Jae Sawn Falls and Mae Mawn Stream.",NA,TH,NA,8,1995,PRESERVED_SPECIMEN,NA,Botany,L  0283919,"Maxwell, JF 95- 567",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23816,Brachycorythis laotica,Brachycorythis,laotica,(Gagnep.) Summerh.,Species,Accepted,NA,617948-1,23816,0,18,"c(99.86667, 18.33333)",TRUE
108070,GBIF_11324,Brachycorythis buchananii,-9.28333,33.61667,2517716883,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,(Schltr.) Rolfe,Nyassa Hochland. Station Kyimbila.,NA,TZ,NA,1,1911,PRESERVED_SPECIMEN,NA,Botany,WAG.1130588,"Stolz, AF 568",Stolz AF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23789,Brachycorythis buchananii,Brachycorythis,buchananii,(Schltr.) Rolfe,Species,Accepted,NA,617927-1,23789,0,15,"c(33.61667, -9.28333)",TRUE
108071,GBIF_11325,Brachycorythis macrantha,6.38333,9.38333,2515873595,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,(Lindl.) Summerh.,probably collected near Obudu Cattle Range.,NA,NG,NA,5,1971,PRESERVED_SPECIMEN,NA,Botany,WAG.1130607,"Meer, PPC van 1833",Meer PPC van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23822,Brachycorythis macrantha,Brachycorythis,macrantha,(Lindl.) Summerh.,Species,Accepted,NA,617953-1,23822,0,17,"c(9.38333, 6.38333)",TRUE
108072,GBIF_11326,Brachycorythis pubescens,-9.28333,33.61667,2515691112,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachycorythis,SPECIES,Harv.,"Nyassa Hochland, Station Kyimbila, Mwasukulu Wald.",NA,TZ,NA,1,1909,PRESERVED_SPECIMEN,NA,Botany,WAG.1130670,"Stolz, AF 190",Stolz AF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23842,Brachycorythis pubescens,Brachycorythis,pubescens,Harv.,Species,Accepted,NA,617964-1,23842,0,5,"c(33.61667, -9.28333)",TRUE
