V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106366,GBIF_9561,Brachypeza indusiata,-0.22132,116.60428,2513786515,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachypeza,SPECIES,(Rchb.f.) Garay,"East Borneo, Central Kutei, Belajan R., G. Kelopok near Tabang",NA,ID,NA,4,1955,PRESERVED_SPECIMEN,NA,Botany,L.1487591,"Kostermans, AJGH 10582",Kostermans AJGH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23872,Brachypeza indusiata,Brachypeza,indusiata,(Rchb.f.) Garay,Species,Accepted,NA,617991-1,23872,0,15,"c(116.60428, -0.22132)",TRUE
106719,GBIF_9928,Brachypeza cladostachya,-2.46667,121.25,2513822986,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachypeza,SPECIES,(Hook.f.) H.A.Pedersen,"Lake Matano, Mure, south side of lake, a few km east of Soroake.",NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1526034,Hort Bot Singapore SBGO 4012,Hort Bot Singapore,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488236,Brachypeza cladostachya,Brachypeza,cladostachya,(Hook.f.) Kocyan & Schuit.,Species,Accepted,NA,77138139-1,488236,16,10,"c(121.25, -2.46667)",TRUE
106919,GBIF_10134,Brachypeza cladostachya,-3.66667,116.16667,2513284905,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachypeza,SPECIES,(Ridl.) Holttum,NA,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L  0740143,"Bouman-Houtman, A 106",Bouman-Houtman A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488236,Brachypeza cladostachya,Brachypeza,cladostachya,(Hook.f.) Kocyan & Schuit.,Species,Accepted,NA,77138139-1,488236,20,3,"c(116.16667, -3.66667)",TRUE
123454,GBIF_44814,Brachypeza unguiculata,11.06083,124.90278,2513825890,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachypeza,SPECIES,(Lindl.) H.A.Pedersen,"Philippines, Island of Leyte, Dagami.",NA,PH,NA,2,1913,PRESERVED_SPECIMEN,NA,Botany,L.1525917,"Wenzel, CA Orchid 83",Wenzel CA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489354,Brachypeza unguiculata,Brachypeza,unguiculata,(Lindl.) Kocyan & Schuit.,Species,Accepted,NA,77138143-1,489354,16,9,"c(124.90278, 11.06083)",TRUE
123455,GBIF_44815,Brachypeza cladostachya,-2.45,121.36667,2513823113,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachypeza,SPECIES,(Hook.f.) H.A.Pedersen,n shore of lake matano east of nuha,NA,ID,NA,6,1979,PRESERVED_SPECIMEN,NA,Botany,L.1526033,"Vogel, EF de 5826",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488236,Brachypeza cladostachya,Brachypeza,cladostachya,(Hook.f.) Kocyan & Schuit.,Species,Accepted,NA,77138139-1,488236,16,10,"c(121.36667, -2.45)",TRUE
131690,GBIF_56460,Brachypeza pallida,1.384,103.747,1057022822,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachypeza,SPECIES,(Blume) Holttum,"Choa Chu Kang [Chua Chu Kang, Chuah Chu Kang, Chuachu Kang]",NA,SG,NA,NA,1894,PRESERVED_SPECIMEN,NHMUK,BOT,BM000534755,s.n.,Henry Nicholas Ridley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488234,Brachypeza pallida,Brachypeza,pallida,(Blume) Kocyan & Schuit.,Species,Accepted,NA,77138140-1,488234,14,8,"c(103.747, 1.384)",TRUE
133757,GBIF_58933,Brachypeza cladostachya,-1.83333,115.66667,2513821252,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachypeza,SPECIES,(Hook.f.) H.A.Pedersen,"Mt. Sarempaka, 7 km NE of Muara Uja.",NA,ID,NA,11,1971,PRESERVED_SPECIMEN,NA,Botany,L.1526030,"Vogel, EF de 1103",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488236,Brachypeza cladostachya,Brachypeza,cladostachya,(Hook.f.) Kocyan & Schuit.,Species,Accepted,NA,77138139-1,488236,16,10,"c(115.66667, -1.83333)",TRUE
164746,GBIF_105316,Brachypeza indusiata,-4.5536,136.0339,2513784295,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachypeza,SPECIES,(Rchb.f.) Garay,"S Nw. Guinea, Sg. Si-èra (Djèra) near Oeta",NA,ID,NA,6,1941,PRESERVED_SPECIMEN,NA,Botany,L.1487595,Aët 1941/ 278,Aët,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,23872,Brachypeza indusiata,Brachypeza,indusiata,(Rchb.f.) Garay,Species,Accepted,NA,617991-1,23872,0,15,"c(136.0339, -4.5536)",TRUE
165160,GBIF_105775,Brachypeza cladostachya,1.18333,110.06667,3325185315,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachypeza,SPECIES,(Hook.f.) H.A.Pedersen,Surroundings of Bau.,NA,MY,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.4171732,"Vogel, EF de 27588 a",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488236,Brachypeza cladostachya,Brachypeza,cladostachya,(Hook.f.) Kocyan & Schuit.,Species,Accepted,NA,77138139-1,488236,16,10,"c(110.06667, 1.18333)",TRUE
169001,GBIF_110220,Brachypeza pallida,-6.5991,106.8019,2513309480,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachypeza,SPECIES,Ridl.,NA,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L  0799798,"Carr, CE s.n.",Carr CE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488234,Brachypeza pallida,Brachypeza,pallida,(Blume) Kocyan & Schuit.,Species,Accepted,NA,77138140-1,488234,23,1,"c(106.8019, -6.5991)",TRUE
