V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
124297,GBIF_45713,Braemia vittata,-2.883333,-59.97,1042619205,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Braemia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Pequeno afluente do Igarapé Acará.",NA,BR,0,8,1994,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195121,1391,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24002,Braemia vittata,Braemia,vittata,(Lindl.) Jenny,Species,Accepted,NA,914907-1,24002,14,-1,"c(-59.97, -2.883333)",TRUE
124624,GBIF_46053,Braemia vittata,5.572083,-59.91,1042689707,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Braemia,SPECIES,NA,Upper Kuribrong River,NA,GY,237.5,3,2011,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",241518,9169,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24002,Braemia vittata,Braemia,vittata,(Lindl.) Jenny,Species,Accepted,NA,914907-1,24002,14,-1,"c(-59.91, 5.572083)",TRUE
124635,GBIF_46064,Braemia vittata,-2.883333,-59.97,1042499967,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Braemia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará",NA,BR,0,1,1996,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195060,732,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24002,Braemia vittata,Braemia,vittata,(Lindl.) Jenny,Species,Accepted,NA,914907-1,24002,14,-1,"c(-59.97, -2.883333)",TRUE
124716,GBIF_46150,Braemia vittata,-4.889389,-65.22,1042692792,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Braemia,SPECIES,NA,"Rio Urucu., BOGPM- Base de Operações Geólogo Pedro de Moura, Rio Urucu",NA,BR,0,9,2005,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",244107,2948,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24002,Braemia vittata,Braemia,vittata,(Lindl.) Jenny,Species,Accepted,NA,914907-1,24002,14,-1,"c(-65.22, -4.889389)",TRUE
124744,GBIF_46180,Braemia vittata,-1.783333,-65.62,1042592992,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Braemia,SPECIES,NA,"Rio Japurá, environs of town of Maraã. Headwaters of Lago Maraã. Primary forest on terra firme.",NA,BR,0,12,1982,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",126064,12331,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24002,Braemia vittata,Braemia,vittata,(Lindl.) Jenny,Species,Accepted,NA,914907-1,24002,14,-1,"c(-65.62, -1.783333)",TRUE
125039,GBIF_46488,Braemia vittata,-2.883333,-59.97,1042619514,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Braemia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará.",NA,BR,0,8,1994,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195125,1401,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24002,Braemia vittata,Braemia,vittata,(Lindl.) Jenny,Species,Accepted,NA,914907-1,24002,14,-1,"c(-59.97, -2.883333)",TRUE
125089,GBIF_46541,Braemia vittata,-2.883333,-59.97,1042521634,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Braemia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke.",NA,BR,0,10,1957,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",5898,57-140,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24002,Braemia vittata,Braemia,vittata,(Lindl.) Jenny,Species,Accepted,NA,914907-1,24002,14,-1,"c(-59.97, -2.883333)",TRUE
182255,GBIF_127581,Braemia vittata,-3.25,-75.833333,1261385123,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Braemia,SPECIES,(Lindl.) Rchb. f.,"Hermosa and vicinity, Río Corrientes, 1 km S of junction with Río Macusari.",NA,PE,160,12,1985,PRESERVED_SPECIMEN,MO,Tropicos,669947,10216B,Walter H. Lewis;Memory Elvin-Lewis;M. C. Gnerre,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24002,Braemia vittata,Braemia,vittata,(Lindl.) Jenny,Species,Accepted,NA,914907-1,24002,8,9,"c(-75.833333, -3.25)",TRUE
187067,GBIF_132704,Braemia vittata,-3.916667,-77.718333,1261489658,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Braemia,SPECIES,(Lindl.) Jenny,"Monte virgin, 1 km. atra|s de la comunidad de Caterpiza, trocha de metayar, banda este de la Quebrada Caterpiza, Río Santiago.",NA,PE,180,11,1979,PRESERVED_SPECIMEN,MO,Tropicos,766963,1350,Victor Huashikat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24002,Braemia vittata,Braemia,vittata,(Lindl.) Jenny,Species,Accepted,NA,914907-1,24002,0,14,"c(-77.718333, -3.916667)",TRUE
189645,GBIF_135475,Braemia vittata,-3.748055,-73.247222,1261377495,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Braemia,SPECIES,(Lindl.) Jenny,"Distr. Iquitos. Puerto Almendras. Forest on white sand (stunted, ca. 6 m tall, chamisal) or on slightly more fertile soil (to 20 m tall, varillal).",NA,PE,130,7,1988,PRESERVED_SPECIMEN,MO,Tropicos,662364,9836,H. van der Werff,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24002,Braemia vittata,Braemia,vittata,(Lindl.) Jenny,Species,Accepted,NA,914907-1,24002,0,14,"c(-73.247222, -3.748055)",TRUE
