V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114140,GBIF_18336,Brassavola tuberculata,-15.866667,-47.85,4427187800,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,SPECIES,Hook.,Estação Ecológica do Jardim Botânico de Brasília,NA,BR,0,10,2003,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026583,245,"Jesus, FPR de",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24228,Brassavola tuberculata,Brassavola,tuberculata,Hook.,Species,Accepted,NA,618067-1,24228,0,5,"c(-47.85, -15.866667)",TRUE
114141,GBIF_18337,Brassavola tuberculata,-15.783333,-47.8,4427187805,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,SPECIES,Hook.,"EPTG, próximo a corrego do Guará.",NA,BR,0,10,1987,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026589,1021,Equipe do;Equipe do Jardim Botânico de Brasília,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24228,Brassavola tuberculata,Brassavola,tuberculata,Hook.,Species,Accepted,NA,618067-1,24228,0,5,"c(-47.8, -15.783333)",TRUE
114142,GBIF_18338,Brassavola tuberculata,-15.866667,-47.85,4427187807,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,SPECIES,Hook.,Estação Ecológica do Jardim Botânico de Brasília,NA,BR,0,10,2006,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026585,4284,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24228,Brassavola tuberculata,Brassavola,tuberculata,Hook.,Species,Accepted,NA,618067-1,24228,0,5,"c(-47.85, -15.866667)",TRUE
114413,GBIF_18612,Brassavola tuberculata,-24.254964,-49.7062215,1928613436,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,SPECIES,Hook.,Jacarehy in regione litoralis,NA,BR,NA,11,1914,PRESERVED_SPECIMEN,NY,NY,414767,16001,P. K. H. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24228,Brassavola tuberculata,Brassavola,tuberculata,Hook.,Species,Accepted,NA,618067-1,24228,0,5,"c(-49.7062215, -24.254964)",TRUE
114567,GBIF_18769,Brassavola ceboletta,-16.310185,-39.024395,1929933407,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,SPECIES,Rchb.f.,"BR 367, a 18.7 km ao N de Porto Seguro. Folha SE-24 (16-39c)",NA,BR,NA,7,1978,PRESERVED_SPECIMEN,NY,NY,414758,10335,S. A. Mori,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24184,Brassavola ceboletta,Brassavola,ceboletta,Rchb.f.,Species,Accepted,NA,618023-1,24184,0,7,"c(-39.024395, -16.310185)",TRUE
114807,GBIF_19014,Brassavola nodosa,10.630921,-85.528578,1931175813,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,SPECIES,(L.) Lindl.,About10 km. W of Liberia,NA,CR,100,8,1967,PRESERVED_SPECIMEN,NY,NY,951694,4418,R. J. Taylor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24208,Brassavola nodosa,Brassavola,nodosa,(L.) Lindl.,Species,Accepted,NA,618046-1,24208,0,11,"c(-85.528578, 10.630921)",TRUE
114971,GBIF_19187,Brassavola nodosa,17.867598,-88.343751,1930481586,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,SPECIES,Lindl.,Northern River,NA,BZ,NA,6,1934,PRESERVED_SPECIMEN,NY,NY,951728,1313,P. H. Gentle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,24208,Brassavola nodosa,Brassavola,nodosa,(L.) Lindl.,Species,Accepted,NA,618046-1,24208,5,6,"c(-88.343751, 17.867598)",TRUE
115305,GBIF_19531,Brassavola martiana,-8,-57.08,1930177767,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,SPECIES,Cogn.,"Alto Tapajos, Rio Cururu. 1-10 km upriver (SE) from village of Pratatí",NA,BR,NA,2,1974,PRESERVED_SPECIMEN,NY,NY,482396,10835,W. R. Anderson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24205,Brassavola martiana,Brassavola,martiana,Lindl.,Species,Accepted,NA,325518-2,24205,5,1,"c(-57.08, -8)",TRUE
115478,GBIF_19708,Brassavola martiana,-3.17549,-60.01844,1927813444,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,SPECIES,Lindl.,"Magin of Rio Negro opposite Manaus, 3-6 km upstream",NA,BR,NA,4,1971,PRESERVED_SPECIMEN,NY,NY,482402,11776,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24205,Brassavola martiana,Brassavola,martiana,Lindl.,Species,Accepted,NA,325518-2,24205,0,6,"c(-60.01844, -3.17549)",TRUE
124270,GBIF_45685,Brassavola martiana,-2.516667,-60.25,1042574558,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,SPECIES,NA,Rio Cuieras.,NA,BR,0,6,1990,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",167951,21267,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24205,Brassavola martiana,Brassavola,martiana,Lindl.,Species,Accepted,NA,325518-2,24205,6,-1,"c(-60.25, -2.516667)",TRUE
