V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104548,GBIF_841,Brassia verrucosa,19.336861,-97.025833,1897491128,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,SPECIES,"Bateman ex Lindl., 1840",Cosautlán,NA,MX,601,4,2012,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Milton Hugo Díaz Toribio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24313,Brassia verrucosa,Brassia,verrucosa,Bateman ex Lindl.,Species,Accepted,NA,618139-1,24313,6,17,"c(-97.025833, 19.336861)",TRUE
111305,GBIF_15318,Brassia cochleata,-2.629167,-60.815833,4526424386,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,SPECIES,Angiosperma,"Rio Negro, near Ponto de Pagodao in the Parana de Anavilhanas",NA,BR,NA,6,1990,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY00547357,21221,S. A. Mori,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24256,Brassia cochleata,Brassia,cochleata,Knowles & Westc.,Species,Accepted,NA,304996-2,24256,13,1,"c(-60.815833, -2.629167)",TRUE
114143,GBIF_18339,Brassia chloroleuca,-6.4775,-51.9825,4427187812,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,SPECIES,Barb.Rodr.,"Várzea, próximo do Igarape",NA,BR,0,7,2001,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026591,2100,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24251,Brassia chloroleuca,Brassia,chloroleuca,Barb.Rodr.,Species,Accepted,NA,325519-2,24251,0,10,"c(-51.9825, -6.4775)",TRUE
114292,GBIF_18489,Brassia caudata,18.216944,-77.096111,1931312663,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,SPECIES,(L.) Lindl.,Mt. Diablo,NA,JM,700,5,1952,PRESERVED_SPECIMEN,NY,NY,167902,22J362,F. A. Barkley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24248,Brassia caudata,Brassia,caudata,(L.) Lindl.,Species,Accepted,NA,1161131-2,24248,0,11,"c(-77.096111, 18.216944)",TRUE
114347,GBIF_18545,Brassia lanceana,-10.979438,-63.769326,1931042370,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,SPECIES,Lindl.,"Rio Pacáas Novos, proximo as pedras da 1ª Cachoeira",NA,BR,NA,3,1978,PRESERVED_SPECIMEN,NY,NY,1595575,277,J. U. M. dos Santos,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24283,Brassia lanceana,Brassia,lanceana,Lindl.,Species,Accepted,NA,325520-2,24283,0,6,"c(-63.769326, -10.979438)",TRUE
115044,GBIF_19263,Brassia caudata,20.339321,-75.037216,1928174306,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,SPECIES,(L.) Lindl.,La Prenda,NA,CU,NA,7,1919,PRESERVED_SPECIMEN,NY,NY,168067,2562,Bro. Hioram,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24248,Brassia caudata,Brassia,caudata,(L.) Lindl.,Species,Accepted,NA,1161131-2,24248,0,11,"c(-75.037216, 20.339321)",TRUE
124271,GBIF_45686,Brassia cochleata,-2.866667,-60.48,1042575427,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,SPECIES,NA,Rio Negro. Ponta do Pagodão,NA,BR,0,6,1992,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",190842,22401,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24256,Brassia cochleata,Brassia,cochleata,Knowles & Westc.,Species,Accepted,NA,304996-2,24256,16,-1,"c(-60.48, -2.866667)",TRUE
124282,GBIF_45697,Brassia bidens,2.416667,-60.18,1042601449,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,SPECIES,NA,"Serra da Lua, Summit of Serra da Lua. Cloud forest terrestrial growing on rock outcrop.",NA,BR,700,1,1969,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",25965,9443,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24244,Brassia bidens,Brassia,bidens,Lindl.,Species,Accepted,NA,618079-1,24244,6,-1,"c(-60.18, 2.416667)",TRUE
124381,GBIF_45800,Brassia lanceana,1.37076,-62.08,1042590323,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,SPECIES,NA,"Rio Uraricoera, Cachoeira Cigarra.",NA,BR,0,2,1979,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",84922,16801,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24283,Brassia lanceana,Brassia,lanceana,Lindl.,Species,Accepted,NA,325520-2,24283,6,-1,"c(-62.08, 1.37076)",TRUE
124466,GBIF_45888,Brassia bidens,-1.75,-61.25,1042568251,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,SPECIES,NA,"Área Indigena Waimiri Atroari, rio Camanaú, vicinity of Aldeia Maré. Seassonally flooded igapó forest.",NA,BR,30,8,1989,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",165418,488,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24244,Brassia bidens,Brassia,bidens,Lindl.,Species,Accepted,NA,618079-1,24244,6,-1,"c(-61.25, -1.75)",TRUE
