V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104147,GBIF_364,Bromheadia ensifolia,-0.54,114.2787,1057411280,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,J.J.Sm.,NA,NA,ID,NA,6,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000629514,34322,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24749,Bromheadia ensifolia,Bromheadia,ensifolia,J.J.Sm.,Species,Accepted,NA,618165-1,24749,0,7,"c(114.2787, -0.54)",TRUE
104603,GBIF_1084,Bromheadia finlaysoniana,-11.8,142.6,2828140420,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,Schltr.,NA,NA,AU,NA,1,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9220206.1,8918,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24751,Bromheadia finlaysoniana,Bromheadia,finlaysoniana,(Lindl.) Miq.,Species,Accepted,NA,77085966-1,24751,11,1,"c(142.6, -11.8)",TRUE
104788,GBIF_1841,Bromheadia finlaysoniana,-11,142.7,2828199447,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,Schltr.,NA,NA,AU,NA,8,1978,PRESERVED_SPECIMEN,CANB,CANB,CANB 287221.1,3266,"Paijmans, K.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24751,Bromheadia finlaysoniana,Bromheadia,finlaysoniana,(Lindl.) Miq.,Species,Accepted,NA,77085966-1,24751,11,1,"c(142.7, -11)",TRUE
105064,GBIF_3135,Bromheadia finlaysoniana,-3.666667,142.45,2829120928,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,Schltr.,38 km WSW of Nuku; Sepik District,NA,PG,215,8,1966,PRESERVED_SPECIMEN,CANB,CANB,CANB 173269.1,1635,"Heyligers, P.C.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24751,Bromheadia finlaysoniana,Bromheadia,finlaysoniana,(Lindl.) Miq.,Species,Accepted,NA,77085966-1,24751,11,1,"c(142.45, -3.666667)",TRUE
105813,GBIF_6985,Bromheadia finlaysoniana,-2.533333,140.7,2828467876,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,Schltr.,"Base G; Hollandia, District Hollandia",NA,ID,200,7,1961,PRESERVED_SPECIMEN,CANB,CANB,CANB 128785.1,6309,"Royen, P. van",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24751,Bromheadia finlaysoniana,Bromheadia,finlaysoniana,(Lindl.) Miq.,Species,Accepted,NA,77085966-1,24751,11,1,"c(140.7, -2.533333)",TRUE
105821,GBIF_7042,Bromheadia finlaysoniana,-11.8,142.6,2827833655,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,Schltr.,NA,NA,AU,NA,1,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9409426.3,8715,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,24751,Bromheadia finlaysoniana,Bromheadia,finlaysoniana,(Lindl.) Miq.,Species,Accepted,NA,77085966-1,24751,11,1,"c(142.6, -11.8)",TRUE
106373,GBIF_9568,Bromheadia finlaysoniana,1.0667,104.4667,2513784984,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,(Lindl.) Miq.,"Archipel. Ind. Riouw Arch., S. Poelei, P.Bintan.",NA,ID,NA,6,1919,PRESERVED_SPECIMEN,NA,Botany,L.1488279,"Bünnemeijer, HAB 6340",Bünnemeijer HAB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24751,Bromheadia finlaysoniana,Bromheadia,finlaysoniana,(Lindl.) Miq.,Species,Accepted,NA,77085966-1,24751,0,13,"c(104.4667, 1.0667)",TRUE
106374,GBIF_9569,Bromheadia cecieliae,2.21667,113.06667,2513787660,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,Kruiz.,"Hose Mountains, N.part, base of ridge leading to Bt.Batu",NA,MY,NA,12,1991,PRESERVED_SPECIMEN,NA,Botany,L.1488361,"Vogel, EF de 1174",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24744,Bromheadia cecieliae,Bromheadia,cecieliae,Kruiz.,Species,Accepted,NA,999254-1,24744,0,6,"c(113.06667, 2.21667)",TRUE
106909,GBIF_10124,Bromheadia finlaysoniana,4.44667,114.35278,2513264283,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,(Lindl.) Miq.,NA,NA,BN,NA,7,1989,PRESERVED_SPECIMEN,NA,Botany,L  0663796,"Vogel, EF de 9032",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24751,Bromheadia finlaysoniana,Bromheadia,finlaysoniana,(Lindl.) Miq.,Species,Accepted,NA,77085966-1,24751,0,13,"c(114.35278, 4.44667)",TRUE
107358,GBIF_10584,Bromheadia finlaysoniana,-2.90831,138.4413,2513785099,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,(Lindl.) Miq.,"Archip. Ind. N.Guinea, Rouffaer Rivier.",NA,ID,NA,9,1926,PRESERVED_SPECIMEN,NA,Botany,L.1488192,"Docters van Leeuwen, WM 10268",Docters van Leeuwen WM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24751,Bromheadia finlaysoniana,Bromheadia,finlaysoniana,(Lindl.) Miq.,Species,Accepted,NA,77085966-1,24751,0,13,"c(138.4413, -2.90831)",TRUE
107359,GBIF_10585,Bromheadia finlaysoniana,-2.75,134.51678,2513787451,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,(Lindl.) Miq.,"Job Isl., Wandammen Bay.",NA,ID,NA,3,1962,PRESERVED_SPECIMEN,NA,Botany,L.1488194,"Schram, FAW BW(Ind.) 14972",Schram FAW,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24751,Bromheadia finlaysoniana,Bromheadia,finlaysoniana,(Lindl.) Miq.,Species,Accepted,NA,77085966-1,24751,0,13,"c(134.51678, -2.75)",TRUE
107360,GBIF_10586,Bromheadia finlaysoniana,-0.46667,113.73333,2513787291,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bromheadia,SPECIES,(Lindl.) Miq.,headwaters of sungai kahayan ladang area and miri river environs,NA,ID,NA,3,1988,PRESERVED_SPECIMEN,NA,Botany,L.1488211,"Mahyar, UW 924",Mahyar UW,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,24751,Bromheadia finlaysoniana,Bromheadia,finlaysoniana,(Lindl.) Miq.,Species,Accepted,NA,77085966-1,24751,0,13,"c(113.73333, -0.46667)",TRUE
