V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
12510,ALA_15975,Bryobium queenslandicum,-16.6,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913066.1,4262,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(145.3, -16.6)",TRUE
17111,ALA_22792,Bryobium queenslandicum,-16.6,145.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,8,1963,PRESERVED_SPECIMEN,CANB,CANB,CANB 128481.2,3327,"Schodde, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(145.4, -16.6)",TRUE
18345,ALA_24803,Bryobium irukandjianum,-15.8,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(St.Cloud) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,8,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 571829.1,8288,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222186,Bryobium irukandjianum,Bryobium,irukandjianum,(St.Cloud) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006293-1,222186,0,32,"c(145.3, -15.8)",TRUE
18924,ALA_25759,Bryobium queenslandicum,-16.6,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,5,1972,PRESERVED_SPECIMEN,CANB,CANB,CBG 44771.1,NQ213,"Wrigley, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(145.3, -16.6)",TRUE
19492,ALA_26699,Bryobium queenslandicum,-16.6,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,5,1972,PRESERVED_SPECIMEN,CANB,CANB,CBG 68761.1,NQ218,"Wrigley, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(145.3, -16.6)",TRUE
20617,ALA_28487,Bryobium queenslandicum,-16.2,145.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,10,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 658245.1,35120,"Forster, P.I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(145.1, -16.2)",TRUE
20985,ALA_29124,Bryobium queenslandicum,-16.2,145.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,10,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 755443.1,25131,"Forster, P.I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(145.1, -16.2)",TRUE
23399,ALA_33276,Bryobium queenslandicum,-16.2,145.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,10,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 755444.1,25130,"Forster, P.I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(145.1, -16.2)",TRUE
26135,ALA_38374,Bryobium irukandjianum,-13.6,143.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(St.Cloud) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,CANB,CANB,CBG 8203589.1,s.n.,leg. ign.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222186,Bryobium irukandjianum,Bryobium,irukandjianum,(St.Cloud) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006293-1,222186,0,32,"c(143.5, -13.6)",TRUE
37703,ALA_58682,Bryobium queenslandicum,-17.4,145.8,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,720 m,8,1986,PRESERVED_SPECIMEN,NSW,NSW,NSW208534,865,"Weston, P.H. | Hind, P.D. | Healey, D. | Sankowsky, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(145.8, -17.4)",TRUE
70740,ALA_98460,Bryobium queenslandicum,-16.5,145.3,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,1,1967,PRESERVED_SPECIMEN,CNS,CNS,QRS 44175.1,CAIRNS 14804,"Berry, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(145.3, -16.5)",TRUE
70777,ALA_98513,Bryobium irukandjianum,-13.7,143.3,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(St.Cloud) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,10,1981,PRESERVED_SPECIMEN,CNS,CNS,QRS 66208.1,2202,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222186,Bryobium irukandjianum,Bryobium,irukandjianum,(St.Cloud) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006293-1,222186,0,32,"c(143.3, -13.7)",TRUE
71252,ALA_99211,Bryobium queenslandicum,-13.9,143.4,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,11,1980,PRESERVED_SPECIMEN,CNS,CNS,QRS 62467.1,1827,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(143.4, -13.9)",TRUE
71599,ALA_99781,Bryobium queenslandicum,-17.4,145.9,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Bryobium,species,(T.E.Hunt) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,10,1953,PRESERVED_SPECIMEN,CNS,CNS,CNS 132992.1,s.n.,"St Cloud, S.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,222187,Bryobium queenslandicum,Bryobium,queenslandicum,(T.E.Hunt) M.A.Clem. & D.L.Jones,Species,Accepted,NA,20006294-1,222187,0,32,"c(145.9, -17.4)",TRUE
