V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
4236,ALA_4971,Calanthe triplicata,-21.1,148.5,dr14787,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calanthe,species,(P.Willemet) Ames,NA,Australia,AU,NA,1,1983,PRESERVED_SPECIMEN,UNSW,UNSW,UNSWDB692,UNSW14252,"Puttock, C.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,30455,Calanthe triplicata,Calanthe,triplicata,(Willemet) Ames,Species,Accepted,NA,621074-1,30455,2,14,"c(148.5, -21.1)",TRUE
8534,ALA_10468,Calanthe triplicata,-6.583333,155.683333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calanthe,species,(P.Willemet) Ames,"Silibai River gorge, near Koniguru No 1, ca 11 miles [17.7 km] N of Buin.",Papua New Guinea,PG,NA,7,1964,PRESERVED_SPECIMEN,CANB,CANB,CANB 144841.2,85,"Craven, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,30455,Calanthe triplicata,Calanthe,triplicata,(Willemet) Ames,Species,Accepted,NA,621074-1,30455,2,14,"c(155.683333, -6.583333)",TRUE
10583,ALA_13350,Calanthe triplicata,-7.916667,147.25,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calanthe,species,(P.Willemet) Ames,"Morobe Province, Waria River Valley, on the edge of the Sara River.",Papua New Guinea,PG,NA,4,1990,PRESERVED_SPECIMEN,CANB,CANB,CBG 9013070.3,6822,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,30455,Calanthe triplicata,Calanthe,triplicata,(Willemet) Ames,Species,Accepted,NA,621074-1,30455,2,14,"c(147.25, -7.916667)",TRUE
11764,ALA_14954,Calanthe triplicata,-28,152.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calanthe,species,(P.Willemet) Ames,NA,Australia,AU,NA,2,1982,PRESERVED_SPECIMEN,CANB,CANB,CANB 1002747.1,ORG6372,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,30455,Calanthe triplicata,Calanthe,triplicata,(Willemet) Ames,Species,Accepted,NA,621074-1,30455,2,14,"c(152.4, -28)",TRUE
12621,ALA_16129,Calanthe triplicata,-22.177222,166.506389,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calanthe,species,(P.Willemet) Ames,Mt Koghi.,New Caledonia,NC,NA,11,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9217700.1,31,"Ziesing, P.D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,30455,Calanthe triplicata,Calanthe,triplicata,(Willemet) Ames,Species,Accepted,NA,621074-1,30455,2,14,"c(166.506389, -22.177222)",TRUE
14467,ALA_18745,Calanthe triplicata,-17.4,145.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calanthe,species,(P.Willemet) Ames,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913140.1,4336,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,30455,Calanthe triplicata,Calanthe,triplicata,(Willemet) Ames,Species,Accepted,NA,621074-1,30455,2,14,"c(145.4, -17.4)",TRUE
15033,ALA_19587,Calanthe triplicata,-28.616667,153.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calanthe,species,(P.Willemet) Ames,Whian Whian.,Australia,AU,NA,3,1962,PRESERVED_SPECIMEN,CANB,CANB,CANB 129677.1,2197,"Jones, W.T.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,30455,Calanthe triplicata,Calanthe,triplicata,(Willemet) Ames,Species,Accepted,NA,621074-1,30455,2,14,"c(153.3, -28.616667)",TRUE
15513,ALA_20323,Calanthe triplicata,-24.4,151,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calanthe,species,(P.Willemet) Ames,NA,Australia,AU,NA,1,1997,PRESERVED_SPECIMEN,CANB,CANB,CBG 9708165.7,1773,"Crane, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,30455,Calanthe triplicata,Calanthe,triplicata,(Willemet) Ames,Species,Accepted,NA,621074-1,30455,2,14,"c(151, -24.4)",TRUE
17238,ALA_22971,Calanthe triplicata,-28.316667,152.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calanthe,species,(P.Willemet) Ames,Mt Clunie Lodge. [Cabins].,Australia,AU,NA,1,2016,PRESERVED_SPECIMEN,CANB,CANB,CANB 953826.1,12345,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,30455,Calanthe triplicata,Calanthe,triplicata,(Willemet) Ames,Species,Accepted,NA,621074-1,30455,2,14,"c(152.5, -28.316667)",TRUE
19045,ALA_25962,Calanthe triplicata,-28.315833,153.524167,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Calanthe,species,(P.Willemet) Ames,Mt. Clunie National Park; track towards summit - points A & B on Mt. Clunie Lodge Map.,Australia,AU,NA,1,2016,PRESERVED_SPECIMEN,CANB,CANB,CANB 953850.1,12369,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,30455,Calanthe triplicata,Calanthe,triplicata,(Willemet) Ames,Species,Accepted,NA,621074-1,30455,2,14,"c(153.524167, -28.315833)",TRUE
