V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111500,GBIF_15521,Calopogon tuberosus,46.9375,-55.641667,473465939,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,VARIETY,NA,"Snooks Brook, près de, Péninsule de Burin",NA,CA,NA,7,1996,PRESERVED_SPECIMEN,UdeM,MT,MT00030552,1471,"Etcheberry, Roger",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31882,Calopogon tuberosus,Calopogon,tuberosus,"(L.) Britton, Sterns & Poggenb.",Species,Accepted,NA,42783-2,31882,31,-1,"c(-55.641667, 46.9375)",TRUE
111601,GBIF_15622,Calopogon tuberosus,45.9956,-73.994,4986957796,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,VARIETY,NA,"Lac Geai; Station de Biologie des Laurentides, Université de Montréal",NA,CA,NA,7,1972,PRESERVED_SPECIMEN,UdeM,MT,NA,sn,"Contant, Hélène",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31882,Calopogon tuberosus,Calopogon,tuberosus,"(L.) Britton, Sterns & Poggenb.",Species,Accepted,NA,42783-2,31882,31,-1,"c(-73.994, 45.9956)",TRUE
111658,GBIF_15679,Calopogon tuberosus,47.671428,-79.355706,1417512831,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,VARIETY,NA,"Lac Gingras près de Guérin, Témiscamingue",NA,CA,NA,7,2007,PRESERVED_SPECIMEN,UdeM,MT,MT00212659,597sn,"Martineau, Dany; Martineau, Pierre",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31882,Calopogon tuberosus,Calopogon,tuberosus,"(L.) Britton, Sterns & Poggenb.",Species,Accepted,NA,42783-2,31882,31,-1,"c(-79.355706, 47.671428)",TRUE
111664,GBIF_15686,Calopogon tuberosus,46.9544,-56.3235,1806081162,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,VARIETY,NA,Îles St-Pierre et Miquelon,NA,PM,NA,NA,without-year,PRESERVED_SPECIMEN,UdeM,MT,MT00223936,sn,"Le Gallo, Casimir-Julien-Marie, Pr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31882,Calopogon tuberosus,Calopogon,tuberosus,"(L.) Britton, Sterns & Poggenb.",Species,Accepted,NA,42783-2,31882,31,-1,"c(-56.3235, 46.9544)",TRUE
111696,GBIF_15719,Calopogon tuberosus,45.277777,-75.783849,473489310,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,VARIETY,NA,Ottawa (près de),NA,CA,NA,6,1960,PRESERVED_SPECIMEN,UdeM,MT,MT00040968,117,"Taché, Bernard, Pr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31882,Calopogon tuberosus,Calopogon,tuberosus,"(L.) Britton, Sterns & Poggenb.",Species,Accepted,NA,42783-2,31882,31,-1,"c(-75.783849, 45.277777)",TRUE
111789,GBIF_15813,Calopogon tuberosus,45.9956,-73.994,4986959748,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,VARIETY,NA,"Lac Geai; Station de Biologie des Laurentides, Université de Montréal",NA,CA,NA,7,1964,PRESERVED_SPECIMEN,UdeM,MT,NA,sn,"Venne, Louise; Gosselin, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31882,Calopogon tuberosus,Calopogon,tuberosus,"(L.) Britton, Sterns & Poggenb.",Species,Accepted,NA,42783-2,31882,31,-1,"c(-73.994, 45.9956)",TRUE
111813,GBIF_15838,Calopogon tuberosus,49.633333,-57.9,473580332,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,VARIETY,NA,Bakers Brook; station E32,NA,CA,53.34,7,1972,PRESERVED_SPECIMEN,UdeM,MT,MT00099018,72-364,"Bouchard, André; Hay, Stuart G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31882,Calopogon tuberosus,Calopogon,tuberosus,"(L.) Britton, Sterns & Poggenb.",Species,Accepted,NA,42783-2,31882,31,-1,"c(-57.9, 49.633333)",TRUE
112026,GBIF_16056,Calopogon tuberosus,20.616397,-74.96212,473281100,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,SPECIES,(Linnaeus) Ames,Moa,NA,CU,NA,7,1941,PRESERVED_SPECIMEN,UdeM,MT,MT00115804,5839,"Howard, Richard A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31882,Calopogon tuberosus,Calopogon,tuberosus,"(L.) Britton, Sterns & Poggenb.",Species,Accepted,NA,42783-2,31882,23,2,"c(-74.96212, 20.616397)",TRUE
112043,GBIF_16074,Calopogon tuberosus,47.6204,-61.4367,1024639713,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,VARIETY,NA,"Étangs près du Cap-de-L'Est, île de la Grande-Entrée, îles de la Madeleine",NA,CA,NA,7,1919,PRESERVED_SPECIMEN,UdeM,MT,MT00190694,9829,"Marie-Victorin, Fr.; Rolland-Germain, Fr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31882,Calopogon tuberosus,Calopogon,tuberosus,"(L.) Britton, Sterns & Poggenb.",Species,Accepted,NA,42783-2,31882,31,-1,"c(-61.4367, 47.6204)",TRUE
112047,GBIF_16079,Calopogon tuberosus,45.9956,-73.994,4986960119,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,VARIETY,NA,"Lac Geai; Station de Biologie des Laurentides, Université de Montréal",NA,CA,NA,7,1973,PRESERVED_SPECIMEN,UdeM,MT,NA,73604,"Gagnon, Réjean",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31882,Calopogon tuberosus,Calopogon,tuberosus,"(L.) Britton, Sterns & Poggenb.",Species,Accepted,NA,42783-2,31882,31,-1,"c(-73.994, 45.9956)",TRUE
