V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
127441,GBIF_51628,Caluera tavaresii,3.62348,-53.20925,4565160304,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caluera,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,456792,Caluera tavaresii,Caluera,tavaresii,Campacci & J.B.F.Silva,Species,Accepted,NA,77096154-1,456792,22,-1,"c(-53.20925, 3.62348)",TRUE
127465,GBIF_51652,Caluera tavaresii,3.62348,-53.20925,4565160329,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caluera,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,456792,Caluera tavaresii,Caluera,tavaresii,Campacci & J.B.F.Silva,Species,Accepted,NA,77096154-1,456792,22,-1,"c(-53.20925, 3.62348)",TRUE
127828,GBIF_52250,Caluera tavaresii,3.62348,-53.20925,4565160989,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caluera,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,456792,Caluera tavaresii,Caluera,tavaresii,Campacci & J.B.F.Silva,Species,Accepted,NA,77096154-1,456792,22,-1,"c(-53.20925, 3.62348)",TRUE
191663,GBIF_137565,Caluera vulpina,-1.066,-77.6,47739174,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caluera,SPECIES,NA,"Reserva biologica Jatun Sacha, south of Río Napo 8 km downriver from Misahuallí.",NA,EC,450,2,1990,PRESERVED_SPECIMEN,AU,AAU,D.E.Christensen88246,without-number,D.E. Christensen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,31979,Caluera vulpina,Caluera,vulpina,Dodson & Determann,Species,Accepted,NA,42891-2,31979,18,-1,"c(-77.6, -1.066)",TRUE
265216,GBIF_232991,Caluera vulpina,-1.06666,-77.6,1259963254,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caluera,SPECIES,Dodson & Determann,"Reserva biologica Jatun Sacha, south of Río Napo 8 km downriver from Misahuallí.",NA,EC,450,2,1990,PRESERVED_SPECIMEN,AAU,Tropicos,2629273,88246,D. E. Christensen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,31979,Caluera vulpina,Caluera,vulpina,Dodson & Determann,Species,Accepted,NA,42891-2,31979,0,18,"c(-77.6, -1.06666)",TRUE
266255,GBIF_234206,Caluera napoensis,-1.066667,-77.6,4061233471,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caluera,SPECIES,"Szlach., Kolan. & Mystkowska","8 Km río abajo de Puerto Misahualli, por el Río Napo y 1.5 Km al sur. BOSQUE MUY HÚMEDO TROPICAL. Suelo rojo arcilloso, laterítico, de baja fertilidad.",NA,EC,450,5,1985,PRESERVED_SPECIMEN,RPSC,Tropicos,101591648,6463,David A. Neill;Walter A. Palacios;Jorge Zaruma,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,533870,Caluera napoensis,Caluera,napoensis,"Szlach., Kolan. & Mystkowska",Species,Accepted,NA,77195700-1,533870,0,28,"c(-77.6, -1.066667)",TRUE
677560,SPECIESLINKS_59094,Caluera napoensis,-1.0666667,-77.6,101591648,Plantae,NA,NA,NA,Orchidaceae,Caluera,NA,"Szlach., Kolan. & Mystkowska","8 Km río abajo de Puerto Misahualli, por el Río Napo y 1.5 Km al sur. BOSQUE MUY HÚMEDO TROPICAL. Suelo rojo arcilloso, laterítico, de baja fertilidad.",Equador,Equador,NA,5,1985,PreservedSpecimen,RPSC,MO-DUPLICATES,101591648,6463,David A. Neill|Walter A. Palacios|Jorge Zaruma,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,533870,Caluera napoensis,Caluera,napoensis,"Szlach., Kolan. & Mystkowska",Species,Accepted,NA,77195700-1,533870,0,28,"c(-77.6, -1.0666667)",TRUE
693180,SPECIESLINKS_107446,Caluera tavaresii,-1.76556,-55.8661,83157,Plantae,NA,NA,NA,Orchidaceae,Caluera,NA,Campacci & J.B.F.Silva,"Rio Cuminá, Fazenda Terra Preta.",Brasil,Brasil,NA,6,2012,PreservedSpecimen,UFPR,UPCB,83157,3034,"Toscano de Brito, A.L.V.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,456792,Caluera tavaresii,Caluera,tavaresii,Campacci & J.B.F.Silva,Species,Accepted,NA,77096154-1,456792,0,22,"c(-55.8661, -1.76556)",TRUE
699126,SPECIESLINKS_118904,Caluera surinamensis,-1.96083,-48.196701,168914,Plantae,Monocotiledônea,NA,NA,Orchidaceae,Caluera,NA,Dodson & Determann,Ilha Combú.,Brasil,Brasil,NA,2,1993,PreservedSpecimen,EAO,IAN,168914,422,"Cardoso, ALR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,31978,Caluera surinamensis,Caluera,surinamensis,Dodson & Determann,Species,Accepted,NA,42890-2,31978,0,18,"c(-48.196701, -1.96083)",TRUE
704473,SPECIESLINKS_128627,Caluera surinamensis,-1.96083,-48.196701,168913,Plantae,Monocotiledônea,NA,NA,Orchidaceae,Caluera,NA,Dodson & Determann,Ilha Combú.,Brasil,Brasil,NA,2,1993,PreservedSpecimen,EAO,IAN,168913,421,"Cardoso, ALR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,31978,Caluera surinamensis,Caluera,surinamensis,Dodson & Determann,Species,Accepted,NA,42890-2,31978,0,18,"c(-48.196701, -1.96083)",TRUE
