V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106996,GBIF_10212,Calyptrochilum emarginatum,-1.1,10.63333,2515635556,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calyptrochilum,SPECIES,(Afzel. ex Sw.) Schltr.,"'Chute d'Imperatrice' in the Ngounie river, c. 10km, along the road Fouganou- Sindara.",NA,GA,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,WAG9102585,"Arends, JC 935",Arends JC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,32694,Calyptrochilum emarginatum,Calyptrochilum,emarginatum,(Afzel. ex Sw.) Schltr.,Species,Accepted,NA,621525-1,32694,0,23,"c(10.63333, -1.1)",TRUE
106997,GBIF_10213,Calyptrochilum christyanum,5.33333,-4.13333,2517355006,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calyptrochilum,SPECIES,(Rchb.f.) Summerh.,"Adiopodoumé, 17 km W of Abidjan. Garden of Centre Néerlandais.",NA,CI,NA,11,1978,PRESERVED_SPECIMEN,NA,Botany,WAG9102604,"Dekker, AJFM 329",Dekker AJFM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,32693,Calyptrochilum christyanum,Calyptrochilum,christyanum,(Rchb.f.) Summerh.,Species,Accepted,NA,621524-1,32693,0,18,"c(-4.13333, 5.33333)",TRUE
107033,GBIF_10252,Calyptrochilum christyanum,8.65,2.66944,2515806581,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calyptrochilum,SPECIES,(Rchb.f.) Summerh.,"forêt de Toui-Kilibo, open forest.",NA,BJ,NA,5,2000,PRESERVED_SPECIMEN,NA,Botany,WAG.1131494,"Maesen, LJG van der; Adomou, AC; Agbani, P 7273",Maesen LJG van der; Adomou AC; Agbani P,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,32693,Calyptrochilum christyanum,Calyptrochilum,christyanum,(Rchb.f.) Summerh.,Species,Accepted,NA,621524-1,32693,0,18,"c(2.66944, 8.65)",TRUE
107034,GBIF_10253,Calyptrochilum christyanum,-1.95,9.86667,2517708829,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calyptrochilum,SPECIES,(Rchb.f.) Summerh.,Rabi.,NA,GA,NA,NA,1992,PRESERVED_SPECIMEN,NA,Botany,WAG.1131515,"Arends, JC 945",Arends JC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,32693,Calyptrochilum christyanum,Calyptrochilum,christyanum,(Rchb.f.) Summerh.,Species,Accepted,NA,621524-1,32693,0,18,"c(9.86667, -1.95)",TRUE
107035,GBIF_10254,Calyptrochilum emarginatum,3.05,9.96667,2517720950,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calyptrochilum,SPECIES,(Afzel. ex Sw.) Schltr.,3 km S. of Longii.,NA,CM,NA,3,1969,PRESERVED_SPECIMEN,NA,Botany,WAG.1131555,"Bos, JJ 4109",Bos JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,32694,Calyptrochilum emarginatum,Calyptrochilum,emarginatum,(Afzel. ex Sw.) Schltr.,Species,Accepted,NA,621525-1,32694,0,23,"c(9.96667, 3.05)",TRUE
107036,GBIF_10255,Calyptrochilum emarginatum,5.33333,-4.13333,2517672861,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calyptrochilum,SPECIES,(Afzel. ex Sw.) Schltr.,Adiopodoumé.,NA,CI,NA,2,1958,PRESERVED_SPECIMEN,NA,Botany,WAG.1131597,"Farron, C s.n.",Farron C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,32694,Calyptrochilum emarginatum,Calyptrochilum,emarginatum,(Afzel. ex Sw.) Schltr.,Species,Accepted,NA,621525-1,32694,0,23,"c(-4.13333, 5.33333)",TRUE
107037,GBIF_10256,Calyptrochilum emarginatum,5.61667,-4.58333,2515806584,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calyptrochilum,SPECIES,(Afzel. ex Sw.) Schltr.,"near Brafovédi, 75 km NW of Abidjan.",NA,CI,NA,4,1959,PRESERVED_SPECIMEN,NA,Botany,WAG.1131616,"Leeuwenberg, AJM 3339",Leeuwenberg AJM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,32694,Calyptrochilum emarginatum,Calyptrochilum,emarginatum,(Afzel. ex Sw.) Schltr.,Species,Accepted,NA,621525-1,32694,0,23,"c(-4.58333, 5.61667)",TRUE
108090,GBIF_11344,Calyptrochilum christyanum,9.18333,2.21667,2517697833,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calyptrochilum,SPECIES,(Rchb.f.) Summerh.,Ouari-maro.,NA,BJ,NA,11,1998,PRESERVED_SPECIMEN,NA,Botany,WAG.1131482,"Adjakidjè, V; Agbani, P; Yédomonhan, H 2385",Adjakidjè V; Agbani P; Yédomonhan H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,32693,Calyptrochilum christyanum,Calyptrochilum,christyanum,(Rchb.f.) Summerh.,Species,Accepted,NA,621524-1,32693,0,18,"c(2.21667, 9.18333)",TRUE
108091,GBIF_11345,Calyptrochilum christyanum,2.91667,15,2517270241,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calyptrochilum,SPECIES,(Rchb.f.) Summerh.,"Near Elandjo, on km 63 of road Yokadouma-Moloundou.",NA,CM,NA,7,1965,PRESERVED_SPECIMEN,NA,Botany,WAG.1131501,"Leeuwenberg, AJM 6222",Leeuwenberg AJM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,32693,Calyptrochilum christyanum,Calyptrochilum,christyanum,(Rchb.f.) Summerh.,Species,Accepted,NA,621524-1,32693,0,18,"c(15, 2.91667)",TRUE
108092,GBIF_11346,Calyptrochilum christyanum,5.345,-8.80167,2517421853,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calyptrochilum,SPECIES,(Rchb.f.) Summerh.,near footpath from Jalay's Town to Sinoe River.,NA,LR,NA,3,2009,PRESERVED_SPECIMEN,NA,Botany,WAG.1131541,"Jongkind, CCH; Bilivogui, D; Dorbor, D 8760",Jongkind CCH; Bilivogui D; Dorbor D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,32693,Calyptrochilum christyanum,Calyptrochilum,christyanum,(Rchb.f.) Summerh.,Species,Accepted,NA,621524-1,32693,0,18,"c(-8.80167, 5.345)",TRUE
