V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
126246,GBIF_48192,Campanulorchis thao,18.252013,109.504134,1303969424,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Campanulorchis,SPECIES,NA,春白岭,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,01018ff4-b6c0-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462619,Campanulorchis thao,Campanulorchis,thao,(Gagnep.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104612-1,462619,29,-1,"c(109.504134, 18.252013)",TRUE
126486,GBIF_48698,Campanulorchis thao,18.745108,109.17663,1303969471,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Campanulorchis,SPECIES,NA,昌俄村，昌俄岭,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,IBSC,NA,010156ec-b6c0-11e1-8c2f-acd112e444a7,without-number,刘心祈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462619,Campanulorchis thao,Campanulorchis,thao,(Gagnep.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104612-1,462619,29,-1,"c(109.17663, 18.745108)",TRUE
126487,GBIF_48699,Campanulorchis thao,18.252625,109.511923,1303969499,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Campanulorchis,SPECIES,NA,南淋,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,010155fa-b6c0-11e1-8c2f-acd112e444a7,without-number,黄志,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462619,Campanulorchis thao,Campanulorchis,thao,(Gagnep.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104612-1,462619,29,-1,"c(109.511923, 18.252625)",TRUE
127349,GBIF_51190,Campanulorchis thao,18.626309,109.700342,1303969443,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Campanulorchis,SPECIES,NA,兴隆，双溪姆,NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,IBSC,NA,01018e2f-b6c0-11e1-8c2f-acd112e444a7,without-number,侯宽昭,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462619,Campanulorchis thao,Campanulorchis,thao,(Gagnep.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104612-1,462619,29,-1,"c(109.700342, 18.626309)",TRUE
130439,GBIF_55140,Campanulorchis thao,12.15,108.683333,1258633443,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Campanulorchis,SPECIES,Gagnep.,"Distr. Lac Duong, municipality Da Chay, 35 km to NE of Dalat City. Closed primary broad-leaved evergreen montane forest with Pinus krempfii on W macroslope of Gia Rinh mountain ridge.",NA,VN,1750,4,1997,PRESERVED_SPECIMEN,MO,Tropicos,1408550,VH4055,L. V. Averyanov,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462619,Campanulorchis thao,Campanulorchis,thao,(Gagnep.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104612-1,462619,22,6,"c(108.683333, 12.15)",TRUE
130570,GBIF_55278,Campanulorchis thao,12.5,108.5,1258828181,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Campanulorchis,SPECIES,Gagnep.,"Krong Bong Dist., Cu Pui Municipality, elevation from Dak Tour village to main peak of Chu Yang Sinh mountain system along Dak Tour river (N slope). Primary mossy cloud mixed forest (with Pinus, Fokienia, Dacrydium and Dacrycarpus) on very steep granite slopes.",NA,VN,2100,5,2000,PRESERVED_SPECIMEN,MO,Tropicos,1595120,VH6149,L. V. Averyanov,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462619,Campanulorchis thao,Campanulorchis,thao,(Gagnep.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104612-1,462619,22,6,"c(108.5, 12.5)",TRUE
130923,GBIF_55641,Campanulorchis thao,22.65805,105.32638,1260786455,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Campanulorchis,SPECIES,Gagnep.,"Bac Me Distr., Phieng Luong Municipality, about 1.5 km to SW of Phieng Luong Municipality headquarter. Heavily logged primary closed evergreen broad-leaved forest along rocky streamlet valley at the base of steep slopes of mountains composed with solid highly eroded crystalline and partially shale limestone.",NA,VN,900,3,2005,PRESERVED_SPECIMEN,MO,Tropicos,3375581,6509,L. V. Averyanov;P.K. Lôc;N.T. Vinh;A. Averyanova,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462619,Campanulorchis thao,Campanulorchis,thao,(Gagnep.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104612-1,462619,22,6,"c(105.32638, 22.65805)",TRUE
148783,GBIF_79756,Campanulorchis thao,18.63,109.7,4043746416,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Campanulorchis,SPECIES,NA,NA,NA,CN,NA,NA,1954,PRESERVED_SPECIMEN,IBSC,NA,0626948,without-number,吊罗山队,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462619,Campanulorchis thao,Campanulorchis,thao,(Gagnep.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104612-1,462619,29,-1,"c(109.7, 18.63)",TRUE
148784,GBIF_79758,Campanulorchis thao,18.63,109.7,4043746422,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Campanulorchis,SPECIES,NA,NA,NA,CN,NA,NA,1952,PRESERVED_SPECIMEN,IBSC,NA,0626956,without-number,陈少卿,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462619,Campanulorchis thao,Campanulorchis,thao,(Gagnep.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104612-1,462619,29,-1,"c(109.7, 18.63)",TRUE
149166,GBIF_80297,Campanulorchis thao,18.63,109.7,4045021065,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Campanulorchis,SPECIES,NA,NA,NA,CN,NA,NA,1954,PRESERVED_SPECIMEN,IBSC,NA,0626961,without-number,海南东队,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462619,Campanulorchis thao,Campanulorchis,thao,(Gagnep.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104612-1,462619,29,-1,"c(109.7, 18.63)",TRUE
