V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111219,GBIF_15225,Capanemia gehrtii,-22.515,-44.6925,4526416441,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Angiospermas,"BR-485, Km 7,5, no Tapera.",NA,BR,NA,7,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00792736,191,F.F.V.A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33939,Capanemia gehrtii,Capanemia,gehrtii,Hoehne,Species,Accepted,NA,44509-2,33939,10,1,"c(-44.6925, -22.515)",TRUE
111359,GBIF_15373,Capanemia adelaidae,-28.050833,-49.378333,4526427265,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Angiospermas,estrada Morro da Igreja,NA,BR,NA,10,2008,PRESERVED_SPECIMEN,NA,ICN,ICN00039357,420,"Buzatto, CR;",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33931,Capanemia adelaidae,Capanemia,adelaidae,Porto & Brade,Species,Accepted,NA,44501-2,33931,11,1,"c(-49.378333, -28.050833)",TRUE
115474,GBIF_19704,Capanemia micromera,-26.2421851,-51.0788277,1927777448,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Barb.Rodr.,NA,NA,BR,750,9,1962,PRESERVED_SPECIMEN,NY,NY,547401,3061,R. M. Klein,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,33942,Capanemia micromera,Capanemia,micromera,Barb.Rodr.,Species,Accepted,NA,621744-1,33942,0,10,"c(-51.0788277, -26.2421851)",TRUE
140715,GBIF_66453,Capanemia superflua,-24.26,-49.71,1096667788,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,(Rchb. f.) Garay,Plantae Brasilienses. Paraná: Jaguariahyva.,NA,BR,NA,10,1910,PRESERVED_SPECIMEN,S,VascularPlants,S08-2867,s.n.,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33948,Capanemia superflua,Capanemia,superflua,(Rchb.f.) Garay,Species,Accepted,NA,44518-2,33948,1,9,"c(-49.71, -24.26)",TRUE
141012,GBIF_66767,Capanemia superflua,-25.23,-50.06,1096667792,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,(Rchb. f.) Garay,Plantae Brasilienses. Paraná: 23. Turma.,NA,BR,NA,10,1909,PRESERVED_SPECIMEN,S,VascularPlants,S08-2863,8885,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33948,Capanemia superflua,Capanemia,superflua,(Rchb.f.) Garay,Species,Accepted,NA,44518-2,33948,1,9,"c(-50.06, -25.23)",TRUE
141013,GBIF_66768,Capanemia theresae,-25.53,-49.23,1096667833,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Barb. Rodr.,Plantae Brasilienses. Paraná: Curityba opp.,NA,BR,900,8,1914,PRESERVED_SPECIMEN,S,VascularPlants,S08-2881,15442,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33949,Capanemia theresae,Capanemia,theresae,Barb.Rodr.,Species,Accepted,NA,621751-1,33949,1,5,"c(-49.23, -25.53)",TRUE
152723,GBIF_84374,Capanemia theresae,-25.4319824,-49.2736973,1930283683,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Kraenzl.,NA,NA,BR,900,8,1914,PRESERVED_SPECIMEN,NY,NY,547313,15442,P. K. H. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33949,Capanemia theresae,Capanemia,theresae,Barb.Rodr.,Species,Accepted,NA,621751-1,33949,8,1,"c(-49.2736973, -25.4319824)",TRUE
166923,GBIF_107729,Capanemia micromera,-25.566667,-49.416667,1988211651,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,NA,Araucaria,NA,BR,NA,7,1951,PRESERVED_SPECIMEN,BBM,UBC,V106496,2317,G. Hatschbach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33942,Capanemia micromera,Capanemia,micromera,Barb.Rodr.,Species,Accepted,NA,621744-1,33942,10,-1,"c(-49.416667, -25.566667)",TRUE
167920,GBIF_108986,Capanemia micromera,-29.233056,-50.375278,2997653244,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Barb.Rodr.,Várzea do Cedro (Arroio Ribeirão),NA,BR,NA,5,2008,PRESERVED_SPECIMEN,ICN,ICN,ICN00039383,354,"Buzatto, CR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,33942,Capanemia micromera,Capanemia,micromera,Barb.Rodr.,Species,Accepted,NA,621744-1,33942,0,10,"c(-50.375278, -29.233056)",TRUE
167921,GBIF_108987,Capanemia micromera,-28.215833,-53.469444,2997653248,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Barb.Rodr.,BR 158 Km142 (Arroio Alegre),NA,BR,NA,5,2008,PRESERVED_SPECIMEN,ICN,ICN,ICN00039381,356,"Buzatto, CR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,33942,Capanemia micromera,Capanemia,micromera,Barb.Rodr.,Species,Accepted,NA,621744-1,33942,0,10,"c(-53.469444, -28.215833)",TRUE
167922,GBIF_108988,Capanemia micromera,-28.425278,-53.161667,2997653252,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Barb.Rodr.,BR 285 (Rio Jacuí divisa Saldanha Marinho),NA,BR,NA,5,2008,PRESERVED_SPECIMEN,ICN,ICN,ICN00039380,357,"Buzatto, CR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,33942,Capanemia micromera,Capanemia,micromera,Barb.Rodr.,Species,Accepted,NA,621744-1,33942,0,10,"c(-53.161667, -28.425278)",TRUE
167923,GBIF_108989,Capanemia micromera,-29.029444,-50.976667,2997653310,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Barb.Rodr.,Criúva,NA,BR,NA,11,2010,PRESERVED_SPECIMEN,ICN,ICN,ICN00039387,444,"Ferreira, PPA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,33942,Capanemia micromera,Capanemia,micromera,Barb.Rodr.,Species,Accepted,NA,621744-1,33942,0,10,"c(-50.976667, -29.029444)",TRUE
167928,GBIF_108995,Capanemia adelaidae,-28.050833,-49.378333,2997656197,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Brade,estrada Morro da Igreja,NA,BR,NA,10,2008,PRESERVED_SPECIMEN,ICN,ICN,ICN00039357,420,"Buzatto, CR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33931,Capanemia adelaidae,Capanemia,adelaidae,Porto & Brade,Species,Accepted,NA,44501-2,33931,8,5,"c(-49.378333, -28.050833)",TRUE
167935,GBIF_109002,Capanemia adelaidae,-28.938889,-50.055278,2997667517,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Brade,caminho São José dos Ausentes próximo Cambará S/A,NA,BR,NA,10,2008,PRESERVED_SPECIMEN,ICN,ICN,ICN00039152,397,"Buzatto, CR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33931,Capanemia adelaidae,Capanemia,adelaidae,Porto & Brade,Species,Accepted,NA,44501-2,33931,8,5,"c(-50.055278, -28.938889)",TRUE
175016,GBIF_118333,Capanemia superflua,-27.31666,-55.53333,1259772998,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,(Rchb. f.) Garay,en las espesas masas de briófitas que revisten las ruinas de Loreto,NA,AR,NA,NA,1907,PRESERVED_SPECIMEN,BA,Tropicos,2457274,s.n.59,C.L. Spegazzini,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33948,Capanemia superflua,Capanemia,superflua,(Rchb.f.) Garay,Species,Accepted,NA,44518-2,33948,1,9,"c(-55.53333, -27.31666)",TRUE
175018,GBIF_118335,Capanemia micromera,-25.095,-50.161944,1259798632,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Barb. Rodr.,Ponta Grossa,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,NY,Tropicos,2480403,8512,Per Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,33942,Capanemia micromera,Capanemia,micromera,Barb.Rodr.,Species,Accepted,NA,621744-1,33942,1,5,"c(-50.161944, -25.095)",TRUE
176380,GBIF_119771,Capanemia superflua,-27.05,-51.75,1928316675,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,(Rchb.f.) Garay,East of Catanduvas,NA,BR,NA,11,1964,PRESERVED_SPECIMEN,NY,NY,547408,12986,L. B. Smith,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,33948,Capanemia superflua,Capanemia,superflua,(Rchb.f.) Garay,Species,Accepted,NA,44518-2,33948,0,15,"c(-51.75, -27.05)",TRUE
177513,GBIF_121162,Capanemia micromera,-25.880556,-49.564722,3745741580,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Barb.Rodr.,Caximba,NA,BR,NA,8,2013,PRESERVED_SPECIMEN,UTFPR-CP,HCF,32385,4014,J.T. Motta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,33942,Capanemia micromera,Capanemia,micromera,Barb.Rodr.,Species,Accepted,NA,621744-1,33942,0,10,"c(-49.564722, -25.880556)",TRUE
177542,GBIF_121191,Capanemia superflua,-24.533472,-52.434528,1077478426,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,(Rchb.f.) Garay,Estação Ecológica Luiziana,NA,BR,640,11,2013,PRESERVED_SPECIMEN,UTFPR-CP,HCF,13158,4924,M.G. Caxambú,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,33948,Capanemia superflua,Capanemia,superflua,(Rchb.f.) Garay,Species,Accepted,NA,44518-2,33948,0,15,"c(-52.434528, -24.533472)",TRUE
177567,GBIF_121217,Capanemia superflua,-25.950417,-51.837194,2452758506,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,(Rchb.f.) Garay,Estação Ecológica Municipal Francisco,NA,BR,779,10,2019,PRESERVED_SPECIMEN,UTFPR-CP,HCF,29745,9087,M.G. Caxambú,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,33948,Capanemia superflua,Capanemia,superflua,(Rchb.f.) Garay,Species,Accepted,NA,44518-2,33948,0,15,"c(-51.837194, -25.950417)",TRUE
177598,GBIF_121251,Capanemia micromera,-25.155222,-53.795694,1570755821,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Capanemia,SPECIES,Barb.Rodr.,"Parque Nacional do Iguaçu, Trilha do Rio",NA,BR,502,5,2017,PRESERVED_SPECIMEN,UTFPR-CP,HCF,23021,7813,M.G. Caxambú,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,33942,Capanemia micromera,Capanemia,micromera,Barb.Rodr.,Species,Accepted,NA,621744-1,33942,0,10,"c(-53.795694, -25.155222)",TRUE
