V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104494,GBIF_722,Catasetum integerrimum,19.695333,-96.877444,1897490884,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,SPECIES,"Hook., 1840","Cerca de Chavarrillo, camino a Monte Oscuro",NA,MX,897,9,2010,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Manuel Adrián Cuellar Martínez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,35496,Catasetum integerrimum,Catasetum,integerrimum,Hook.,Species,Accepted,NA,323032-2,35496,6,5,"c(-96.877444, 19.695333)",TRUE
114080,GBIF_18276,Catasetum albovirens,-4.241667,-49.587778,4427185205,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,SPECIES,Barb.Rodr.,Lago do Tucuruí,NA,BR,36,7,2001,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026668,2077,"Salles, AEH;Jesus, FPR de,Batista-Silva, J",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,35392,Catasetum albovirens,Catasetum,albovirens,Barb.Rodr.,Species,Accepted,NA,302137-2,35392,0,10,"c(-49.587778, -4.241667)",TRUE
114082,GBIF_18278,Catasetum fimbriatum,-18.049167,-53.664722,4427185281,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,SPECIES,(C.Morren) Lindl.,"Margem esquerda do Rio São Marcos, fazenda do sr.",NA,BR,0,NA,without-year,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026657,"2640A,B","Salles, AEH;Jesus, FPR de,Nóbrega, MGG,Gonçalves, LR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,35464,Catasetum fimbriatum,Catasetum,fimbriatum,(C.Morren) Lindl.,Species,Accepted,NA,621816-1,35464,0,17,"c(-53.664722, -18.049167)",TRUE
114083,GBIF_18279,Catasetum fimbriatum,-18.049167,-53.664722,4427185294,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,SPECIES,(C.Morren) Lindl.,"Canteiro de obras Serra do Falcão, margem esquerda",NA,BR,0,NA,without-year,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026658,2602,"Salles, AEH;Jesus, FPR de,Nóbrega, MGG,Gonçalves, LR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,35464,Catasetum fimbriatum,Catasetum,fimbriatum,(C.Morren) Lindl.,Species,Accepted,NA,621816-1,35464,0,17,"c(-53.664722, -18.049167)",TRUE
114084,GBIF_18280,Catasetum fimbriatum,-18.049167,-53.664722,4427185288,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,SPECIES,(C.Morren) Lindl.,"Caminho Catalão-Davinopolis, margem esquerda do Ri",NA,BR,0,2,2003,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026659,"2595A,B,C","Salles, AEH;Jesus, FPR de,Nóbrega, MGG,Gonçalves, LR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,35464,Catasetum fimbriatum,Catasetum,fimbriatum,(C.Morren) Lindl.,Species,Accepted,NA,621816-1,35464,0,17,"c(-53.664722, -18.049167)",TRUE
114088,GBIF_18284,Catasetum fimbriatum,-18.049167,-53.664722,4427185308,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,SPECIES,(C.Morren) Lindl.,"Caminho Catalão-Davinopolis, margem esquerda do Ri",NA,BR,0,2,2003,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026661,"2596A,B","Salles, AEH;Jesus, FPR de,Nóbrega, MGG,Gonçalves, LR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,35464,Catasetum fimbriatum,Catasetum,fimbriatum,(C.Morren) Lindl.,Species,Accepted,NA,621816-1,35464,0,17,"c(-53.664722, -18.049167)",TRUE
114439,GBIF_18640,Catasetum discolor,4.5,-61.58,2239555252,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,SPECIES,(Lindl.) Lindl.,"3 km S of El Pauji. Nonforested S slope and summit of """"""""El Abismo""""""""",NA,VE,NA,11,1985,PRESERVED_SPECIMEN,NY,NY,4013762,19845,R. L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,35455,Catasetum discolor,Catasetum,discolor,(Lindl.) Lindl.,Species,Accepted,NA,621811-1,35455,0,15,"c(-61.58, 4.5)",TRUE
114494,GBIF_18695,Catasetum tenebrosum,-11.03272,-75.35644,2239559675,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,SPECIES,Kraenzl.,"Tarma. Chanchamayo Valley, above La Merced at Cumbre Yacunay near summit",NA,PE,NA,8,1957,PRESERVED_SPECIMEN,NY,NY,04013861,1883,P. C. Hutchison,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,35642,Catasetum tenebrosum,Catasetum,tenebrosum,Kraenzl.,Species,Accepted,NA,49995-2,35642,0,8,"c(-75.35644, -11.03272)",TRUE
114853,GBIF_19063,Catasetum discolor,-0.931415,-56.93635,1930143258,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,SPECIES,(Lindl.) Lindl.,"A 200 m da margem esquerda da cachoeira Porteira, paralela ao rio Trombetas km 23",NA,BR,NA,6,1980,PRESERVED_SPECIMEN,NY,NY,547418,1088,C. A. Cid Ferreira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,35455,Catasetum discolor,Catasetum,discolor,(Lindl.) Lindl.,Species,Accepted,NA,621811-1,35455,0,15,"c(-56.93635, -0.931415)",TRUE
115160,GBIF_19382,Catasetum roseoalbum,-14.17,-39,1929075268,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,SPECIES,(Hook.) Lindl.,Just South of Maraú,NA,BR,NA,5,1980,PRESERVED_SPECIMEN,NY,NY,418505,22102,R. M. Harley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,35603,Catasetum roseoalbum,Catasetum,roseoalbum,(Hook.) Lindl.,Species,Accepted,NA,621918-1,35603,0,14,"c(-39, -14.17)",TRUE
