V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
110622,GBIF_14538,Caularthron bicornutum,4.81556,-58.85,3110801301,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caularthron,SPECIES,(Hook.) Raf.,NA,NA,GY,64,11,2002,PRESERVED_SPECIMEN,MNHN,P,P01183970,without-number,"Redden, K.M.;Perry, C.& al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36219,Caularthron bicornutum,Caularthron,bicornutum,(Hook.) Raf.,Species,Accepted,NA,622297-1,36219,0,12,"c(-58.85, 4.81556)",TRUE
114452,GBIF_18653,Caularthron bicornutum,-2.306591,-58.726988,1928939519,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caularthron,SPECIES,(Hook.) Raf.,"Rio Uatuma, margem direita do rio acima da boca do rio",NA,BR,NA,8,1979,PRESERVED_SPECIMEN,NY,NY,547469,747,C. A. Cid Ferreira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36219,Caularthron bicornutum,Caularthron,bicornutum,(Hook.) Raf.,Species,Accepted,NA,622297-1,36219,0,12,"c(-58.726988, -2.306591)",TRUE
115321,GBIF_19547,Caularthron bicornutum,4.8156,-58.85,2239562186,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caularthron,SPECIES,(Hook.) Raf.,"Iwokrama Forest Reserve. Siparuni River, between Whitewater camp and Turtle Mountain.",NA,GY,NA,11,2002,PRESERVED_SPECIMEN,NY,NY,4038132,1168,K. M. Redden,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36219,Caularthron bicornutum,Caularthron,bicornutum,(Hook.) Raf.,Species,Accepted,NA,622297-1,36219,0,12,"c(-58.85, 4.8156)",TRUE
124260,GBIF_45674,Caularthron bicornutum,-0.966667,-57.58,1042517918,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caularthron,SPECIES,NA,"Margem direita do rio Mapuera, entre as Cachoeiras Paraíso Grande e Maracajá. Área do reservatório da segunda etapa",NA,BR,0,8,1986,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",143567,7705,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36219,Caularthron bicornutum,Caularthron,bicornutum,(Hook.) Raf.,Species,Accepted,NA,622297-1,36219,12,-1,"c(-57.58, -0.966667)",TRUE
124387,GBIF_45806,Caularthron bicornutum,2.416667,-60.18,1042600674,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caularthron,SPECIES,NA,"Serra da Lua, Dormida, foothills of Serra da Lua. Rocky wooded slope in savanna.",NA,BR,0,1,1969,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",26339,9204,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36219,Caularthron bicornutum,Caularthron,bicornutum,(Hook.) Raf.,Species,Accepted,NA,622297-1,36219,12,-1,"c(-60.18, 2.416667)",TRUE
124468,GBIF_45890,Caularthron bicornutum,3.116667,-62.43,1042568118,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caularthron,SPECIES,NA,"SEMA Ecological Reserve, Ilha de Maracá. Cachoeira Curecurema -small rocky island with scrub.",NA,BR,0,5,1987,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",167491,292,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36219,Caularthron bicornutum,Caularthron,bicornutum,(Hook.) Raf.,Species,Accepted,NA,622297-1,36219,12,-1,"c(-62.43, 3.116667)",TRUE
124742,GBIF_46178,Caularthron bicornutum,4.1701,-60.22,1042590491,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caularthron,SPECIES,NA,"Rio Uraricoera, Canal Maracá, Cachoeira Filhote.",NA,BR,0,2,1979,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",84885,16760,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36219,Caularthron bicornutum,Caularthron,bicornutum,(Hook.) Raf.,Species,Accepted,NA,622297-1,36219,12,-1,"c(-60.22, 4.1701)",TRUE
124931,GBIF_46374,Caularthron bicornutum,4.1701,-60.22,1042590613,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caularthron,SPECIES,NA,"Rio Uraricoera, Canal Maracá, Cachoeira Filhote.",NA,BR,0,2,1979,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",84891,16766,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36219,Caularthron bicornutum,Caularthron,bicornutum,(Hook.) Raf.,Species,Accepted,NA,622297-1,36219,12,-1,"c(-60.22, 4.1701)",TRUE
125053,GBIF_46503,Caularthron bicornutum,-4.366667,-57.62,1042665575,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caularthron,SPECIES,NA,Rio Parauari (tributary of Maués-Açu). 2-10 Km above confluence of Amaná.,NA,BR,0,7,1983,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",124612,2346,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36219,Caularthron bicornutum,Caularthron,bicornutum,(Hook.) Raf.,Species,Accepted,NA,622297-1,36219,12,-1,"c(-57.62, -4.366667)",TRUE
128828,GBIF_53490,Caularthron bilamellatum,12.066389,-84.980833,4032089752,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Caularthron,SPECIES,(Rchb. f.) R.E. Schult.,2 km from Villa Sandino along road to Bulun; heavily disturbed evergreen forest,NA,NI,310,1,2009,PRESERVED_SPECIMEN,MO,Tropicos,102487412,27830,W. D. Stevens;O. M. Montiel J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36220,Caularthron bilamellatum,Caularthron,bilamellatum,(Rchb.f.) R.E.Schult.,Species,Accepted,NA,50359-2,36220,2,8,"c(-84.980833, 12.066389)",TRUE
