V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
108098,GBIF_11352,Centrostigma occultans,-11.63333,33.8,2517735918,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,(Welw. ex Rchb.f.) Schltr.,"Vipya plateau, 37km SW of Mzuzu, Lwafwa drift.",NA,MW,NA,12,1975,PRESERVED_SPECIMEN,NA,Botany,WAG.1131644,"Pawek, J 10440",Pawek J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,0,26,"c(33.8, -11.63333)",TRUE
129355,GBIF_54028,Centrostigma occultans,-9.725278,30.732778,1261389606,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,(Welw. ex Rchb. f.) Schltr.,"Mporokoso District; along Mporokoso-Kasama Road, 95 km ESE of intersection of Mporokoso-Nsama-Kasama Roads N of Mporokoso. At bridge over Nchelenje River. Collections in dambo on E side of river.",NA,ZM,1410,12,1993,PRESERVED_SPECIMEN,MO,Tropicos,674501,2282,Daniel K. Harder;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,1,15,"c(30.732778, -9.725278)",TRUE
135624,GBIF_61025,Centrostigma clavatum,-11.71667,33.8,2515803132,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,Summerh.,"Vipya plateau, 40km SW of Mzuzu, Elephant rock.",NA,MW,NA,2,1974,PRESERVED_SPECIMEN,NA,Botany,WAG.1131638,"Pawek, J 8065",Pawek J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36320,Centrostigma clavatum,Centrostigma,clavatum,Summerh.,Species,Accepted,NA,622341-1,36320,0,8,"c(33.8, -11.71667)",TRUE
164474,GBIF_104976,Centrostigma occultans,-11.63333,33.8,2517713900,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,(Welw. ex Rchb.f.) Schltr.,"Vipya plateau, 37km SW of Mzuzu, Lwafwa drift.",NA,MW,NA,2,1976,PRESERVED_SPECIMEN,NA,Botany,WAG.1131645,"Pawek, J 10839",Pawek J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,0,26,"c(33.8, -11.63333)",TRUE
178149,GBIF_121863,Centrostigma occultans,-9.72528,30.73278,2517651815,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,(Welw. ex Rchb.f.) Schltr.,"Northern. Mporokoso District: along Mporokoso-Kasama Road, 95 km ESE of intersection of Mporokoso-Nsama-Kasama Roads N of Mporokoso. At Bridge over Nchelenje River. Collections in dambo on E side of river. 1410 m",NA,ZM,NA,12,1993,PRESERVED_SPECIMEN,NA,Botany,WAG.1131641,"Harder, DK; Merello, MC; Nkhoma, CN 2282",Harder DK; Merello MC; Nkhoma CN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,0,26,"c(30.73278, -9.72528)",TRUE
212537,GBIF_165669,Centrostigma clavatum,-10.808055,25.313333,1839569046,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,Kolwezi; région du Shaba; à l' ouest de Kolwezi,NA,CD,NA,12,1985,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000009896017,2732B,Schaijes M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36320,Centrostigma clavatum,Centrostigma,clavatum,Summerh.,Species,Accepted,NA,622341-1,36320,8,-1,"c(25.313333, -10.808055)",TRUE
213382,GBIF_166539,Centrostigma papillosum,-11.85,24.366667,2243158124,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,Mwinilunga,NA,ZM,NA,12,1958,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000014517365,0114,Holmes W.D.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36323,Centrostigma papillosum,Centrostigma,papillosum,Summerh.,Species,Accepted,NA,622344-1,36323,8,-1,"c(24.366667, -11.85)",TRUE
243456,GBIF_204878,Centrostigma occultans,-14.6725,17.560833,2598791160,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,(Welw. ex Rchb.f.) Schltr.,Serpa Pinto [Menongue],NA,AO,NA,11,1906,PRESERVED_SPECIMEN,COI,COI,http://coicatalogue.uc.pt/specimen/COI00069055,3501,"Gossweiler, John",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,0,26,"c(17.560833, -14.6725)",TRUE
269238,GBIF_237783,Centrostigma occultans,-23.875,29.875,3708199510,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,P.O. VEEKRAAL.,NA,ZA,NA,2,1926,PRESERVED_SPECIMEN,NA,NA,PRE0111927-0,PRE 39443,Thompson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,26,-1,"c(29.875, -23.875)",TRUE
289123,GBIF_286468,Centrostigma occultans,-15.216667,29.416667,4032016469,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,(Welw. ex Rchb. f.) Schltr.,"Lusaka, Great Fast Rd., between Undaunda and Rufunsa, 135 km E from Lusaka.",NA,ZM,1150,12,1972,PRESERVED_SPECIMEN,MO,Tropicos,103203278,2820,J. K. Kornaś;A. Medwecka-Kornaś,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,1,15,"c(29.416667, -15.216667)",TRUE
297930,GBIF_296476,Centrostigma occultans,-25.076824,30.650632,3708188501,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,Lydenburg Dist.; Mount Anderson.,NA,ZA,NA,1,1961,PRESERVED_SPECIMEN,NA,NA,PRE0038341-0,PRE 35083,"Harwood, G",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,26,-1,"c(30.650632, -25.076824)",TRUE
301479,GBIF_300134,Centrostigma occultans,-25.313171,30.106057,3708186524,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,Private farm next to old Wanhoop-De Berg road.Verloren Valley,NA,ZA,NA,2,2003,PRESERVED_SPECIMEN,NA,NA,NBG0200908-0,28,"van Ede, G",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,26,-1,"c(30.106057, -25.313171)",TRUE
353001,GBIF_375353,Centrostigma occultans,-8.45,35.033333,4061102487,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,(Welw. ex Rchb. f.) Schltr.,Iheme.,NA,TZ,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Tropicos,100923376,10,A. Ward,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,1,15,"c(35.033333, -8.45)",TRUE
359317,GBIF_384912,Centrostigma occultans,-11.444444,34.036111,4061360091,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,(Welw. ex Rchb. f.) Schltr.,"Nkhata Bay Dist., Vipya Plateau, 25 mi. SW of Mzuzu, Elephant rock.",NA,MW,1676.4,2,1974,PRESERVED_SPECIMEN,WAG,Tropicos,103203280,8065,Jean Pawek,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,1,15,"c(34.036111, -11.444444)",TRUE
376095,GBIF_412984,Centrostigma occultans,-10.733333,25.466667,1839569003,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,vallée de la Ziliwe; à 20 km au sud de Kolwezi,NA,CD,NA,11,1981,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000009896000,1115,Schaijes M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,26,-1,"c(25.466667, -10.733333)",TRUE
419662,GBIF_480892,Centrostigma occultans,-23.806757,30.006898,3708806470,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,Pietersburg Dist.; Near Woodbush.,NA,ZA,NA,12,1923,PRESERVED_SPECIMEN,NA,NA,PRE0038337-0,PRE 35077,"Hofmeyr, G",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,26,-1,"c(30.006898, -23.806757)",TRUE
421356,GBIF_482714,Centrostigma occultans,-25.902008,28.851451,3708839483,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,Wilge River.,NA,ZA,NA,1,1894,PRESERVED_SPECIMEN,NA,NA,PRE0038339-0,4121,"Schlechter, FRR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,26,-1,"c(28.851451, -25.902008)",TRUE
423014,GBIF_484560,Centrostigma occultans,-24.045597,28.418888,3708192501,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,Palala River; Klipheuvel Farm.,NA,ZA,NA,1,1918,PRESERVED_SPECIMEN,NA,NA,PRE0038342-0,TRV 17779,"Breijer, HG",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,26,-1,"c(28.418888, -24.045597)",TRUE
424631,GBIF_486384,Centrostigma occultans,-25.689432,30.034477,3708850481,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,Belfast Dist.; Near Belfast.,NA,ZA,NA,2,1929,PRESERVED_SPECIMEN,NA,NA,PRE0038340-0,2805,"Hutchinson, J",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,26,-1,"c(30.034477, -25.689432)",TRUE
426268,GBIF_488221,Centrostigma occultans,-25.461681,30.063993,3708827473,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Centrostigma,SPECIES,NA,Belfast Dist.; Dullstroom; Welgevonden Farm.,NA,ZA,NA,2,1933,PRESERVED_SPECIMEN,NA,NA,PRE0038338-0,12467,"Galpin, EE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36322,Centrostigma occultans,Centrostigma,occultans,(Welw. ex Rchb.f.) Schltr.,Species,Accepted,NA,622343-1,36322,26,-1,"c(30.063993, -25.461681)",TRUE
