V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
103935,GBIF_122,Cephalanthera longibracteata,37.1069,127.997,2595809350,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,NA,산척면 송강리,NA,KR,NA,6,2019,PRESERVED_SPECIMEN,NSMK,PL,NSMK-OB-PL-190500359,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36657,Cephalanthera longibracteata,Cephalanthera,longibracteata,Blume,Species,Accepted,NA,622388-1,36657,5,-1,"c(127.997, 37.1069)",TRUE
103937,GBIF_125,Cephalanthera falcata,36.4486,126.937,2595809223,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,NA,정산면 대박리,NA,KR,NA,5,2019,PRESERVED_SPECIMEN,NSMK,PL,NSMK-OB-PL-190500206,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36647,Cephalanthera falcata,Cephalanthera,falcata,(Thunb.) Blume,Species,Accepted,NA,622376-1,36647,14,-1,"c(126.937, 36.4486)",TRUE
103958,GBIF_150,Cephalanthera longifolia,51.059799,-1.3101,4413198808,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Fritsch,Township: Winchester,NA,GB,NA,9,1925,PRESERVED_SPECIMEN,NHMUK,BOT,BM013774410,s.n.,Anthony William Trethewy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36658,Cephalanthera longifolia,Cephalanthera,longifolia,(L.) Fritsch,Species,Accepted,NA,622389-1,36658,0,12,"c(-1.3101, 51.059799)",TRUE
104155,GBIF_372,Cephalanthera rubra,51.745701,-2.2178,1135475442,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Rich.,Township: Stroud,NA,GB,NA,7,1885,PRESERVED_SPECIMEN,NHMUK,BOT,BM000625287,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36673,Cephalanthera rubra,Cephalanthera,rubra,(L.) Rich.,Species,Accepted,NA,622405-1,36673,0,10,"c(-2.2178, 51.745701)",TRUE
104156,GBIF_373,Cephalanthera rubra,51.704399,-2.1871,1135475455,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Rich.,Township: Minchinhampton,NA,GB,NA,7,1909,PRESERVED_SPECIMEN,NHMUK,BOT,BM000625298,2312,Edward Metcalfe Day,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36673,Cephalanthera rubra,Cephalanthera,rubra,(L.) Rich.,Species,Accepted,NA,622405-1,36673,0,10,"c(-2.1871, 51.704399)",TRUE
104157,GBIF_374,Cephalanthera rubra,51.745701,-2.2178,1135475473,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Rich.,Nearest Named Place: Stroud (Nr),NA,GB,NA,7,1885,PRESERVED_SPECIMEN,NHMUK,BOT,BM000625308,1438,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36673,Cephalanthera rubra,Cephalanthera,rubra,(L.) Rich.,Species,Accepted,NA,622405-1,36673,0,10,"c(-2.2178, 51.745701)",TRUE
104158,GBIF_375,Cephalanthera rubra,51.7346,-2.2159,1135475483,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Rich.,Nearest Named Place: Rodborough Common,NA,GB,NA,7,1920,PRESERVED_SPECIMEN,NHMUK,BOT,BM000625327,s.n.,"E.M. Day, C.E. Salmon",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36673,Cephalanthera rubra,Cephalanthera,rubra,(L.) Rich.,Species,Accepted,NA,622405-1,36673,0,10,"c(-2.2159, 51.7346)",TRUE
104170,GBIF_388,Cephalanthera longifolia,58.168291,-5.301636,1056537508,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Fritsch,Township: Achmelvich,NA,GB,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM-BSBI 1697,1956,"R.M.D. Harley, R.A.H. Graham",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36658,Cephalanthera longifolia,Cephalanthera,longifolia,(L.) Fritsch,Species,Accepted,NA,622389-1,36658,0,12,"c(-5.301636, 58.168291)",TRUE
104171,GBIF_389,Cephalanthera longifolia,51.831699,-2.6515,1055399395,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Fritsch,Nearest Named Place: Lord's Wood,NA,GB,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM-BSBI 1638,1888,Harold Warren Monington,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36658,Cephalanthera longifolia,Cephalanthera,longifolia,(L.) Fritsch,Species,Accepted,NA,622389-1,36658,0,12,"c(-2.6515, 51.831699)",TRUE
104175,GBIF_393,Cephalanthera rubra,51.745701,-2.2178,1135475913,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Rich.,Nearest Named Place: Stroud (Nr),NA,GB,NA,7,1882,PRESERVED_SPECIMEN,NHMUK,BOT,BM000908646,s.n.,Richard Paget Murray,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36673,Cephalanthera rubra,Cephalanthera,rubra,(L.) Rich.,Species,Accepted,NA,622405-1,36673,0,10,"c(-2.2178, 51.745701)",TRUE
104188,GBIF_406,Cephalanthera longifolia,50.8687,-0.7351,1135468650,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Fritsch,Township: Goodwood,NA,GB,NA,6,1875,PRESERVED_SPECIMEN,NHMUK,BOT,BM000954809,s.n.,Frederick Henry Arnold,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36658,Cephalanthera longifolia,Cephalanthera,longifolia,(L.) Fritsch,Species,Accepted,NA,622389-1,36658,0,12,"c(-0.7351, 50.8687)",TRUE
104194,GBIF_412,Cephalanthera longifolia,51.641691,-2.674263,1135469037,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Fritsch,Township: Chepstow / Cas-gwent,NA,GB,NA,5,1898,PRESERVED_SPECIMEN,NHMUK,BOT,BM000955029,s.n.,William Andrew Shoolbred,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36658,Cephalanthera longifolia,Cephalanthera,longifolia,(L.) Fritsch,Species,Accepted,NA,622389-1,36658,0,12,"c(-2.674263, 51.641691)",TRUE
104197,GBIF_415,Cephalanthera longifolia,51.006001,-1.0664,1135469256,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Fritsch,Nearest Named Place: Westbury Park,NA,GB,NA,5,1842,PRESERVED_SPECIMEN,NHMUK,BOT,BM000954647,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36658,Cephalanthera longifolia,Cephalanthera,longifolia,(L.) Fritsch,Species,Accepted,NA,622389-1,36658,0,12,"c(-1.0664, 51.006001)",TRUE
104198,GBIF_416,Cephalanthera longifolia,56.503601,-6.154481,1135469309,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(L.) Fritsch,NM444423,NA,GB,NA,5,1971,PRESERVED_SPECIMEN,NHMUK,BOT,BM000955072,s.n.,"A.G. Kenneth, A.G. Stirling",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36658,Cephalanthera longifolia,Cephalanthera,longifolia,(L.) Fritsch,Species,Accepted,NA,622389-1,36658,0,12,"c(-6.154481, 56.503601)",TRUE
104218,GBIF_436,Cephalanthera damasonium,51.898102,-1.5622,1135470376,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(Mill.) Druce,Between Chipping Norton - Shipton-under-Wychwood,NA,GB,NA,7,1875,PRESERVED_SPECIMEN,NHMUK,BOT,BM001075213,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36635,Cephalanthera damasonium,Cephalanthera,damasonium,(Mill.) Druce,Species,Accepted,NA,622369-1,36635,0,13,"c(-1.5622, 51.898102)",TRUE
104219,GBIF_437,Cephalanthera damasonium,51.182499,-2.1047,1135470465,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,SPECIES,(Mill.) Druce,Nearest Named Place: Heytesbury (Nr),NA,GB,NA,5,1883,PRESERVED_SPECIMEN,NHMUK,BOT,BM001075249,s.n.,S F. Gray,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,36635,Cephalanthera damasonium,Cephalanthera,damasonium,(Mill.) Druce,Species,Accepted,NA,622369-1,36635,0,13,"c(-2.1047, 51.182499)",TRUE
