V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
134652,GBIF_59942,Ceratandra bicolor,-33.91667,19.11667,2517421856,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ceratandra,SPECIES,Sond. ex Drège,Franschhoek.,NA,ZA,NA,11,1896,PRESERVED_SPECIMEN,NA,Botany,WAG.1131677,"Schlechter, FRR 9296",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36820,Ceratandra bicolor,Ceratandra,bicolor,Sond. ex Bolus,Species,Accepted,NA,622426-1,36820,5,9,"c(19.11667, -33.91667)",TRUE
140572,GBIF_66308,Ceratandra harveyana,-34.375,19.375,2469054592,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ceratandra,SPECIES,NA,NA,NA,ZA,300,11,1996,PRESERVED_SPECIMEN,HER,NA,HER0001134,1077,"Drewe, P.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,36824,Ceratandra harveyana,Ceratandra,harveyana,Lindl.,Species,Accepted,NA,622431-1,36824,6,-1,"c(19.375, -34.375)",TRUE
140575,GBIF_66311,Ceratandra atrata,-34.375,19.375,2469058647,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ceratandra,SPECIES,NA,NA,NA,ZA,370,11,1979,PRESERVED_SPECIMEN,VOG,NA,VOG0001401,2928,"Williams, I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36818,Ceratandra atrata,Ceratandra,atrata,(L.) T.Durand & Schinz,Species,Accepted,NA,622424-1,36818,22,-1,"c(19.375, -34.375)",TRUE
140577,GBIF_66313,Ceratandra harveyana,-34.375,19.375,2469054845,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ceratandra,SPECIES,NA,NA,NA,ZA,350,11,1986,PRESERVED_SPECIMEN,HER,NA,HER0001133,475,"Drewe, P.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,36824,Ceratandra harveyana,Ceratandra,harveyana,Lindl.,Species,Accepted,NA,622431-1,36824,6,-1,"c(19.375, -34.375)",TRUE
140581,GBIF_66317,Ceratandra globosa,-34.375,19.375,2469058774,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ceratandra,SPECIES,NA,NA,NA,ZA,380,11,1980,PRESERVED_SPECIMEN,VOG,NA,VOG0001399,3103,"Williams, I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36822,Ceratandra globosa,Ceratandra,globosa,Lindl.,Species,Accepted,NA,622428-1,36822,6,-1,"c(19.375, -34.375)",TRUE
140625,GBIF_66362,Ceratandra atrata,-34.375,19.375,2469056117,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ceratandra,SPECIES,NA,NA,NA,ZA,450,11,1986,PRESERVED_SPECIMEN,HER,NA,HER0002921,463,"Drewe, P.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36818,Ceratandra atrata,Ceratandra,atrata,(L.) T.Durand & Schinz,Species,Accepted,NA,622424-1,36818,22,-1,"c(19.375, -34.375)",TRUE
140674,GBIF_66412,Ceratandra atrata,-34.375,19.375,2469055243,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ceratandra,SPECIES,NA,NA,NA,ZA,600,11,1980,PRESERVED_SPECIMEN,HER,NA,HER0001132,577,"Orchard, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36818,Ceratandra atrata,Ceratandra,atrata,(L.) T.Durand & Schinz,Species,Accepted,NA,622424-1,36818,22,-1,"c(19.375, -34.375)",TRUE
140679,GBIF_66417,Ceratandra atrata,-34.375,19.375,2469055026,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ceratandra,SPECIES,NA,NA,NA,ZA,550,11,1976,PRESERVED_SPECIMEN,HER,NA,HER0001131,381,"Orchard, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36818,Ceratandra atrata,Ceratandra,atrata,(L.) T.Durand & Schinz,Species,Accepted,NA,622424-1,36818,22,-1,"c(19.375, -34.375)",TRUE
140696,GBIF_66434,Ceratandra atrata,-34.375,19.375,2469058115,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ceratandra,SPECIES,NA,NA,NA,ZA,526,10,1986,PRESERVED_SPECIMEN,VOG,NA,VOG0001400,3707,"Williams, I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36818,Ceratandra atrata,Ceratandra,atrata,(L.) T.Durand & Schinz,Species,Accepted,NA,622424-1,36818,22,-1,"c(19.375, -34.375)",TRUE
154097,GBIF_85858,Ceratandra bicolor,-33.910752,19.119799,3865141357,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ceratandra,SPECIES,Sond. ex Drège,French Hoek [Franschhoek],NA,ZA,853,11,1896,PRESERVED_SPECIMEN,PH,NA,PH00590298,9296,Friedrich R. R. Schlechter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,36820,Ceratandra bicolor,Ceratandra,bicolor,Sond. ex Bolus,Species,Accepted,NA,622426-1,36820,5,9,"c(19.119799, -33.910752)",TRUE
