V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
129364,GBIF_54037,Chaubardia klugii,-12.81666,-69.28333,1261391749,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardia,SPECIES,(C. Schweinf.) Garay,"Tambopata Nature Reserve, ca. 30 air km. or 85 river kms south-soutwest Puerto Maldonado.",NA,PE,260,5,1980,PRESERVED_SPECIMEN,MO,Tropicos,676310,5409,Philip J. Barbour,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38600,Chaubardia klugii,Chaubardia,klugii,(C.Schweinf.) Garay,Species,Accepted,NA,55661-2,38600,1,16,"c(-69.28333, -12.81666)",TRUE
172847,GBIF_116046,Chaubardia klugii,-14.4275,-67.915833,1257672250,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardia,SPECIES,(C. Schweinf.) Garay,"Parque Nacional Madidi, Laguna Chalalan, Sendero Penena.",NA,BO,350,5,2010,PRESERVED_SPECIMEN,LPB,Tropicos,100322774,1052,S. E. Hoyos-Gómez;M. Villalobos;S. Navi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38600,Chaubardia klugii,Chaubardia,klugii,(C.Schweinf.) Garay,Species,Accepted,NA,55661-2,38600,1,16,"c(-67.915833, -14.4275)",TRUE
184538,GBIF_129986,Chaubardia klugii,-14.4275,-67.915833,4032152593,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardia,SPECIES,(C. Schweinf.) Garay,"Parque Nacional Madidi, Laguna Chalalan; Sendero Eslabón.",NA,BO,350,6,2010,PRESERVED_SPECIMEN,MO,Tropicos,102653894,1073,S. E. Hoyos-Gómez;M. Villalobos;S. Navi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38600,Chaubardia klugii,Chaubardia,klugii,(C.Schweinf.) Garay,Species,Accepted,NA,55661-2,38600,1,16,"c(-67.915833, -14.4275)",TRUE
187852,GBIF_133528,Chaubardia surinamensis,-9.617222,-74.929722,1258128539,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardia,SPECIES,Rchb. f.,Distrito Yuyapichis. Área de Conservación Privada Panguana.,NA,PE,252,5,2014,PRESERVED_SPECIMEN,MO,Tropicos,100799036,28083,Luis Valenzuela G.;Jaime Flores,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38601,Chaubardia surinamensis,Chaubardia,surinamensis,Rchb.f.,Species,Accepted,NA,622697-1,38601,1,5,"c(-74.929722, -9.617222)",TRUE
198890,GBIF_146791,Chaubardia klugii,-9.353611,-69.934167,2575941264,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardia,SPECIES,(C.Schweinf.) Garay,"Bacia do Rio Purus. Rio Chandless. Colocação do Sr. Moisés, ca. de 1 km da Sede do Parque descendo o rio. Trilha atrás da casa. Parque Estadual Chandless",NA,BR,NA,4,2019,PRESERVED_SPECIMEN,JBRJ,RB,RB01429732,3941,"H. Medeiros; E.C. Consuelo, A.S. Lima, A. Contijo & F.A. Obermuller.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38600,Chaubardia klugii,Chaubardia,klugii,(C.Schweinf.) Garay,Species,Accepted,NA,55661-2,38600,0,19,"c(-69.934167, -9.353611)",TRUE
233347,GBIF_192840,Chaubardia heteroclita,-6.4,-76.58333,1261362057,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardia,SPECIES,(Poepp. & Endl.) Dodson & D.E. Benn.,"Distrito: Alonso de Alvarado. San Juán de Pacaizapa, km. 72 carretera Tarapoto–Moyobamba.",NA,PE,1025,6,1977,PRESERVED_SPECIMEN,MO,Tropicos,646292,9621,José Schunke V.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38599,Chaubardia heteroclita,Chaubardia,heteroclita,(Poepp. & Endl.) Dodson & D.E.Benn.,Species,Accepted,NA,947492-1,38599,1,30,"c(-76.58333, -6.4)",TRUE
247779,GBIF_212103,Chaubardia klugii,-3.7,-70.316667,2013820713,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardia,SPECIES,NA,Sin Datos.,NA,CO,95,5,1997,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,461222,682,N. Pinilla-Moreno,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38600,Chaubardia klugii,Chaubardia,klugii,(C.Schweinf.) Garay,Species,Accepted,NA,55661-2,38600,19,-1,"c(-70.316667, -3.7)",TRUE
257830,GBIF_223828,Chaubardia heteroclita,-16.55888,-66.14138,1259005796,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardia,SPECIES,(Poepp. & Endl.) Dodson & D.E. Benn.,"Ríos Altamachi y Malpaso, colindancia de límites dentro las prov. Ayopaya y Chapare. Bosque alto húmedo.",NA,BO,1050,8,2001,PRESERVED_SPECIMEN,USZ,Tropicos,1759384,6516,Israel G. Vargas C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38599,Chaubardia heteroclita,Chaubardia,heteroclita,(Poepp. & Endl.) Dodson & D.E.Benn.,Species,Accepted,NA,947492-1,38599,1,30,"c(-66.14138, -16.55888)",TRUE
263481,GBIF_230689,Chaubardia klugii,-14.4275,-67.915833,1257672582,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardia,SPECIES,(C. Schweinf.) Garay,"Parque Nacional Madidi, Laguna Chalalan, Sendero Wuichi.",NA,BO,350,5,2010,PRESERVED_SPECIMEN,LPB,Tropicos,100322832,1083,S. E. Hoyos-Gómez;M. Villalobos;S. Navi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38600,Chaubardia klugii,Chaubardia,klugii,(C.Schweinf.) Garay,Species,Accepted,NA,55661-2,38600,1,16,"c(-67.915833, -14.4275)",TRUE
264581,GBIF_232248,Chaubardia klugii,-0.916667,-76.183333,1261353629,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardia,SPECIES,(C. Schweinf.) Garay,Parque Nacional Yasuní. Pozo petrolero Daimi 2.,NA,EC,200,5,1988,PRESERVED_SPECIMEN,QCNE,Tropicos,637176,4213,Carlos E. Cerón;Fernando Hurtado,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38600,Chaubardia klugii,Chaubardia,klugii,(C.Schweinf.) Garay,Species,Accepted,NA,55661-2,38600,1,16,"c(-76.183333, -0.916667)",TRUE
