V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
127600,GBIF_51828,Chaubardiella tigrina,3.62348,-53.20925,4565160523,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardiella,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,5,2018,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38615,Chaubardiella tigrina,Chaubardiella,tigrina,(Garay & Dunst.) Garay,Species,Accepted,NA,55668-2,38615,22,-1,"c(-53.20925, 3.62348)",TRUE
127657,GBIF_51914,Chaubardiella tigrina,3.62348,-53.20925,4565160618,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardiella,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38615,Chaubardiella tigrina,Chaubardiella,tigrina,(Garay & Dunst.) Garay,Species,Accepted,NA,55668-2,38615,22,-1,"c(-53.20925, 3.62348)",TRUE
127713,GBIF_52011,Chaubardiella tigrina,3.62348,-53.20925,4565160726,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardiella,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2015,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38615,Chaubardiella tigrina,Chaubardiella,tigrina,(Garay & Dunst.) Garay,Species,Accepted,NA,55668-2,38615,22,-1,"c(-53.20925, 3.62348)",TRUE
127865,GBIF_52359,Chaubardiella tigrina,3.62348,-53.20925,4565161111,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardiella,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38615,Chaubardiella tigrina,Chaubardiella,tigrina,(Garay & Dunst.) Garay,Species,Accepted,NA,55668-2,38615,22,-1,"c(-53.20925, 3.62348)",TRUE
127880,GBIF_52386,Chaubardiella tigrina,3.62348,-53.20925,4565161143,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardiella,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,10,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38615,Chaubardiella tigrina,Chaubardiella,tigrina,(Garay & Dunst.) Garay,Species,Accepted,NA,55668-2,38615,22,-1,"c(-53.20925, 3.62348)",TRUE
161483,GBIF_101646,Chaubardiella pacuarensis,9.670833,-83.855556000000007,1253617224,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardiella,SPECIES,Jenny,"Rio Palomo, near Turrialba.",NA,CR,1500,8,1993,PRESERVED_SPECIMEN,INBio,Plantae,1577588,without-number,Robert Louis Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38610,Chaubardiella pacuarensis,Chaubardiella,pacuarensis,Jenny,Species,Accepted,NA,937111-1,38610,0,5,"c(-83.855556, 9.670833)",TRUE
258452,GBIF_224648,Chaubardiella dalessandroi,-3.81,-78.61,1261352617,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardiella,SPECIES,Dodson & Dalström,Protected due to name conservation status,NA,EC,900,2,1985,PRESERVED_SPECIMEN,RPSC,Tropicos,636077,2213,Alexander Hirtz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38607,Chaubardiella dalessandroi,Chaubardiella,dalessandroi,Dodson & Dalström,Species,Accepted,NA,303546-2,38607,0,17,"c(-78.61, -3.81)",TRUE
354010,GBIF_377197,Chaubardiella dalessandroi,-3.18,-78.53,1261370497,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardiella,SPECIES,Dodson & Dalström,Protected due to name conservation status,NA,EC,1500,12,1982,PRESERVED_SPECIMEN,SEL,Tropicos,655232,429,Stig Dalström,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38607,Chaubardiella dalessandroi,Chaubardiella,dalessandroi,Dodson & Dalström,Species,Accepted,NA,303546-2,38607,0,17,"c(-78.53, -3.18)",TRUE
359759,GBIF_385525,Chaubardiella dalessandroi,-3.97,-79.03,1261374540,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardiella,SPECIES,Dodson & Dalström,Protected due to name conservation status,NA,EC,1800,NA,without-year,PRESERVED_SPECIMEN,SEL,Tropicos,659382,104,D. D'Alessandro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38607,Chaubardiella dalessandroi,Chaubardiella,dalessandroi,Dodson & Dalström,Species,Accepted,NA,303546-2,38607,0,17,"c(-79.03, -3.97)",TRUE
396375,GBIF_439733,Chaubardiella pacuarensis,9.789167,-83.708056,1253902043,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chaubardiella,SPECIES,Jenny,"Cartago, Río Pejibaye, fila que sube por el andarivel del ICE.",NA,CR,1000,10,2008,PRESERVED_SPECIMEN,INBio,Plantae,4263784,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38610,Chaubardiella pacuarensis,Chaubardiella,pacuarensis,Jenny,Species,Accepted,NA,937111-1,38610,0,5,"c(-83.708056, 9.789167)",TRUE
