V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
123798,GBIF_45184,Cheiradenia cuspidata,5.33333,-58.16667,2517516078,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Lindl.,Ekuk compartment.,NA,GY,NA,10,1993,PRESERVED_SPECIMEN,NA,Botany,U.1456951,"Ek, RC; Maas, PJM; Maas-van de Kamer, H 968",Ek RC; Maas PJM; Maas-van de Kamer H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,0,6,"c(-58.16667, 5.33333)",TRUE
130996,GBIF_55715,Cheiradenia cuspidata,5.41666,-60,1260166459,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Lindl.,"Region: Cuyuni-Mazaruni. Headwaters of kangu River, west branch; 4 km northwest of east peak of Mount Ayanganna. First talus slope of plateau. Upper montane forest on sandstone.",NA,GY,700,3,1987,PRESERVED_SPECIMEN,MO,Tropicos,2814143,11004,"John James Pipoly, III;Ganeshwar Gharbarran;Gary Samuels",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,0,6,"c(-60, 5.41666)",TRUE
135400,GBIF_60762,Cheiradenia cuspidata,4.81667,-54.6,2517477974,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Lindl.,"Suriname, Marowijne Distr., Nassau Mts., Plateau C.",NA,SR,NA,1,2003,PRESERVED_SPECIMEN,NA,Botany,U.1456962,"Jansen-Jacobs, MJ; Behari-Ramdas, J; Grant, A; Ramharakh, G; Steege, H ter; Bánki, OS; et al. 6420",Jansen-Jacobs MJ; Behari-Ramdas J; Grant A; Ramharakh G; Steege H ter; Bánki OS; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,0,6,"c(-54.6, 4.81667)",TRUE
151788,GBIF_83405,Cheiradenia cuspidata,5.82,-61.13,1928713363,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Lindl.,"Paruima, 9 km W; 0.5-1.0 km E of Ararata scrub area",NA,GY,NA,7,1997,PRESERVED_SPECIMEN,NY,NY,1477436,5427,H. D. Clarke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,0,6,"c(-61.13, 5.82)",TRUE
152064,GBIF_83692,Cheiradenia cuspidata,4.3,-52.37,1930951387,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Lindl.,"Regina Region: Eastern plateau of Monatgne Tortue, 11 km WNW of Aparrouague River",NA,GF,NA,6,1988,PRESERVED_SPECIMEN,NY,NY,1477450,10001,C. P. G. Feuillet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,0,6,"c(-52.37, 4.3)",TRUE
176338,GBIF_119726,Cheiradenia cuspidata,5.42,-60,1931204445,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Lindl.,"Headwaters of Kangu R., W branch; ca. 4 k NW of E peak of Mt. Ayanganna",NA,GY,NA,3,1987,PRESERVED_SPECIMEN,NY,NY,1477440,11004,J. J. Pipoly,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,0,6,"c(-60, 5.42)",TRUE
178864,GBIF_122691,Cheiradenia cuspidata,4.46667,-58.78333,2515582172,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Lindl.,"Guyana. Region: Potaro-Siparuni. Iwokrama Rainforest Reserve. Karupukari-Annai Road, below summit of unnamed peak.",NA,GY,NA,3,1997,PRESERVED_SPECIMEN,NA,Botany,U.1456960,"Clarke, HD; Mori, SA; Heald, S 4155",Clarke HD; Mori SA; Heald S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,0,6,"c(-58.78333, 4.46667)",TRUE
179752,GBIF_123822,Cheiradenia cuspidata,4.81667,-54.6,2517496032,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Lindl.,"Suriname, Marowijne Distr., Nassau Mts., Plateau C.",NA,SR,NA,1,2003,PRESERVED_SPECIMEN,NA,Botany,U.1456961,"Jansen-Jacobs, MJ; Behari-Ramdas, J; Grant, A; Ramharakh, G; Steege, H ter; Bánki, OS; et al. 6283",Jansen-Jacobs MJ; Behari-Ramdas J; Grant A; Ramharakh G; Steege H ter; Bánki OS; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,0,6,"c(-54.6, 4.81667)",TRUE
182949,GBIF_128319,Cheiradenia cuspidata,4.3,-52.366667,1260166304,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Cogn.,"Régina. Eastern plateau of Montagne Torte, 11 km west/northwest of Approuague River. Lateritic soil.",NA,GF,400,6,1988,PRESERVED_SPECIMEN,MO,Tropicos,2814005,10001,Christian P. G.-A. Feuillet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,5,1,"c(-52.366667, 4.3)",TRUE
186764,GBIF_132390,Cheiradenia cuspidata,3.616667,-53.2,1261379835,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Lindl.,"Vicinity of Saül, along south entier Botanique departing from Eaux Claires, along headwaters of St. Eloi River, at this point a black water stream.",NA,GF,350,2,1993,PRESERVED_SPECIMEN,MO,Tropicos,664696,74229,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,0,6,"c(-53.2, 3.616667)",TRUE
211275,GBIF_164333,Cheiradenia cuspidata,3.3,-52.95,2997108037,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Cogn.,Guyane Française : Mont Bakra - Région des Emerillons,NA,GF,550,4,1993,PRESERVED_SPECIMEN,MNHN,P,P00447816,13110,Cremers,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,5,1,"c(-52.95, 3.3)",TRUE
211303,GBIF_164361,Cheiradenia cuspidata,4.05,-52.7,2997107020,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Cogn.,Guyane Française : Station des Nouragues - Bassin de l'Approuague - Arataye,NA,GF,NA,12,1989,PRESERVED_SPECIMEN,MNHN,P,P00447817,818,Larpin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,5,1,"c(-52.7, 4.05)",TRUE
211431,GBIF_164490,Cheiradenia cuspidata,4.05,-52.7,2997104076,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cheiradenia,SPECIES,Cogn.,Guyane Française : Station des Nouragues - Bassin de l'Approuague - Arataye,NA,GF,360,3,1992,PRESERVED_SPECIMEN,MNHN,P,P00447818,1019,Larpin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,38679,Cheiradenia cuspidata,Cheiradenia,cuspidata,Lindl.,Species,Accepted,NA,325525-2,38679,5,1,"c(-52.7, 4.05)",TRUE
