V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
9918,ALA_12358,Chiloschista phyllorhiza,-11.6,142.8,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Chiloschista,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,1,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9220067.1,8781,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39015,Chiloschista phyllorhiza,Chiloschista,phyllorhiza,(F.Muell.) Schltr.,Species,Accepted,NA,622823-1,39015,0,18,"c(142.8, -11.6)",TRUE
11429,ALA_14495,Chiloschista phyllorhiza,-12.7,130.983333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Chiloschista,species,(F.Muell.) Schltr.,Berry Springs; c. 60km S of Darwin.,Australia,AU,NA,1,1978,PRESERVED_SPECIMEN,CANB,CANB,CBG 7800598.1,1043,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39015,Chiloschista phyllorhiza,Chiloschista,phyllorhiza,(F.Muell.) Schltr.,Species,Accepted,NA,622823-1,39015,0,18,"c(130.983333, -12.7)",TRUE
23071,ALA_32680,Chiloschista phyllorhiza,-10.2,142.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Chiloschista,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,2,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8901424.1,3568,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39015,Chiloschista phyllorhiza,Chiloschista,phyllorhiza,(F.Muell.) Schltr.,Species,Accepted,NA,622823-1,39015,0,18,"c(142.3, -10.2)",TRUE
27844,ALA_41700,Chiloschista phyllorhiza,-12.5,143.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Chiloschista,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,CANB,CANB,CBG 761160.1,s.n.,leg. ign.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39015,Chiloschista phyllorhiza,Chiloschista,phyllorhiza,(F.Muell.) Schltr.,Species,Accepted,NA,622823-1,39015,0,18,"c(143.2, -12.5)",TRUE
30629,ALA_47328,Chiloschista phyllorhiza,-13.6,141.7,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Chiloschista,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,4,1982,PRESERVED_SPECIMEN,CANB,CANB,CBG 8201004.1,Nursery1365,"Robinson, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39015,Chiloschista phyllorhiza,Chiloschista,phyllorhiza,(F.Muell.) Schltr.,Species,Accepted,NA,622823-1,39015,0,18,"c(141.7, -13.6)",TRUE
38226,ALA_59381,Chiloschista phyllorhiza,-17,145.7,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Chiloschista,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,6,1943,PRESERVED_SPECIMEN,NSW,NSW,NSW808271,s.n.,"Johnson, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39015,Chiloschista phyllorhiza,Chiloschista,phyllorhiza,(F.Muell.) Schltr.,Species,Accepted,NA,622823-1,39015,0,18,"c(145.7, -17)",TRUE
39310,ALA_60836,Chiloschista phyllorhiza,-17,145.7,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Chiloschista,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,9,1949,PRESERVED_SPECIMEN,NSW,NSW,NSW10267,s.n.,"Johnson, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39015,Chiloschista phyllorhiza,Chiloschista,phyllorhiza,(F.Muell.) Schltr.,Species,Accepted,NA,622823-1,39015,0,18,"c(145.7, -17)",TRUE
70321,ALA_97745,Chiloschista phyllorhiza,-12.55829,131.31631,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Chiloschista,species,(F.Muell.) Schltr.,"Fogg Dam Conservation Reserve, monsoon forest walk, second boardwalk.",Australia,AU,NA,11,2023,PRESERVED_SPECIMEN,DNA,DNA,DNA D0290760,98,"Richard L. Boyne | Aiden, T. Webb",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39015,Chiloschista phyllorhiza,Chiloschista,phyllorhiza,(F.Muell.) Schltr.,Species,Accepted,NA,622823-1,39015,0,18,"c(131.31631, -12.55829)",TRUE
70408,ALA_97891,Chiloschista phyllorhiza,-12.6972448,130.9688498,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Chiloschista,species,(F.Muell.) Schltr.,Berry Springs Wildlife Park.,Australia,AU,NA,10,1990,PRESERVED_SPECIMEN,DNA,DNA,DNA D0053262,737,John Brock,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39015,Chiloschista phyllorhiza,Chiloschista,phyllorhiza,(F.Muell.) Schltr.,Species,Accepted,NA,622823-1,39015,0,18,"c(130.9688498, -12.6972448)",TRUE
70449,ALA_97964,Chiloschista phyllorhiza,-13.480571,130.8021906,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Chiloschista,species,(F.Muell.) Schltr.,"Reynolds River, 6km N of Daly River Road on Wangi track.",Australia,AU,NA,8,1989,PRESERVED_SPECIMEN,DNA,DNA,DNA D0051341,1,Steve Taylor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39015,Chiloschista phyllorhiza,Chiloschista,phyllorhiza,(F.Muell.) Schltr.,Species,Accepted,NA,622823-1,39015,0,18,"c(130.8021906, -13.480571)",TRUE
