V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104090,GBIF_307,Chloraea fonkii,-51.519,-59.462,1055687434,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chloraea,SPECIES,Brongn.,Falkland islands (malvinas),NA,FK,NA,12,1949,PRESERVED_SPECIMEN,NHMUK,BOT,BM000095681,Fa79/49,William Joseph Lambert Sladen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39335,Chloraea fonkii,Chloraea,fonkii,Phil.,Species,Accepted,NA,622914-1,39335,6,1,"c(-59.462, -51.519)",TRUE
116643,GBIF_23859,Chloraea magellanica,-50.967778,-72.916111,575083901,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chloraea,SPECIES,NA,Chile:Región XII [Magallanes y de la Antártica Chilena]:Prov. Ultima Esperanza:Torres del Paine:Adjacent to Refugio Chileno,NA,CL,250,12,1999,PRESERVED_SPECIMEN,RBGE,E,E00096289,6191,"Gardner, Martin Fraser & Knees, Sabina Georgina",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39371,Chloraea magellanica,Chloraea,magellanica,Hook.f.,Species,Accepted,NA,274527-2,39371,7,-1,"c(-72.916111, -50.967778)",TRUE
130235,GBIF_54930,Chloraea boliviana,-26.85,-65.566667,1259742619,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chloraea,SPECIES,(Rchb. f.) Kraenzl.,"Camino desde Tafí del Valle hacia Las Carreras, a 2 km de Tafí del Valle, Cerro El Pelado.",NA,AR,2130,2,2002,PRESERVED_SPECIMEN,MO,Tropicos,2429609,70,Ana M. Cialdella;Norma B. Deginani;Liliana M. Giussani,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39297,Chloraea boliviana,Chloraea,boliviana,(Rchb.f.) Kraenzl.,Species,Accepted,NA,56725-2,39297,1,12,"c(-65.566667, -26.85)",TRUE
138874,GBIF_64437,Chloraea cuneata,-40.231,-72.3311,1576151205,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chloraea,SPECIES,(Lindl.) Kuntze,NA,NA,CL,200,12,1924,PRESERVED_SPECIMEN,USF,Herb,28489,702,A. Hollermayer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39315,Chloraea cuneata,Chloraea,cuneata,Lindl.,Species,Accepted,NA,622897-1,39315,9,6,"c(-72.3311, -40.231)",TRUE
140841,GBIF_66581,Chloraea membranacea,-31.85,-52.82,2618413747,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chloraea,SPECIES,Lindl.,Plantae Itineris Regnelliani IIdi [secundi]. Brasiliae civit. Rio Grande do Sul: Piratiny.,NA,BR,NA,11,1901,PRESERVED_SPECIMEN,S,VascularPlants,S17-11680,179,Gust. O. A:n Malme,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39373,Chloraea membranacea,Chloraea,membranacea,Lindl.,Species,Accepted,NA,622951-1,39373,0,6,"c(-52.82, -31.85)",TRUE
145249,GBIF_73039,Chloraea magellanica,-54.26806,-66.80988,4920949157,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chloraea,SPECIES,NA,NA,NA,AR,NA,1,1973,PRESERVED_SPECIMEN,CHR,CHR,CHR 271698,without-number,Rae Natalie;P Goodall,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39371,Chloraea magellanica,Chloraea,magellanica,Hook.f.,Species,Accepted,NA,274527-2,39371,7,-1,"c(-66.80988, -54.26806)",TRUE
146172,GBIF_76420,Chloraea fonkii,-51.519,-59.462,1057116943,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chloraea,SPECIES,Brongn.,Falkland islands (malvinas),NA,FK,NA,12,1949,PRESERVED_SPECIMEN,NHMUK,BOT,BM000095683,Fa126/49,William Joseph Lambert Sladen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39335,Chloraea fonkii,Chloraea,fonkii,Phil.,Species,Accepted,NA,622914-1,39335,6,1,"c(-59.462, -51.519)",TRUE
162032,GBIF_102264,Chloraea bletioides,-33.083333,-71.55,4072697501,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chloraea,SPECIES,NA,"Nord du Chili; Région, Province: Valparaiso; 10 km au SE de Vina del mar, quebrada Placeres",NA,CL,NA,11,1991,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000023112087,5627,Billiet F. & Jadin B.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39296,Chloraea bletioides,Chloraea,bletioides,Lindl.,Species,Accepted,NA,622878-1,39296,6,-1,"c(-71.55, -33.083333)",TRUE
167936,GBIF_109003,Chloraea membranacea,-29.128056,-51.074444,2997678534,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chloraea,SPECIES,Lindl.,RS 453 após saída de Caxias do Sul atrás do restaurante Caminho do Sol,NA,BR,380.5,11,2009,PRESERVED_SPECIMEN,ICN,ICN,ICN00039493,308,"Eggers, L",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39373,Chloraea membranacea,Chloraea,membranacea,Lindl.,Species,Accepted,NA,622951-1,39373,0,6,"c(-51.074444, -29.128056)",TRUE
168493,GBIF_109616,Chloraea magellanica,-43,-71,2513799631,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chloraea,SPECIES,Hook.f.,Territorio del Chubut. Región del Rio Corcovado.,NA,AR,NA,11,1900,PRESERVED_SPECIMEN,NA,Botany,L.1500098,"Illin, N 175",Illin N,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39371,Chloraea magellanica,Chloraea,magellanica,Hook.f.,Species,Accepted,NA,274527-2,39371,0,7,"c(-71, -43)",TRUE
