V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114274,GBIF_18471,Chondroscaphe bicolor,10.221494,-84.605322,2239579314,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chondroscaphe,SPECIES,Schltr.,Near San Ramon,NA,CR,NA,NA,without-year,PRESERVED_SPECIMEN,NY,NY,04027072,3453,A. M. Brenes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39708,Chondroscaphe bicolor,Chondroscaphe,bicolor,(Rolfe) Dressler,Species,Accepted,NA,20001547-1,39708,14,1,"c(-84.605322, 10.221494)",TRUE
128990,GBIF_53653,Chondroscaphe bicolor,8.55,-81.8,1261356385,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chondroscaphe,SPECIES,Schltr.,"Vicinity of Cerro Colorado mine above San Félix. Along trails north of road along continental divide. [Coordinates on original label: 8º35'N, 81º50'W]",NA,PA,1500,1,1988,PRESERVED_SPECIMEN,MO,Tropicos,640094,12023,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39708,Chondroscaphe bicolor,Chondroscaphe,bicolor,(Rolfe) Dressler,Species,Accepted,NA,20001547-1,39708,14,1,"c(-81.8, 8.55)",TRUE
130399,GBIF_55100,Chondroscaphe eburnea,8.62166,-80.115,1258584149,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chondroscaphe,SPECIES,(Dressler) Dressler,"Cerro Caracoral, NE of El Valle de Antón",NA,PA,850,7,1982,PRESERVED_SPECIMEN,MO,Tropicos,1363712,6070,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,39710,Chondroscaphe eburnea,Chondroscaphe,eburnea,(Dressler) Dressler,Species,Accepted,NA,20001548-1,39710,0,19,"c(-80.115, 8.62166)",TRUE
138606,GBIF_64158,Chondroscaphe chestertonii,-2.85656,-78.7201,1576158611,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chondroscaphe,SPECIES,Rchb. f.,Cordillera Occidental; Above Garcia Moreno.,NA,EC,NA,8,1944,PRESERVED_SPECIMEN,USF,Herb,28838,E-534,W. B. Drew,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39709,Chondroscaphe chestertonii,Chondroscaphe,chestertonii,(Rchb.f.) Senghas & G.Gerlach,Species,Accepted,NA,972293-1,39709,22,4,"c(-78.7201, -2.85656)",TRUE
173768,GBIF_116997,Chondroscaphe chestertonii,0.8333,-78.333,4061791032,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chondroscaphe,SPECIES,Rchb. f.,km 78,NA,EC,1450,12,1961,PRESERVED_SPECIMEN,SEL,Tropicos,101597591,1595,Calaway H. Dodson;L. B. Thien,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39709,Chondroscaphe chestertonii,Chondroscaphe,chestertonii,(Rchb.f.) Senghas & G.Gerlach,Species,Accepted,NA,972293-1,39709,22,4,"c(-78.333, 0.8333)",TRUE
176201,GBIF_119568,Chondroscaphe bicolor,9.82,-83.8,4061198164,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chondroscaphe,SPECIES,Rolfe,"Atlantic rainforest, Cachi in the Rio Reventazon Valley.",NA,CR,1000,NA,without-year,PRESERVED_SPECIMEN,UC,Tropicos,101595701,58.1154-1,C. K. Horich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39708,Chondroscaphe bicolor,Chondroscaphe,bicolor,(Rolfe) Dressler,Species,Accepted,NA,20001547-1,39708,11,4,"c(-83.8, 9.82)",TRUE
185491,GBIF_131014,Chondroscaphe bicolor,10.229445,-84.6475,4032096257,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chondroscaphe,SPECIES,Dressler,"Reserva Biológica Alberto Manuel Brenes, flowered in cultivation at Jardín Botánico Lankester in Paraíso de Cartago",NA,CR,NA,5,1998,PRESERVED_SPECIMEN,MO,Tropicos,102167933,s.n.,G. Hoffmann,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39708,Chondroscaphe bicolor,Chondroscaphe,bicolor,(Rolfe) Dressler,Species,Accepted,NA,20001547-1,39708,8,8,"c(-84.6475, 10.229445)",TRUE
186813,GBIF_132439,Chondroscaphe gentryi,0.966667,-78.583333,1261383881,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chondroscaphe,SPECIES,Dodson & Neudecker,New road under construction from Lita to San Lorenzo.,NA,EC,700,5,1990,PRESERVED_SPECIMEN,MO,Tropicos,668719,69970,Alwyn H. Gentry;Calaway H. Dodson;Brad Boyle;Daniel Rubio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39715,Chondroscaphe gentryi,Chondroscaphe,gentryi,(Dodson & Neudecker) Rungius,Species,Accepted,NA,992299-1,39715,10,18,"c(-78.583333, 0.966667)",TRUE
246659,GBIF_210938,Chondroscaphe flaveola,11.330095,-74.08699,2013821067,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chondroscaphe,SPECIES,(Linden & Rchb. f.) Rchb. f.,Sin Datos.,NA,CO,1820,3,1996,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,436904,13601,José Luis Fernández-Alonso,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39714,Chondroscaphe flaveola,Chondroscaphe,flaveola,(Linden & Rchb.f.) Senghas & G.Gerlach,Species,Accepted,NA,972292-1,39714,17,15,"c(-74.08699, 11.330095)",TRUE
318396,GBIF_323797,Chondroscaphe embreei,0.125,-78.633333,4061930465,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chondroscaphe,SPECIES,Dodson & Neudecker,Parroquia Nanegal: Reserva Maquipucuna. Sendero Colibrí; secondary forest. Ridge above Río Tulambi.,NA,EC,1320,1,1995,PRESERVED_SPECIMEN,ECUAMZ,Tropicos,103100171,31173,Grady L. Webster,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,39711,Chondroscaphe embreei,Chondroscaphe,embreei,(Dodson & Neudecker) Rungius,Species,Accepted,NA,992297-1,39711,10,18,"c(-78.633333, 0.125)",TRUE
