V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
139604,GBIF_65211,Chysis bractescens,16.4524,-91.0741,4399480268,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chysis,SPECIES,"Lindl., 1840",ococingo,NA,MX,0,4,2003,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"Álvarez, D.; Chambor, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,40375,Chysis bractescens,Chysis,bractescens,Lindl.,Species,Accepted,NA,623112-1,40375,6,6,"c(-91.0741, 16.4524)",TRUE
174694,GBIF_118002,Chysis laevis,14.751944,-87.477778,1258417108,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chysis,SPECIES,Lindl.,El Tablon,NA,HN,762,5,1933,PRESERVED_SPECIMEN,AMES,Tropicos,1209519,423,James B. Edwards,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,40379,Chysis laevis,Chysis,laevis,Lindl.,Species,Accepted,NA,623116-1,40379,0,6,"c(-87.477778, 14.751944)",TRUE
188592,GBIF_134318,Chysis bractescens,16.981389,-91.249722,4032113583,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chysis,SPECIES,Lindl.,3.8 km al SE de Nuevo Guerrero.,NA,MX,290,5,2002,PRESERVED_SPECIMEN,MO,Tropicos,102650588,23257,J. Calónico Soto;Esteban M. Martínez S.;Gabriel Aguilar Méndez;Demetrio Álvarez Montejo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,40375,Chysis bractescens,Chysis,bractescens,Lindl.,Species,Accepted,NA,623112-1,40375,0,6,"c(-91.249722, 16.981389)",TRUE
188737,GBIF_134490,Chysis limminghei,17.969167,-92.263611,4031461050,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chysis,SPECIES,Linden & Rchb. f.,4 km al N de Monte Grande.,NA,MX,7,3,1983,PRESERVED_SPECIMEN,MO,Tropicos,101766001,1475,Rafael Fernández Nava;María de los Angeles Guadarrama Olivera;Sergio Zamudio R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,40380,Chysis limminghei,Chysis,limminghei,Linden & Rchb.f.,Species,Accepted,NA,623117-1,40380,1,14,"c(-92.263611, 17.969167)",TRUE
190112,GBIF_135957,Chysis tricostata,9.87,-83.78,1259334161,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chysis,SPECIES,Schltr.,Atlantic rainforest of Río Birris canyon interior,NA,CR,1150,3,1961,PRESERVED_SPECIMEN,MO,Tropicos,2058894,60-7-43,C. K. Horich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,40387,Chysis tricostata,Chysis,tricostata,Schltr.,Species,Accepted,NA,58440-2,40387,0,7,"c(-83.78, 9.87)",TRUE
238503,GBIF_198731,Chysis bractescens,18.9,-96.9,3865638581,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chysis,SPECIES,Lindley,Region of Córdoba,NA,MX,820,3,1932,PRESERVED_SPECIMEN,AMES,AMES,barcode-02387965,2686,O. Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,40375,Chysis bractescens,Chysis,bractescens,Lindl.,Species,Accepted,NA,623112-1,40375,2,5,"c(-96.9, 18.9)",TRUE
239186,GBIF_199468,Chysis laevis,16.110278,-91.618333,3308412891,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chysis,SPECIES,"Lindl., 1840",Colonia Cuauhtemoc,NA,MX,NA,6,1984,PRESERVED_SPECIMEN,IBUNAM,MEXU,641732,without-number,Alush Méndez Ton Alush Shilom Ton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,40379,Chysis laevis,Chysis,laevis,Lindl.,Species,Accepted,NA,623116-1,40379,6,6,"c(-91.618333, 16.110278)",TRUE
239425,GBIF_199722,Chysis bractescens,18.02736,-96.5966,3308045783,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chysis,SPECIES,"Lindl., 1840",San Isidro Piedra Ancha. Paraje Torre 113 de la línea eléctrica Temascal II-Oaxaca Potencia. Región Cañada,NA,MX,139,4,2005,PRESERVED_SPECIMEN,IBUNAM,MEXU,1192472,without-number,Cutberto Ángel Cruz Espinosa; Gonzalo Juárez García,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,40375,Chysis bractescens,Chysis,bractescens,Lindl.,Species,Accepted,NA,623112-1,40375,6,6,"c(-96.5966, 18.02736)",TRUE
239765,GBIF_200104,Chysis bractescens,16.083611,-90.733611,3308391685,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chysis,SPECIES,"Lindl., 1840","En Vértice del río Chixoy, camino a Boca Lacantún-Chajul",NA,MX,120,4,1985,PRESERVED_SPECIMEN,IBUNAM,MEXU,476310,without-number,E. Martínez S.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,40375,Chysis bractescens,Chysis,bractescens,Lindl.,Species,Accepted,NA,623112-1,40375,6,6,"c(-90.733611, 16.083611)",TRUE
240007,GBIF_200360,Chysis bractescens,18.517,-95.15,3308189273,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Chysis,SPECIES,"Lindl., 1840","Ejido Ruiz Cortinez, falda del Volcán San Martín Tuxtla",NA,MX,1090,7,2005,PRESERVED_SPECIMEN,IBUNAM,MEXU,25374,without-number,Thorsten Krömer; Amparo Acebey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,40375,Chysis bractescens,Chysis,bractescens,Lindl.,Species,Accepted,NA,623112-1,40375,6,6,"c(-95.15, 18.517)",TRUE
