V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104398,GBIF_623,Claderia viridiflora,1.389351,103.731408,1057471345,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Claderia,SPECIES,Hook.f.,Sungei Tengah,NA,SG,NA,NA,1891,PRESERVED_SPECIMEN,NHMUK,BOT,BM000091344,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41364,Claderia viridiflora,Claderia,viridiflora,Hook.f.,Species,Accepted,NA,623370-1,41364,0,7,"c(103.731408, 1.389351)",TRUE
106520,GBIF_9717,Claderia viridiflora,-2.90831,138.4413,2513796882,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Claderia,SPECIES,Schltr.,"Archip. Ind. N.Guinea, Rouffaer Rivier.",NA,ID,NA,9,1926,PRESERVED_SPECIMEN,NA,Botany,L.1500029,"Docters van Leeuwen, WM 10267",Docters van Leeuwen WM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41364,Claderia viridiflora,Claderia,viridiflora,Hook.f.,Species,Accepted,NA,623370-1,41364,6,1,"c(138.4413, -2.90831)",TRUE
107499,GBIF_10728,Claderia viridiflora,5.83333,117.93333,2513795795,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Claderia,SPECIES,Hook.f.,"Sepilok F. Res., Sandakan.",NA,MY,NA,8,1978,PRESERVED_SPECIMEN,NA,Botany,L.1500045,Patrick Lassan SAN 88735,Patrick Lassan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41364,Claderia viridiflora,Claderia,viridiflora,Hook.f.,Species,Accepted,NA,623370-1,41364,0,7,"c(117.93333, 5.83333)",TRUE
110945,GBIF_14912,Claderia viridiflora,2.71667,97.9,437649411,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Claderia,SPECIES,Hook.f.,NA,NA,ID,16,8,1985,PRESERVED_SPECIMEN,MNHN,P,P00432969,without-number,"Wilde, W.J.J.O.;de Wilde-Duyfjes, B.E.E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41364,Claderia viridiflora,Claderia,viridiflora,Hook.f.,Species,Accepted,NA,623370-1,41364,0,7,"c(97.9, 2.71667)",TRUE
122640,GBIF_43933,Claderia viridiflora,1.55,103.58333,2513796910,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Claderia,SPECIES,Hook.f.,N. flankupstream of holiday resort,NA,MY,NA,10,2001,PRESERVED_SPECIMEN,NA,Botany,L.1500031,"Vermeulen, JJ; O'Byrne, P 2198",Vermeulen JJ; O'Byrne P,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41364,Claderia viridiflora,Claderia,viridiflora,Hook.f.,Species,Accepted,NA,623370-1,41364,0,7,"c(103.58333, 1.55)",TRUE
123264,GBIF_44598,Claderia viridiflora,-5.63333,141,2513798823,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Claderia,SPECIES,Hook.f.,"S.E., West Irian, Ingembit to Opka.",NA,PG,NA,6,1967,PRESERVED_SPECIMEN,NA,Botany,L.1500026,"Reksodihardjo, S 383",Reksodihardjo S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41364,Claderia viridiflora,Claderia,viridiflora,Hook.f.,Species,Accepted,NA,623370-1,41364,0,7,"c(141, -5.63333)",TRUE
133561,GBIF_58707,Claderia viridiflora,4.1,114.76667,2513796308,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Claderia,SPECIES,Hook.f.,"Brunei, Batu Melintang to Batu Patam near Sarawak border.",NA,BN,NA,1,1989,PRESERVED_SPECIMEN,NA,Botany,L.1500023,"Vogel, EF de; Wong, KM 8875",Vogel EF de; Wong KM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41364,Claderia viridiflora,Claderia,viridiflora,Hook.f.,Species,Accepted,NA,623370-1,41364,0,7,"c(114.76667, 4.1)",TRUE
135095,GBIF_60426,Claderia viridiflora,-0.46667,113.73333,2513799854,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Claderia,SPECIES,Hook.f.,Headwaters of S. Kahayan; 5km NE of Haruwu Village.,NA,ID,NA,3,1988,PRESERVED_SPECIMEN,NA,Botany,L.1500020,"Burley, JS; et al. NGS 447",Burley JS; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41364,Claderia viridiflora,Claderia,viridiflora,Hook.f.,Species,Accepted,NA,623370-1,41364,0,7,"c(113.73333, -0.46667)",TRUE
155643,GBIF_87461,Claderia viridiflora,3.3,101.783333,3865149509,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Claderia,SPECIES,Hook. f.,Ulu Gombak,NA,MY,NA,12,1966,PRESERVED_SPECIMEN,PH,NA,PH00590327,6604,Benjamin C. Stone,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41364,Claderia viridiflora,Claderia,viridiflora,Hook.f.,Species,Accepted,NA,623370-1,41364,1,5,"c(101.783333, 3.3)",TRUE
158053,GBIF_97577,Claderia viridiflora,0.98333,113.25,2513798008,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Claderia,SPECIES,Hook.f.,"West Kalimantan, Betung Kerihun National Park, Putussibau, Nanga Pari, upper of Mendalam river.",NA,ID,NA,3,2000,PRESERVED_SPECIMEN,NA,Botany,L.1500016,"Sidiyasa, K; et al. 1947",Sidiyasa K; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41364,Claderia viridiflora,Claderia,viridiflora,Hook.f.,Species,Accepted,NA,623370-1,41364,0,7,"c(113.25, 0.98333)",TRUE
