V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
107498,GBIF_10727,Cleisocentron merrillianum,1.75,117.5,2513797949,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisocentron,SPECIES,(Ames) Christenson,"East Borneo, Berouw, Mt. Ilas Bungaan",NA,ID,NA,9,1957,PRESERVED_SPECIMEN,NA,Botany,L.1500003,"Kostermans, AJGH 13803",Kostermans AJGH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41760,Cleisocentron merrillianum,Cleisocentron,merrillianum,(Ames) Christenson,Species,Accepted,NA,77177164-1,41760,0,18,"c(117.5, 1.75)",TRUE
145936,GBIF_76177,Cleisocentron merrillianum,5.377939,117.087456,1056542428,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisocentron,SPECIES,(Ames) Christenson,NA,NA,MY,NA,11,1915,PRESERVED_SPECIMEN,NHMUK,BOT,BM000528840,s.n.,Joseph Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41760,Cleisocentron merrillianum,Cleisocentron,merrillianum,(Ames) Christenson,Species,Accepted,NA,77177164-1,41760,0,18,"c(117.087456, 5.377939)",TRUE
160945,GBIF_101022,Cleisocentron merrillianum,5.83333,116.33333,3353002395,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisocentron,SPECIES,(Ames) Christenson,"Mt. Alab, Crocker Range Bah. Pantai Barat.",NA,MY,NA,NA,1987,PRESERVED_SPECIMEN,NA,Botany,L.4405674,"Vermeulen, JJ s.n.",Vermeulen JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41760,Cleisocentron merrillianum,Cleisocentron,merrillianum,(Ames) Christenson,Species,Accepted,NA,77177164-1,41760,0,18,"c(116.33333, 5.83333)",TRUE
164779,GBIF_105353,Cleisocentron merrillianum,5.98333,116.53333,2513787594,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisocentron,SPECIES,(Ames) Christenson,"North Borneo, near Bundu Tuhan",NA,MY,NA,7,1933,PRESERVED_SPECIMEN,NA,Botany,L.1489997,"Carr, CE SFN 27893",Carr CE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41760,Cleisocentron merrillianum,Cleisocentron,merrillianum,(Ames) Christenson,Species,Accepted,NA,77177164-1,41760,0,18,"c(116.53333, 5.98333)",TRUE
168382,GBIF_109492,Cleisocentron merrillianum,5.8,116.33333,2513786737,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisocentron,SPECIES,(Ames) Christenson,"Sabah, Interior Zone, km. 56 road kota Kinabalu _ Tambunan: Ridge at the right side of the road",NA,MY,NA,7,1986,PRESERVED_SPECIMEN,NA,Botany,L.1489999,"Vermeulen, JJ; Chen, CL 374",Vermeulen JJ; Chen CL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41760,Cleisocentron merrillianum,Cleisocentron,merrillianum,(Ames) Christenson,Species,Accepted,NA,77177164-1,41760,0,18,"c(116.33333, 5.8)",TRUE
242847,GBIF_204142,Cleisocentron merrillianum,6,116.61667,2513789232,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisocentron,SPECIES,(Ames) Christenson,"Sabah, west coast Residency, Pinosuk Plateau near Kundassang",NA,MY,NA,10,1986,PRESERVED_SPECIMEN,NA,Botany,L.1489998,"Vogel, EF de 8034",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41760,Cleisocentron merrillianum,Cleisocentron,merrillianum,(Ames) Christenson,Species,Accepted,NA,77177164-1,41760,0,18,"c(116.61667, 6)",TRUE
344182,GBIF_363608,Cleisocentron merrillianum,-0.54,114.2787,1057298324,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisocentron,SPECIES,(Ames) Christenson,NA,NA,ID,NA,8,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000528836,40112,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41760,Cleisocentron merrillianum,Cleisocentron,merrillianum,(Ames) Christenson,Species,Accepted,NA,77177164-1,41760,0,18,"c(114.2787, -0.54)",TRUE
366416,GBIF_396651,Cleisocentron merrillianum,-0.54,114.2787,1056204752,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisocentron,SPECIES,(Ames) Christenson,NA,NA,ID,NA,9,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000528838,40344,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41760,Cleisocentron merrillianum,Cleisocentron,merrillianum,(Ames) Christenson,Species,Accepted,NA,77177164-1,41760,0,18,"c(114.2787, -0.54)",TRUE
391278,GBIF_433177,Cleisocentron pallens,27.5544,88.4517,1056875892,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisocentron,SPECIES,Rchb.f.,NA,NA,IN,NA,NA,1891,PRESERVED_SPECIMEN,NHMUK,BOT,BM000539307,92,R Pantling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41761,Cleisocentron pallens,Cleisocentron,pallens,(Cathcart ex Lindl.) N.Pearce & P.J.Cribb,Species,Accepted,NA,1019049-1,41761,38,1,"c(88.4517, 27.5544)",TRUE
468154,GBIF_543728,Cleisocentron merrillianum,-0.54,114.2787,1055784317,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisocentron,SPECIES,(Ames) Christenson,NA,NA,ID,NA,10,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000528839,40634,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41760,Cleisocentron merrillianum,Cleisocentron,merrillianum,(Ames) Christenson,Species,Accepted,NA,77177164-1,41760,0,18,"c(114.2787, -0.54)",TRUE
